Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13
,,Aux vent heating load (kW),Max. adaptive temp. (�C),Wind speed (m/s),Wind direction[E of N] (deg.),Boilers load (kW),Direct radiation (W/m�),Ap Sys boilers load (kW),Boilers energy (kBtu/h),Diffuse radiation (W/m�),Global radiation (W/m�),Solar altitude (deg.)
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Date,Time,18 Havelock-test-Newcastle.aps,NewcastleEWY.fwt,NewcastleEWY.fwt,NewcastleEWY.fwt,18 Havelock-test-Newcastle.aps,NewcastleEWY.fwt,18 Havelock-test-Newcastle.aps,18 Havelock-test-Newcastle.aps,NewcastleEWY.fwt,NewcastleEWY.fwt,NewcastleEWY.fwt
,,,,,,,,,,,,
"Sun, 01/Jan",24:00,,,,,,,,,,,
,,,,,,,,,,,,
,00:15,0.0000,,,,1.9105,,1.9105,7.325,,,
,,,,,,,,,,,,
,00:45,0.0000,,,,1.9119,,1.9119,7.330,,,
,,,,,,,,,,,,
,01:00,,23.67,6.00,120.0,,0.000,,,0.000,0.000,0.0
,,,,,,,,,,,,
,01:15,0.0000,,,,1.9126,,1.9126,7.333,,,
,,,,,,,,,,,,
,01:45,0.0000,,,,1.9122,,1.9122,7.331,,,
,,,,,,,,,,,,
,02:00,,23.67,6.50,120.0,,0.000,,,0.000,0.000,0.0
,,,,,,,,,,,,
,02:15,0.0000,,,,1.9120,,1.9120,7.330,,,
,,,,,,,,,,,,
,02:45,0.0000,,,,1.9116,,1.9116,7.329,,,
,,,,,,,,,,,,
,03:00,,23.67,6.50,120.0,,0.000,,,0.000,0.000,0.0
,,,,,,,,,,,,
,03:15,0.0000,,,,1.9114,,1.9114,7.328,,,
,,,,,,,,,,,,
,03:45,0.0000,,,,1.9112,,1.9112,7.327,,,
,,,,,,,,,,,,
,04:00,,23.67,7.10,130.0,,0.000,,,0.000,0.000,0.0
,,,,,,,,,,,,
,04:15,0.0000,,,,1.9111,,1.9111,7.327,,,
,,,,,,,,,,,,
,04:45,0.0000,,,,1.9108,,1.9108,7.326,,,
,,,,,,,,,,,,
,05:00,,23.67,8.10,130.0,,0.000,,,0.000,0.000,0.0
,,,,,,,,,,,,
,05:15,0.0000,,,,1.9134,,1.9134,7.336,,,
,,,,,,,,,,,,
,05:45,0.0000,,,,1.9192,,1.9192,7.358,,,
,,,,,,,,,,,,
,06:00,,23.67,9.10,130.0,,0.000,,,0.000,0.000,0.0
,,,,,,,,,,,,
,06:15,0.0000,,,,1.9256,,1.9256,7.382,,,
,,,,,,,,,,,,
,06:45,0.0000,,,,1.9319,,1.9319,7.407,,,
,,,,,,,,,,,,
,07:00,,23.67,9.60,130.0,,0.000,,,0.000,0.000,0.0
,,,,,,,,,,,,
,07:15,0.0000,,,,1.9368,,1.9368,7.425,,,
,,,,,,,,,,,,
,07:45,0.0000,,,,1.9402,,1.9402,7.439,,,
,,,,,,,,,,,,
,08:00,,23.67,10.60,120.0,,0.000,,,0.000,0.000,0.0
,,,,,,,,,,,,
,08:15,0.0000,,,,1.9416,,1.9416,7.444,,,
,,,,,,,,,,,,
,08:45,0.0000,,,,1.9306,,1.9306,7.402,,,
,,,,,,,,,,,,
,09:00,,23.67,10.60,130.0,,0.000,,,5.000,5.000,2.0
,,,,,,,,,,,,
,09:15,0.0000,,,,1.7657,,1.7657,6.770,,,
,,,,,,,,,,,,
,09:45,0.0000,,,,1.7684,,1.7684,6.780,,,
,,,,,,,,,,,,
