		Total nat. gas (kBtu/h)	Dry-bulb temperature (°C)
			
Date	Time	18 Havelock-test-Newcastle.aps	NewcastleEWY.fwt
Sun, 01/Jan	24:00		
	19:45	7.532	
	20:00		3.90
	20:15	7.506	
	20:45	7.499	
	21:00		4.10
	21:15	7.493	
	21:45	7.483	
	22:00		4.30
	22:15	8.311	
	22:45	8.212	
	23:00		4.50
	23:15	8.279	
	23:45	8.222	
Mon, 27/Feb	24:00		4.50
	00:15	8.303	
	00:45	8.297	
	01:00		4.30
	01:15	8.296	
	01:45	8.297	
	02:00		4.10
	02:15	8.297	
	02:45	8.302	
	03:00		3.90
	03:15	8.274	
	03:45	8.213	
	04:00		4.40
	04:15	8.175	
	04:45	8.154	
	05:00		4.50
	05:15	8.045	
	05:45	7.848	
	06:00		6.20
	06:15	7.666	
	06:45	7.497	
	07:00		7.50
	07:15	7.362	
	07:45	7.254	
	08:00		8.00
	08:15	7.145	
	08:45	6.983	
	09:00		8.10
	09:15	6.160	
	09:45	5.920	
	10:00		9.30
	10:15	5.755	
	10:45	5.650	
	11:00		9.60
	11:15	5.502	
	11:45	5.323	
	12:00		10.90
	12:15	5.148	
	12:45	4.838	
	13:00		11.20
	13:15	4.688	
	13:45	4.688	
	14:00		10.60
	14:15	4.688	
	14:45	4.688	
	15:00		10.30
	15:15	4.688	
	15:45	4.688	
	16:00		11.30
	16:15	4.688	
	16:45	4.688	
	17:00		10.40
	17:15	4.688	
	17:45	4.778	
	18:00		10.00
	18:15	4.815	
	18:45	5.181	
	19:00		8.30
	19:15	5.371	
	19:45	5.440	
	20:00		8.10
	20:15	5.490	
	20:45	5.547	
	21:00		7.90
	21:15	5.552	
	21:45	5.501	
	22:00		8.60
	22:15	6.335	
	22:45	6.300	
	23:00		8.30
	23:15	6.402	
	23:45	6.346	
Tue, 28/Feb	24:00		8.60
	00:15	6.427	
	00:45	6.420	
	01:00		8.60
	01:15	6.448	
	01:45	6.511	
	02:00		8.00
	02:15	6.579	
	02:45	6.649	
	03:00		7.40
	03:15	6.660	
	03:45	6.609	
	04:00		7.90
	04:15	6.595	
	04:45	6.621	
	05:00		7.60
	05:15	6.606	
	05:45	6.548	
	06:00		8.10
	06:15	6.487	
	06:45	6.425	
	07:00		8.60
	07:15	6.390	
	07:45	6.368	
	08:00		8.40
	08:15	6.262	
	08:45	6.037	
	09:00		9.50
	09:15	5.224	
	09:45	5.058	
	10:00		10.40
	10:15	4.885	
	10:45	4.703	
	11:00		11.90
	11:15	4.688	
	11:45	4.688	
	12:00		12.10
	12:15	4.688	
	12:45	4.688	
	13:00		11.90
	13:15	4.688	
	13:45	4.688	
	14:00		12.80
	14:15	4.688	
	14:45	4.688	
	15:00		12.40
	15:15	4.688	
	15:45	4.688	
	16:00		12.40
	16:15	4.688	
	16:45	4.688	
	17:00		10.40
	17:15	4.688	
	17:45	4.688	
	18:00		9.00
	18:15	4.688	
	18:45	4.688	
	19:00		8.80
	19:15	4.688	
	19:45	4.843	
	20:00		6.40
	20:15	5.209	
	20:45	5.426	
	21:00		5.40
	21:15	5.520	
	21:45	5.498	
	22:00		6.20
	22:15	6.358	
	22:45	6.347	
	23:00		5.90
	23:15	6.468	
	23:45	6.428	
Wed, 01/Mar	24:00		6.20
	00:15	6.573	
	00:45	6.670	
	01:00		5.40
	01:15	6.751	
	01:45	6.812	
	02:00		5.00
	02:15	6.849	
	02:45	6.866	
	03:00		5.00
	03:15	6.899	
	03:45	6.946	
	04:00		4.70
	04:15	6.961	
	04:45	6.941	
	05:00		5.00
	05:15	6.932	
	05:45	6.937	
	06:00		5.00
	06:15	6.921	
	06:45	6.887	
	07:00		5.40
	07:15	6.871	
	07:45	6.864	
	08:00		5.40
	08:15	6.830	
	08:45	6.732	
	09:00		5.70
	09:15	6.053	
	09:45	6.037	
	10:00		5.90
	10:15	6.035	
	10:45	6.017	
	11:00		6.30
	11:15	6.035	
	11:45	6.090	
	12:00		5.90
	12:15	6.127	
	12:45	6.132	
	13:00		5.70
	13:15	6.103	
	13:45	6.052	
	14:00		6.00
	14:15	6.037	
	14:45	6.076	
	15:00		5.90
	15:15	6.125	
	15:45	6.179	
	16:00		6.00
	16:15	6.196	
	16:45	6.162	
	17:00		6.80
	17:15	6.150	
	17:45	6.161	
	18:00		7.10
	18:15	5.454	
	18:45	5.125	
	19:00		10.00
	19:15	5.066	
	19:45	5.302	
	20:00		7.50
	20:15	5.308	
	20:45	5.084	
	21:00		9.80
	21:15	4.970	
	21:45	4.968	
	22:00		9.80
	22:15	5.843	
	22:45	5.831	
	23:00		9.20
	23:15	5.981	
	23:45	5.997	
Thu, 02/Mar	24:00		8.80
	00:15	6.145	
	00:45	6.197	
	01:00		8.30
	01:15	6.235	
	01:45	6.259	
	02:00		8.10
	02:15	6.369	
	02:45	6.574	
	03:00		6.30
	03:15	6.760	
	03:45	6.917	
	04:00		5.10
	04:15	7.031	
	04:45	7.098	
	05:00		4.70
	05:15	7.145	
	05:45	7.171	
	06:00		4.60
	06:15	7.135	
	06:45	7.036	
	07:00		5.60
	07:15	6.968	
	07:45	6.925	
	08:00		5.80
	08:15	6.884	
	08:45	6.795	
	09:00		5.50
	09:15	6.074	
	09:45	5.959	
	10:00		5.80
	10:15	5.870	
	10:45	5.787	
	11:00		6.20
	11:15	5.687	
	11:45	5.581	
	12:00		6.70
	12:15	5.521	
	12:45	5.531	
	13:00		6.80
	13:15	5.558	
	13:45	5.579	
	14:00		7.10
	14:15	5.559	
	14:45	5.429	
	15:00		7.20
	15:15	5.403	
	15:45	5.582	
	16:00		5.40
	16:15	5.769	
	16:45	5.960	
	17:00		4.80
	17:15	6.234	
	17:45	6.554	
	18:00		4.10
	18:15	6.220	
	18:45	6.355	
	19:00		3.40
	19:15	6.451	
	19:45	6.529	
	20:00		2.90
	20:15	6.596	
	20:45	6.667	
	21:00		2.60
	21:15	6.723	
	21:45	6.757	
	22:00		2.60
	22:15	7.643	
	22:45	7.625	
	23:00		2.30
	23:15	7.761	
	23:45	7.757	
Fri, 03/Mar	24:00		2.20
	00:15	7.875	
	00:45	7.889	
	01:00		2.10
	01:15	7.899	
	01:45	7.906	
	02:00		2.10
	02:15	7.910	
	02:45	7.911	
	03:00		2.20
	03:15	7.919	
	03:45	7.930	
	04:00		2.20
	04:15	7.946	
	04:45	7.966	
	05:00		2.10
	05:15	7.992	
	05:45	8.024	
	06:00		1.90
	06:15	8.063	
	06:45	8.107	
	07:00		1.60
	07:15	8.109	
	07:45	8.047	
	08:00		1.80
	08:15	7.941	
	08:45	7.765	
	09:00		2.20
	09:15	7.019	
	09:45	6.965	
	10:00		2.50
	10:15	6.947	
	10:45	6.885	
	11:00		2.40
	11:15	6.822	
	11:45	6.814	
	12:00		2.10
	12:15	6.816	
	12:45	6.821	
	13:00		2.30
	13:15	6.885	
	13:45	7.013	
	14:00		1.90
	14:15	7.170	
	14:45	7.362	
	15:00		1.60
	15:15	7.552	
	15:45	7.697	
	16:00		1.10
	16:15	7.777	
	16:45	7.801	
	17:00		1.30
	17:15	7.847	
	17:45	7.927	
	18:00		1.10
	18:15	7.437	
	18:45	7.471	
	19:00		0.90
	19:15	7.508	
	19:45	7.556	
	20:00		0.50
	20:15	7.599	
	20:45	7.654	
	21:00		0.30
	21:15	7.718	
	21:45	7.785	
	22:00		0.00
	22:15	8.684	
	22:45	8.656	
	23:00		-0.20
	23:15	8.815	
	23:45	8.869	
Sat, 04/Mar	24:00		-0.80
	00:15	9.035	
	00:45	9.083	
	01:00		-1.10
	01:15	9.119	
	01:45	9.146	
	02:00		-1.20
	02:15	9.188	
	02:45	9.245	
	03:00		-1.60
	03:15	9.357	
	03:45	9.527	
	04:00		-3.00
	04:15	9.637	
	04:45	9.689	
	05:00		-3.20
	05:15	9.773	
	05:45	9.839	
	06:00		-3.30
	06:15	9.891	
	06:45	9.933	
	07:00		-3.30
	07:15	9.968	
	07:45	9.990	
	08:00		-3.30
	08:15	9.964	
	08:45	9.830	
	09:00		-2.90
	09:15	9.081	
	09:45	8.970	
	10:00		-2.40
	10:15	8.890	
	10:45	8.814	
	11:00		-2.00
	11:15	8.692	
	11:45	8.511	
	12:00		-1.30
	12:15	8.261	
	12:45	7.927	
	13:00		0.30
	13:15	7.536	
	13:45	7.142	
	14:00		2.50
	14:15	6.718	
	14:45	6.168	
	15:00		4.20
	15:15	5.904	
	15:45	6.281	
	16:00		2.20
	16:15	6.773	
	16:45	7.129	
	17:00		1.80
	17:15	7.496	
	17:45	7.862	
	18:00		1.50
	18:15	7.539	
	18:45	7.646	
	19:00		1.50
	19:15	7.607	
	19:45	7.452	
	20:00		3.30
	20:15	7.375	
	20:45	7.399	
	21:00		3.40
	21:15	7.447	
	21:45	7.512	
	22:00		3.10
	22:15	8.404	
	22:45	8.361	
	23:00		3.00
	23:15	8.488	
	23:45	8.493	
Sun, 05/Mar	24:00		2.60
	00:15	8.592	
	00:45	8.562	
	01:00		2.80
	01:15	8.569	
	01:45	8.609	
	02:00		2.40
	02:15	8.646	
	02:45	8.678	
	03:00		2.10
	03:15	8.690	
	03:45	8.685	
	04:00		2.20
	04:15	8.746	
	04:45	8.870	
	05:00		1.10
	05:15	8.981	
	05:45	9.075	
	06:00		0.30
	06:15	9.145	
	06:45	9.193	
	07:00		-0.10
	07:15	9.160	
	07:45	9.036	
	08:00		0.90
	08:15	8.878	
	08:45	8.653	
	09:00		2.10
	09:15	7.846	
	09:45	7.661	
	10:00		2.70
	10:15	7.468	
	10:45	7.281	
	11:00		3.70
	11:15	7.144	
	11:45	7.073	
	12:00		4.10
	12:15	6.986	
	12:45	6.858	
	13:00		5.20
	13:15	6.735	
	13:45	6.578	
	14:00		5.50
	14:15	6.474	
	14:45	6.588	
	15:00		6.00
	15:15	6.857	
	15:45	7.154	
	16:00		4.50
	16:15	7.359	
	16:45	7.478	
	17:00		4.10
	17:15	7.575	
	17:45	7.659	
	18:00		3.90
	18:15	7.150	
	18:45	7.150	
	19:00		4.00
	19:15	7.157	
	19:45	7.181	
	20:00		3.80
	20:15	7.216	
	20:45	7.276	
	21:00		3.50
	21:15	7.341	
	21:45	7.404	
	22:00		3.20
	22:15	8.293	
	22:45	8.249	
	23:00		3.10
	23:15	8.382	
	23:45	8.401	
Mon, 06/Mar	24:00		2.60
	00:15	8.515	
	00:45	8.499	
	01:00		2.70
	01:15	8.473	
	01:45	8.437	
	02:00		3.00
	02:15	8.411	
	02:45	8.396	
	03:00		3.10
	03:15	8.404	
	03:45	8.435	
	04:00		2.80
	04:15	8.446	
	04:45	8.437	
	05:00		2.90
	05:15	8.438	
	05:45	8.449	
	06:00		2.80
	06:15	8.466	
	06:45	8.489	
	07:00		2.60
	07:15	8.504	
	07:45	8.509	
	08:00		2.50
	08:15	8.510	
	08:45	8.466	
	09:00		2.30
	09:15	7.812	
	09:45	7.779	
	10:00		2.40
	10:15	7.795	
	10:45	7.846	
	11:00		2.10
	11:15	7.892	
	11:45	7.931	
	12:00		2.00
	12:15	7.961	
	12:45	7.983	
	13:00		2.10
	13:15	8.003	
	13:45	8.022	
	14:00		2.20
	14:15	8.048	
	14:45	8.085	
	15:00		2.20
	15:15	8.121	
	15:45	8.158	
	16:00		2.30
	16:15	8.196	
	16:45	8.231	
	17:00		2.40
	17:15	8.296	
	17:45	8.392	
	18:00		1.90
	18:15	7.888	
	18:45	7.875	
	19:00		2.10
	19:15	7.861	
	19:45	7.853	
	20:00		2.20
	20:15	7.866	
	20:45	7.915	
	21:00		2.00
	21:15	7.958	
	21:45	7.988	
	22:00		2.00
	22:15	8.871	
	22:45	8.847	
	23:00		1.70
	23:15	8.944	
	23:45	8.866	
Tue, 07/Mar	24:00		2.10
	00:15	8.915	
	00:45	8.868	
	01:00		2.40
	01:15	8.846	
	01:45	8.849	
	02:00		2.30
	02:15	8.849	
	02:45	8.845	
	03:00		2.30
	03:15	8.825	
	03:45	8.789	
	04:00		2.60
	04:15	8.746	
	04:45	8.697	
	05:00		3.00
	05:15	8.668	
	05:45	8.659	
	06:00		3.00
	06:15	8.667	
	06:45	8.693	
	07:00		2.70
	07:15	8.716	
	07:45	8.732	
	08:00		2.40
	08:15	8.718	
	08:45	8.629	
	09:00		2.40
	09:15	7.927	
	09:45	7.854	
	10:00		2.70
	10:15	7.829	
	10:45	7.842	
	11:00		2.70
	11:15	7.880	
	11:45	7.935	
	12:00		2.40
	12:15	7.984	
	12:45	8.030	
	13:00		2.30
	13:15	8.074	
	13:45	8.113	
	14:00		2.30
	14:15	8.154	
	14:45	8.198	
	15:00		2.30
	15:15	8.253	
	15:45	8.317	
	16:00		2.10
	16:15	8.375	
	16:45	8.422	
	17:00		2.00
	17:15	8.480	
	17:45	8.553	
	18:00		1.80
	18:15	8.046	
	18:45	8.056	
	19:00		1.80
	19:15	8.070	
	19:45	8.097	
	20:00		1.60
	20:15	8.113	
	20:45	8.132	
	21:00		1.70
	21:15	8.163	
	21:45	8.202	
	22:00		1.60
	22:15	9.089	
	22:45	9.066	
	23:00		1.30
	23:15	9.173	
	23:45	9.115	
Wed, 08/Mar	24:00		1.50
	00:15	9.181	
	00:45	9.147	
	01:00		1.70
	01:15	9.170	
	01:45	9.251	
	02:00		0.90
	02:15	9.278	
	02:45	9.250	
	03:00		1.20
	03:15	9.235	
	03:45	9.235	
	04:00		1.20
	04:15	9.208	
	04:45	9.153	
	05:00		1.70
	05:15	9.106	
	05:45	9.070	
	06:00		2.00
	06:15	9.031	
	06:45	8.988	
	07:00		2.30
	07:15	8.952	
	07:45	8.916	
	08:00		2.30
	08:15	8.851	
	08:45	8.712	
	09:00		2.50
	09:15	7.991	
	09:45	7.925	
	10:00		2.40
	10:15	7.894	
	10:45	7.900	
	11:00		2.50
	11:15	7.918	
	11:45	7.916	
	12:00		2.60
	12:15	7.898	
	12:45	7.877	
	13:00		2.90
	13:15	7.857	
	13:45	7.792	
	14:00		2.70
	14:15	7.663	
	14:45	7.483	
	15:00		2.90
	15:15	7.352	
	15:45	7.356	
	16:00		2.90
	16:15	7.442	
	16:45	7.543	
	17:00		2.10
	17:15	7.746	
	17:45	8.093	
	18:00		1.90
	18:15	7.760	
	18:45	7.872	
	19:00		1.60
	19:15	7.932	
	19:45	7.968	
	20:00		1.50
	20:15	7.997	
	20:45	8.035	
	21:00		1.50
	21:15	8.069	
	21:45	8.092	
	22:00		1.60
	22:15	8.951	
	22:45	8.888	
	23:00		1.70
	23:15	8.980	
	23:45	8.933	
Thu, 09/Mar	24:00		1.80
	00:15	9.012	
	00:45	8.991	
	01:00		1.90
	01:15	8.975	
	01:45	8.962	
	02:00		2.00
	02:15	8.949	
	02:45	8.936	
	03:00		2.10
	03:15	8.935	
	03:45	8.944	
	04:00		2.00
	04:15	8.944	
	04:45	8.934	
	05:00		2.10
	05:15	8.934	
	05:45	8.946	
	06:00		2.00
	06:15	8.952	
	06:45	8.949	
	07:00		2.00
	07:15	8.950	
	07:45	8.956	
	08:00		1.90
	08:15	8.949	
	08:45	8.888	
	09:00		1.90
	09:15	8.226	
	09:45	8.194	
	10:00		2.00
	10:15	8.189	
	10:45	8.184	
	11:00		1.90
	11:15	8.180	
	11:45	8.199	
	12:00		1.90
	12:15	8.234	
	12:45	8.281	
	13:00		1.80
	13:15	8.338	
	13:45	8.407	
	14:00		1.60
	14:15	8.450	
	14:45	8.447	
	15:00		1.70
	15:15	8.459	
	15:45	8.515	
	16:00		1.60
	16:15	8.594	
	16:45	8.681	
	17:00		1.30
	17:15	8.733	
	17:45	8.745	
	18:00		1.70
	18:15	8.192	
	18:45	8.175	
	19:00		1.90
	19:15	8.166	
	19:45	8.176	
	20:00		1.80
	20:15	8.175	
	20:45	8.177	
	21:00		2.00
	21:15	8.198	
	21:45	8.231	
	22:00		1.90
	22:15	9.087	
	22:45	9.003	
	23:00		2.10
	23:15	9.079	
	23:45	9.023	
Fri, 10/Mar	24:00		2.20
	00:15	9.087	
	00:45	9.047	
	01:00		2.40
	01:15	9.022	
	01:45	9.010	
	02:00		2.40
	02:15	8.994	
	02:45	8.974	
	03:00		2.50
	03:15	8.967	
	03:45	8.970	
	04:00		2.40
	04:15	8.980	
	04:45	8.997	
	05:00		2.20
	05:15	9.005	
	05:45	9.005	
	06:00		2.20
	06:15	9.016	
	06:45	9.032	
	07:00		2.00
	07:15	9.018	
	07:45	8.969	
	08:00		2.30
	08:15	8.912	
	08:45	8.794	
	09:00		2.30
	09:15	8.059	
	09:45	7.951	
	10:00		2.50
	10:15	7.863	
	10:45	7.767	
	11:00		2.70
	11:15	7.650	
	11:45	7.513	
	12:00		3.00
	12:15	7.414	
	12:45	7.433	
	13:00		3.00
	13:15	7.439	
	13:45	7.315	
	14:00		3.30
	14:15	7.168	
	14:45	7.071	
	15:00		3.30
	15:15	6.959	
	15:45	6.786	
	16:00		3.30
	16:15	6.723	
	16:45	6.950	
	17:00		3.10
	17:15	7.346	
	17:45	7.733	
	18:00		2.70
	18:15	7.422	
	18:45	7.559	
	19:00		2.20
	19:15	7.630	
	19:45	7.660	
	20:00		2.20
	20:15	7.692	
	20:45	7.743	
	21:00		2.10
	21:15	7.791	
	21:45	7.828	
	22:00		2.10
	22:15	8.713	
	22:45	8.684	
	23:00		1.90
	23:15	8.807	
	23:45	8.789	
Sat, 11/Mar	24:00		1.80
	00:15	8.901	
	00:45	8.920	
	01:00		1.60
	01:15	8.932	
	01:45	8.935	
	02:00		1.60
	02:15	8.940	
	02:45	8.946	
	03:00		1.60
	03:15	8.931	
	03:45	8.891	
	04:00		2.00
	04:15	8.857	
	04:45	8.832	
	05:00		2.20
	05:15	8.819	
	05:45	8.817	
	06:00		2.20
	06:15	8.811	
	06:45	8.793	
	07:00		2.20
	07:15	8.760	
	07:45	8.697	
	08:00		2.20
	08:15	8.554	
	08:45	8.296	
	09:00		3.20
	09:15	7.451	
	09:45	7.259	
	10:00		3.90
	10:15	7.139	
	10:45	7.041	
	11:00		3.80
	11:15	6.823	
	11:45	6.366	
	12:00		4.40
	12:15	5.792	
	12:45	5.320	
	13:00		4.40
	13:15	4.906	
	13:45	4.771	
	14:00		5.00
	14:15	4.746	
	14:45	4.720	
	15:00		4.70
	15:15	4.695	
	15:45	4.911	
	16:00		4.20
	16:15	5.228	
	16:45	5.529	
	17:00		3.90
	17:15	6.061	
	17:45	6.789	
	18:00		2.60
	18:15	6.705	
	18:45	6.968	
	19:00		1.70
	19:15	7.147	
	19:45	7.290	
	20:00		0.90
	20:15	7.402	
	20:45	7.502	
	21:00		0.50
	21:15	7.616	
	21:45	7.744	
	22:00		-0.20
	22:15	8.744	
	22:45	8.823	
	23:00		-1.00
	23:15	9.026	
	23:45	9.063	
Sun, 12/Mar	24:00		-1.30
	00:15	9.227	
	00:45	9.296	
	01:00		-1.70
	01:15	9.355	
	01:45	9.400	
	02:00		-1.80
	02:15	9.457	
	02:45	9.527	
	03:00		-2.10
	03:15	9.593	
	03:45	9.656	
	04:00		-2.30
	04:15	9.723	
	04:45	9.794	
	05:00		-2.60
	05:15	9.873	
	05:45	9.960	
	06:00		-3.10
	06:15	10.015	
	06:45	10.027	
	07:00		-3.20
	07:15	9.974	
	07:45	9.859	
	08:00		-2.30
	08:15	9.665	
	08:45	9.363	
	09:00		-0.40
	09:15	8.467	
	09:45	8.195	
	10:00		1.10
	10:15	7.933	
	10:45	7.585	
	11:00		2.40
	11:15	7.104	
	11:45	6.465	
	12:00		2.90
	12:15	5.801	
	12:45	5.284	
	13:00		2.90
	13:15	4.912	
	13:45	4.817	
	14:00		3.10
	14:15	4.792	
	14:45	4.767	
	15:00		2.80
	15:15	4.740	
	15:45	4.716	
	16:00		2.60
	16:15	4.695	
	16:45	5.199	
	17:00		2.10
	17:15	6.106	
	17:45	6.912	
	18:00		1.20
	18:15	6.893	
	18:45	7.251	
	19:00		-0.20
	19:15	7.477	
	19:45	7.621	
	20:00		-0.80
	20:15	7.720	
	20:45	7.815	
	21:00		-0.80
	21:15	7.903	
	21:45	7.984	
	22:00		-0.80
	22:15	8.893	
	22:45	8.865	
	23:00		-0.70
	23:15	8.994	
	23:45	8.992	
Mon, 13/Mar	24:00		-0.80
	00:15	9.060	
	00:45	8.972	
	01:00		0.10
	01:15	8.916	
	01:45	8.893	
	02:00		0.40
	02:15	8.887	
	02:45	8.895	
	03:00		0.40
	03:15	8.880	
	03:45	8.842	
	04:00		0.80
	04:15	8.868	
	04:45	8.959	
	05:00		0.00
	05:15	9.024	
	05:45	9.061	
	06:00		-0.20
	06:15	9.068	
	06:45	9.027	
	07:00		0.00
	07:15	8.979	
	07:45	8.929	
	08:00		0.00
	08:15	8.690	
	08:45	8.218	
	09:00		3.30
	09:15	7.286	
	09:45	7.151	
	10:00		4.00
	10:15	7.084	
	10:45	7.035	
	11:00		4.00
	11:15	6.922	
	11:45	6.751	
	12:00		5.20
	12:15	6.670	
	12:45	6.691	
	13:00		4.70
	13:15	6.686	
	13:45	6.633	
	14:00		4.60
	14:15	6.640	
	14:45	6.745	
	15:00		3.40
	15:15	6.903	
	15:45	7.175	
	16:00		2.90
	16:15	7.452	
	16:45	7.633	
	17:00		2.50
	17:15	7.765	
	17:45	7.871	
	18:00		2.40
	18:15	7.395	
	18:45	7.434	
	19:00		2.30
	19:15	7.483	
	19:45	7.554	
	20:00		1.80
	20:15	7.680	
	20:45	7.873	
	21:00		0.40
	21:15	7.985	
	21:45	8.010	
	22:00		0.60
	22:15	8.855	
	22:45	8.759	
	23:00		1.10
	23:15	8.848	
	23:45	8.830	
Tue, 14/Mar	24:00		1.00
	00:15	8.932	
	00:45	8.931	
	01:00		1.00
	01:15	8.951	
	01:45	8.991	
	02:00		0.70
	02:15	9.023	
	02:45	9.043	
	03:00		0.60
	03:15	9.062	
	03:45	9.082	
	04:00		0.50
	04:15	9.125	
	04:45	9.189	
	05:00		0.00
	05:15	9.201	
	05:45	9.159	
	06:00		0.50
	06:15	9.129	
	06:45	9.104	
	07:00		0.60
	07:15	9.049	
	07:45	8.967	
	08:00		1.10
	08:15	8.881	
	08:45	8.755	
	09:00		1.50
	09:15	8.017	
	09:45	7.889	
	10:00		2.20
	10:15	7.780	
	10:45	7.675	
	11:00		2.90
	11:15	7.608	
	11:45	7.581	
	12:00		3.00
	12:15	7.564	
	12:45	7.571	
	13:00		3.20
	13:15	7.586	
	13:45	7.602	
	14:00		3.50
	14:15	7.643	
	14:45	7.705	
	15:00		3.50
	15:15	7.707	
	15:45	7.629	
	16:00		4.40
	16:15	7.516	
	16:45	7.310	
	17:00		4.90
	17:15	7.244	
	17:45	7.463	
	18:00		4.60
	18:15	7.141	
	18:45	7.352	
	19:00		3.10
	19:15	7.457	
	19:45	7.475	
	20:00		3.10
	20:15	7.507	
	20:45	7.570	
	21:00		2.80
	21:15	7.603	
	21:45	7.599	
	22:00		3.10
	22:15	8.424	
	22:45	8.319	
	23:00		3.50
	23:15	8.392	
	23:45	8.349	
Wed, 15/Mar	24:00		3.50
	00:15	8.455	
	00:45	8.483	
	01:00		3.10
	01:15	8.560	
	01:45	8.688	
	02:00		1.90
	02:15	8.670	
	02:45	8.502	
	03:00		3.50
	03:15	8.340	
	03:45	8.185	
	04:00		4.80
	04:15	8.113	
	04:45	8.127	
	05:00		4.50
	05:15	8.120	
	05:45	8.088	
	06:00		4.70
	06:15	8.055	
	06:45	8.005	
	07:00		4.70
	07:15	7.918	
	07:45	7.803	
	08:00		5.20
	08:15	7.625	
	08:45	7.339	
	09:00		6.50
	09:15	6.499	
	09:45	6.351	
	10:00		6.90
	10:15	6.259	
	10:45	6.166	
	11:00		6.80
	11:15	6.069	
	11:45	6.090	
	12:00		6.70
	12:15	6.134	
	12:45	5.920	
	13:00		6.30
	13:15	5.553	
	13:45	5.240	
	14:00		6.70
	14:15	5.096	
	14:45	5.200	
	15:00		6.20
	15:15	5.565	
	15:45	6.239	
	16:00		3.60
	16:15	6.737	
	16:45	6.760	
	17:00		3.30
	17:15	6.774	
	17:45	7.009	
	18:00		3.80
	18:15	6.689	
	18:45	6.947	
	19:00		2.20
	19:15	7.097	
	19:45	7.146	
	20:00		2.10
	20:15	7.172	
	20:45	7.199	
	21:00		2.20
	21:15	7.262	
	21:45	7.357	
	22:00		1.60
	22:15	8.239	
	22:45	8.153	
	23:00		2.00
	23:15	8.286	
	23:45	8.315	
Thu, 16/Mar	24:00		1.60
	00:15	8.451	
	00:45	8.471	
	01:00		1.50
	01:15	8.485	
	01:45	8.491	
	02:00		1.60
	02:15	8.533	
	02:45	8.609	
	03:00		1.00
	03:15	8.649	
	03:45	8.656	
	04:00		1.10
	04:15	8.675	
	04:45	8.702	
	05:00		1.00
	05:15	8.711	
	05:45	8.704	
	06:00		1.20
	06:15	8.690	
	06:45	8.656	
	07:00		1.30
	07:15	8.588	
	07:45	8.483	
	08:00		1.70
	08:15	8.341	
	08:45	8.133	
	09:00		2.40
	09:15	7.289	
	09:45	7.046	
	10:00		3.80
	10:15	6.861	
	10:45	6.696	
	11:00		4.60
	11:15	6.544	
	11:45	6.416	
	12:00		4.90
	12:15	6.378	
	12:45	6.484	
	13:00		4.80
	13:15	6.637	
	13:45	6.672	
	14:00		3.90
	14:15	6.663	
	14:45	6.747	
	15:00		3.70
	15:15	6.853	
	15:45	6.945	
	16:00		4.20
	16:15	7.058	
	16:45	7.163	
	17:00		4.20
	17:15	7.204	
	17:45	7.175	
	18:00		5.10
	18:15	6.528	
	18:45	6.371	
	19:00		6.60
	19:15	6.232	
	19:45	6.118	
	20:00		7.50
	20:15	6.070	
	20:45	6.106	
	21:00		7.20
	21:15	6.145	
	21:45	6.177	
	22:00		7.00
	22:15	7.059	
	22:45	7.028	
	23:00		6.60
	23:15	7.155	
	23:45	7.148	
Fri, 17/Mar	24:00		6.20
	00:15	7.242	
	00:45	7.223	
	01:00		6.30
	01:15	7.208	
	01:45	7.193	
	02:00		6.40
	02:15	7.135	
	02:45	7.032	
	03:00		7.30
	03:15	6.971	
	03:45	6.958	
	04:00		7.30
	04:15	6.943	
	04:45	6.924	
	05:00		7.40
	05:15	6.938	
	05:45	6.985	
	06:00		6.90
	06:15	7.043	
	06:45	7.096	
	07:00		6.10
	07:15	7.005	
	07:45	6.764	
	08:00		7.70
	08:15	6.470	
	08:45	6.093	
	09:00		9.70
	09:15	5.225	
	09:45	5.123	
	10:00		10.10
	10:15	5.081	
	10:45	5.056	
	11:00		10.40
	11:15	4.974	
	11:45	4.763	
	12:00		11.20
	12:15	4.688	
	12:45	4.726	
	13:00		10.20
	13:15	4.773	
	13:45	4.688	
	14:00		11.10
	14:15	4.688	
	14:45	4.688	
	15:00		9.40
	15:15	4.688	
	15:45	4.688	
	16:00		9.50
	16:15	4.688	
	16:45	4.688	
	17:00		8.00
	17:15	4.688	
	17:45	5.494	
	18:00		6.40
	18:15	5.448	
	18:45	5.727	
	19:00		5.30
	19:15	5.926	
	19:45	6.090	
	20:00		4.30
	20:15	6.250	
	20:45	6.428	
	21:00		3.20
	21:15	6.558	
	21:45	6.633	
	22:00		3.00
	22:15	7.574	
	22:45	7.625	
	23:00		2.20
	23:15	7.804	
	23:45	7.816	
Sat, 18/Mar	24:00		2.10
	00:15	7.939	
	00:45	7.944	
	01:00		2.20
	01:15	7.921	
	01:45	7.867	
	02:00		2.80
	02:15	7.848	
	02:45	7.865	
	03:00		2.70
	03:15	7.878	
	03:45	7.887	
	04:00		2.70
	04:15	7.900	
	04:45	7.920	
	05:00		2.60
	05:15	7.944	
	05:45	7.975	
	06:00		2.40
	06:15	8.008	
	06:45	8.038	
	07:00		2.10
	07:15	8.023	
	07:45	7.946	
	08:00		2.40
	08:15	7.817	
	08:45	7.601	
	09:00		3.00
	09:15	6.787	
	09:45	6.623	
	10:00		3.80
	10:15	6.499	
	10:45	6.366	
	11:00		4.60
