		Total nat. gas (kBtu/h)	Dry-bulb temperature (°C)
			
Date	Time	18 Havelock-test-Newcastle.aps	NewcastleEWY.fwt
Sun, 01/Jan	24:00		
	10:00		3.10
	10:15	7.489	
	10:45	7.218	
	11:00		4.80
	11:15	6.937	
	11:45	6.665	
	12:00		5.30
	12:15	6.423	
	12:45	6.364	
	13:00		6.20
	13:15	6.361	
	13:45	6.180	
	14:00		5.40
	14:15	6.099	
	14:45	6.378	
	15:00		5.30
	15:15	6.689	
	15:45	6.945	
	16:00		5.20
	16:15	7.107	
	16:45	7.214	
	17:00		4.90
	17:15	7.270	
	17:45	7.287	
	18:00		5.10
	18:15	6.767	
	18:45	6.813	
	19:00		4.70
	19:15	6.853	
	19:45	6.892	
	20:00		4.40
	20:15	6.936	
	20:45	7.000	
	21:00		4.10
	21:15	7.068	
	21:45	7.133	
	22:00		3.80
	22:15	8.008	
	22:45	7.934	
	23:00		4.00
	23:15	8.028	
	23:45	7.998	
Fri, 06/Jan	24:00		3.90
	00:15	8.116	
	00:45	8.158	
	01:00		3.40
	01:15	8.176	
	01:45	8.166	
	02:00		3.50
	02:15	8.201	
	02:45	8.283	
	03:00		2.80
	03:15	8.332	
	03:45	8.342	
	04:00		2.80
	04:15	8.327	
	04:45	8.288	
	05:00		3.20
	05:15	8.284	
	05:45	8.318	
	06:00		2.90
	06:15	8.349	
	06:45	8.377	
	07:00		2.70
	07:15	8.388	
	07:45	8.382	
	08:00		2.80
	08:15	8.371	
	08:45	8.313	
	09:00		2.80
	09:15	7.620	
	09:45	7.519	
	10:00		3.50
	10:15	7.448	
	10:45	7.406	
	11:00		3.70
	11:15	7.383	
	11:45	7.349	
	12:00		4.00
	12:15	7.345	
	12:45	7.393	
	13:00		3.90
	13:15	7.475	
	13:45	7.581	
	14:00		3.40
	14:15	7.682	
	14:45	7.774	
	15:00		3.00
	15:15	7.881	
	15:45	8.002	
	16:00		2.40
	16:15	8.052	
	16:45	8.029	
	17:00		3.00
	17:15	7.996	
