DateTime,Total nat. gas (kBtu/h),Dry-bulb temperature (°C)
01-01 00:15,7.325,5.5
01-01 00:45,7.33,5.5
01-01 01:15,7.333,5.5
01-01 01:45,7.331,5.5
01-01 02:15,7.33,5.5
01-01 02:45,7.329,5.5
01-01 03:15,7.328,5.5
01-01 03:45,7.327,5.5
01-01 04:15,7.327,5.5
01-01 04:45,7.326,5.5
01-01 05:15,7.336,5.3
01-01 05:45,7.358,5.3
01-01 06:15,7.382,5.1
01-01 06:45,7.407,5.1
01-01 07:15,7.425,5.0
01-01 07:45,7.439,5.0
01-01 08:15,7.444,4.9
01-01 08:45,7.402,4.9
01-01 09:15,6.77,4.9
01-01 09:45,6.78,4.9
01-01 10:15,6.841,4.4
01-01 10:45,6.931,4.4
01-01 11:15,7.027,3.8
01-01 11:45,7.126,3.8
01-01 12:15,7.204,3.6
01-01 12:45,7.259,3.6
01-01 13:15,7.322,3.2
01-01 13:45,7.395,3.2
01-01 14:15,7.446,3.2
01-01 14:45,7.474,3.2
01-01 15:15,7.511,3.0
01-01 15:45,7.562,3.0
01-01 16:15,7.585,3.3
01-01 16:45,7.575,3.3
01-01 17:15,7.565,3.5
01-01 17:45,7.558,3.5
01-01 18:15,6.992,3.6
01-01 18:45,6.966,3.6
01-01 19:15,6.939,3.7
01-01 19:45,6.916,3.7
01-01 20:15,6.899,3.8
01-01 20:45,6.903,3.8
01-01 21:15,6.921,3.7
01-01 21:45,6.947,3.7
01-01 22:15,7.808,3.7
01-01 22:45,7.742,3.7
01-01 23:15,7.827,4.0
01-01 23:45,7.768,4.0
01-02 00:15,7.845,4.1
01-02 00:45,7.828,4.1
01-02 01:15,7.813,4.2
01-02 01:45,7.8,4.2
01-02 02:15,7.782,4.4
01-02 02:45,7.759,4.4
01-02 03:15,7.734,4.6
01-02 03:45,7.71,4.6
01-02 04:15,7.713,4.3
01-02 04:45,7.745,4.3
01-02 05:15,7.757,4.4
01-02 05:45,7.748,4.4
01-02 06:15,7.753,4.2
01-02 06:45,7.775,4.2
01-02 07:15,7.808,3.8
01-02 07:45,7.853,3.8
01-02 08:15,7.882,3.6
01-02 08:45,7.852,3.6
01-02 09:15,7.171,4.4
01-02 09:45,7.074,4.4
01-02 10:15,7.037,4.4
01-02 10:45,7.045,4.4
01-02 11:15,7.009,4.9
01-02 11:45,6.889,4.9
01-02 12:15,6.858,3.9
01-02 12:45,7.017,3.9
01-02 13:15,7.118,4.0
01-02 13:45,7.05,4.0
01-02 14:15,7.017,4.0
01-02 14:45,7.131,4.0
01-02 15:15,7.289,3.3
01-02 15:45,7.451,3.3
01-02 16:15,7.541,3.5
01-02 16:45,7.578,3.5
01-02 17:15,7.614,3.5
01-02 17:45,7.652,3.5
01-02 18:15,7.125,3.5
01-02 18:45,7.132,3.5
01-02 19:15,7.173,2.8
01-02 19:45,7.249,2.8
01-02 20:15,7.305,2.6
01-02 20:45,7.36,2.6
01-02 21:15,7.446,1.9
01-02 21:45,7.551,1.9
01-02 22:15,8.465,1.8
01-02 22:45,8.435,1.8
01-02 23:15,8.602,1.0
01-02 23:45,8.666,1.0
01-03 00:15,8.811,1.0
01-03 00:45,8.816,1.0
01-03 01:15,8.857,0.4
01-03 01:45,8.935,0.4
01-03 02:15,8.992,0.3
01-03 02:45,9.025,0.3
01-03 03:15,9.057,0.2
01-03 03:45,9.088,0.2
01-03 04:15,9.128,-0.1
01-03 04:45,9.179,-0.1
01-03 05:15,9.214,-0.1
01-03 05:45,9.232,-0.1
01-03 06:15,9.254,-0.2
01-03 06:45,9.283,-0.2
01-03 07:15,9.335,-0.7
01-03 07:45,9.408,-0.7
01-03 08:15,9.428,-0.4
01-03 08:45,9.35,-0.4
01-03 09:15,8.661,0.0
01-03 09:45,8.59,0.0
01-03 10:15,8.489,1.0
01-03 10:45,8.329,1.0
01-03 11:15,8.115,2.4
01-03 11:45,7.872,2.4
01-03 12:15,7.702,2.6
01-03 12:45,7.622,2.6
01-03 13:15,7.622,1.8
01-03 13:45,7.716,1.8
01-03 14:15,7.818,0.7
01-03 14:45,7.888,0.7
01-03 15:15,8.079,-0.2
01-03 15:45,8.451,-0.2
01-03 16:15,8.699,0.0
01-03 16:45,8.807,0.0
01-03 17:15,8.897,-0.3
01-03 17:45,8.991,-0.3
01-03 18:15,8.468,0.3
01-03 18:45,8.428,0.3
01-03 19:15,8.376,1.0
01-03 19:45,8.315,1.0
01-03 20:15,8.33,0.3
01-03 20:45,8.437,0.3
01-03 21:15,8.519,0.2
01-03 21:45,8.568,0.2
01-03 22:15,9.433,0.5
01-03 22:45,9.353,0.5
01-03 23:15,9.432,0.7
01-03 23:45,9.378,0.7
01-04 00:15,9.433,1.2
01-04 00:45,9.373,1.2
01-04 01:15,9.353,1.0
01-04 01:45,9.371,1.0
01-04 02:15,9.386,0.9
01-04 02:45,9.397,0.9
01-04 03:15,9.36,1.7
01-04 03:45,9.272,1.7
01-04 04:15,9.076,4.4
01-04 04:45,8.768,4.4
01-04 05:15,8.559,5.0
01-04 05:45,8.46,5.0
01-04 06:15,8.436,4.3
01-04 06:45,8.484,4.3
01-04 07:15,8.423,5.7
01-04 07:45,8.251,5.7
01-04 08:15,8.128,5.9
01-04 08:45,8.016,5.9
01-04 09:15,7.2,8.1
01-04 09:45,6.902,8.1
01-04 10:15,6.671,9.2
01-04 10:45,6.494,9.2
01-04 11:15,6.35,9.6
01-04 11:45,6.245,9.6
01-04 12:15,6.158,9.9
01-04 12:45,6.097,9.9
01-04 13:15,6.086,9.5
01-04 13:45,6.129,9.5
01-04 14:15,6.18,9.1
01-04 14:45,6.219,9.1
01-04 15:15,6.328,7.9
01-04 15:45,6.525,7.9
01-04 16:15,6.696,7.0
01-04 16:45,6.832,7.0
01-04 17:15,6.936,6.5
01-04 17:45,7.011,6.5
01-04 18:15,6.555,5.3
01-04 18:45,6.676,5.3
01-04 19:15,6.75,5.1
01-04 19:45,6.779,5.1
01-04 20:15,6.839,4.4
01-04 20:45,6.943,4.4
01-04 21:15,7.008,4.5
01-04 21:45,7.028,4.5
01-04 22:15,7.901,4.3
01-04 22:45,7.865,4.3
01-04 23:15,7.996,3.9
01-04 23:45,8.0,3.9
01-05 00:15,8.191,2.4
01-05 00:45,8.346,2.4
01-05 01:15,8.432,2.4
01-05 01:45,8.443,2.4
01-05 02:15,8.459,2.3
01-05 02:45,8.478,2.3
01-05 03:15,8.486,2.4
01-05 03:45,8.481,2.4
01-05 04:15,8.475,2.5
01-05 04:45,8.468,2.5
01-05 05:15,8.446,2.9
01-05 05:45,8.408,2.9
01-05 06:15,8.39,2.9
01-05 06:45,8.391,2.9
01-05 07:15,8.407,2.6
01-05 07:45,8.442,2.6
01-05 08:15,8.449,2.7
01-05 08:45,8.382,2.7
01-05 09:15,7.7,3.1
01-05 09:45,7.633,3.1
01-05 10:15,7.489,4.8
01-05 10:45,7.218,4.8
01-05 11:15,6.937,5.3
01-05 11:45,6.665,5.3
01-05 12:15,6.423,6.2
01-05 12:45,6.364,6.2
01-05 13:15,6.361,5.4
01-05 13:45,6.18,5.4
01-05 14:15,6.099,5.3
01-05 14:45,6.378,5.3
01-05 15:15,6.689,5.2
01-05 15:45,6.945,5.2
01-05 16:15,7.107,4.9
01-05 16:45,7.214,4.9
01-05 17:15,7.27,5.1
01-05 17:45,7.287,5.1
01-05 18:15,6.767,4.7
01-05 18:45,6.813,4.7
01-05 19:15,6.853,4.4
01-05 19:45,6.892,4.4
01-05 20:15,6.936,4.1
01-05 20:45,7.0,4.1
01-05 21:15,7.068,3.8
01-05 21:45,7.133,3.8
01-05 22:15,8.008,4.0
01-05 22:45,7.934,4.0
01-05 23:15,8.028,3.9
01-05 23:45,7.998,3.9
01-06 00:15,8.116,3.4
01-06 00:45,8.158,3.4
01-06 01:15,8.176,3.5
01-06 01:45,8.166,3.5
01-06 02:15,8.201,2.8
01-06 02:45,8.283,2.8
01-06 03:15,8.332,2.8
01-06 03:45,8.342,2.8
01-06 04:15,8.327,3.2
01-06 04:45,8.288,3.2
01-06 05:15,8.284,2.9
01-06 05:45,8.318,2.9
01-06 06:15,8.349,2.7
01-06 06:45,8.377,2.7
01-06 07:15,8.388,2.8
01-06 07:45,8.382,2.8
01-06 08:15,8.371,2.8
01-06 08:45,8.313,2.8
01-06 09:15,7.62,3.5
01-06 09:45,7.519,3.5
01-06 10:15,7.448,3.7
01-06 10:45,7.406,3.7
01-06 11:15,7.383,4.0
01-06 11:45,7.349,4.0
01-06 12:15,7.345,3.9
01-06 12:45,7.393,3.9
01-06 13:15,7.475,3.4
01-06 13:45,7.581,3.4
01-06 14:15,7.682,3.0
01-06 14:45,7.774,3.0
01-06 15:15,7.881,2.4
01-06 15:45,8.002,2.4
01-06 16:15,8.052,3.0
01-06 16:45,8.029,3.0
01-06 17:15,7.996,3.6
01-06 17:45,7.957,3.6
01-06 18:15,7.417,3.0
01-06 18:45,7.477,3.0
01-06 19:15,7.503,3.1
01-06 19:45,7.496,3.1
01-06 20:15,7.497,3.1
01-06 20:45,7.52,3.1
01-06 21:15,7.576,2.5
01-06 21:45,7.663,2.5
01-06 22:15,8.586,2.0
01-06 22:45,8.583,2.0
01-06 23:15,8.603,4.0
01-06 23:45,8.348,4.0
01-07 00:15,8.321,3.9
