		System grid disp. elec. PV CE (kgCO2/h)	Room cooling plant sens. load (kW)	Chillers energy (kBtu/h)	Ap Sys chillers energy (kBtu/h)	Room dehum. plant load (kW)	System air sens. clg. load (kW)	System air lat. clg. load (kW)	Aux vent sens. clg. load (kW)	Aux vent lat. clg. load (kW)	Chillers load (kW)	Ap Sys chillers load (kW)	Ap Sys aux + DHW/solar pumps energy (kBtu/h)	Ap Sys heat rej fans/pumps energy (kBtu/h)	PV generated electricity (kBtu/h)	DHW heating demand (kW)	Total nat. gas CE (kgCO2/h)	Total elec. CE (kgCO2/h)
																		
Date	Time	18 Havelock-test-Newcastle.aps	18 Havelock-test-Newcastle.aps	18 Havelock-test-Newcastle.aps	18 Havelock-test-Newcastle.aps	18 Havelock-test-Newcastle.aps	18 Havelock-test-Newcastle.aps	18 Havelock-test-Newcastle.aps	18 Havelock-test-Newcastle.aps	18 Havelock-test-Newcastle.aps	18 Havelock-test-Newcastle.aps	18 Havelock-test-Newcastle.aps	18 Havelock-test-Newcastle.aps	18 Havelock-test-Newcastle.aps	18 Havelock-test-Newcastle.aps	18 Havelock-test-Newcastle.aps	18 Havelock-test-Newcastle.aps	18 Havelock-test-Newcastle.aps
	15:45	-0.0	0.0000	0.000	0.000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.135	0.000	-0.001	1.1617	0.5	0.2
	16:15	0.0	0.0000	0.000	0.000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.135	0.000	0.000	1.1617	0.5	0.2
	16:45	0.0	0.0000	0.000	0.000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.135	0.000	0.000	1.1617	0.5	0.2
	17:15	0.0	0.0000	0.000	0.000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.135	0.000	0.000	1.1617	0.5	0.2
	17:45	0.0	0.0000	0.000	0.000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.135	0.000	0.000	1.1617	0.5	0.2
	18:15	0.0	0.0000	0.000	0.000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.135	0.000	0.000	1.1617	0.4	0.3
	18:45	0.0	0.0000	0.000	0.000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.135	0.000	0.000	1.1617	0.4	0.3
	19:15	0.0	0.0000	0.000	0.000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.135	0.000	0.000	1.1617	0.4	0.3
	19:45	0.0	0.0000	0.000	0.000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.135	0.000	0.000	1.1617	0.4	0.3
	20:15	0.0	0.0000	0.000	0.000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.135	0.000	0.000	1.1617	0.4	0.2
	20:45	0.0	0.0000	0.000	0.000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.135	0.000	0.000	1.1617	0.4	0.2
	21:15	0.0	0.0000	0.000	0.000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.135	0.000	0.000	1.1617	0.4	0.2
	21:45	0.0	0.0000	0.000	0.000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.135	0.000	0.000	1.1617	0.4	0.2
	22:15	0.0	0.0000	0.000	0.000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.135	0.000	0.000	1.1617	0.5	0.3
	22:45	0.0	0.0000	0.000	0.000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.135	0.000	0.000	1.1617	0.5	0.3
	23:15	0.0	0.0000	0.000	0.000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.135	0.000	0.000	1.1617	0.5	0.1
	23:45	0.0	0.0000	0.000	0.000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.135	0.000	0.000	1.1617	0.5	0.1
Mon, 02/Jan	00:15	0.0	0.0000	0.000	0.000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.135	0.000	0.000	1.1617	0.5	0.1
