Date,Time,Total nat. gas (kBtu/h),Dry-bulb temperature (°C)
03-28,20:45,6.865,1.80
03-28,21:15,6.988,1.40
03-28,21:45,7.078,1.40
03-28,22:15,7.994,1.20
03-28,22:45,7.978,1.20
03-28,23:15,8.115,1.20
03-28,23:45,8.111,1.20
03-29,00:15,8.248,0.90
03-29,00:45,8.295,0.90
03-29,01:15,8.332,0.80
03-29,01:45,8.359,0.80
03-29,02:15,8.390,0.60
03-29,02:45,8.427,0.60
03-29,03:15,8.454,0.60
03-29,03:45,8.469,0.60
03-29,04:15,8.494,0.40
03-29,04:45,8.529,0.40
03-29,05:15,8.546,0.50
03-29,05:45,8.542,0.50
03-29,06:15,8.524,0.70
03-29,06:45,8.480,0.70
03-29,07:15,8.377,1.70
03-29,07:45,8.222,1.70
03-29,08:15,8.042,2.80
03-29,08:45,7.810,2.80
03-29,09:15,6.996,3.60
03-29,09:45,6.818,3.60
03-29,10:15,6.686,4.30
03-29,10:45,6.581,4.30
03-29,11:15,6.407,5.20
03-29,11:45,6.107,5.20
03-29,12:15,5.754,5.20
03-29,12:45,5.401,5.20
03-29,13:15,5.067,4.90
03-29,13:45,4.771,4.90
03-29,14:15,4.688,5.80
03-29,14:45,4.688,5.80
03-29,15:15,4.688,6.50
03-29,15:45,4.688,6.50
03-29,16:15,4.688,6.50
03-29,16:45,4.995,6.50
03-29,17:15,5.543,6.00
03-29,17:45,5.880,6.00
03-29,18:15,5.630,5.30
03-29,18:45,5.836,5.30
03-29,19:15,5.972,5.00
03-29,19:45,6.053,5.00
03-29,20:15,6.100,5.10
03-29,20:45,6.135,5.10
03-29,21:15,6.195,4.70
03-29,21:45,6.277,4.70
03-29,22:15,7.171,4.80
03-29,22:45,7.116,4.80
03-29,23:15,7.216,5.00
03-29,23:45,7.180,5.00
03-30,00:15,7.238,5.70
03-30,00:45,7.162,5.70
03-30,01:15,7.076,6.50
03-30,01:45,6.982,6.50
03-30,02:15,6.923,6.60
03-30,02:45,6.904,6.60
03-30,03:15,6.883,6.80
03-30,03:45,6.859,6.80
03-30,04:15,6.861,6.50
03-30,04:45,6.890,6.50
03-30,05:15,6.908,6.40
03-30,05:45,6.910,6.40
03-30,06:15,6.866,6.90
03-30,06:45,6.764,6.90
03-30,07:15,6.617,8.00
03-30,07:45,6.438,8.00
03-30,08:15,6.254,9.00
03-30,08:45,6.027,9.00
03-30,09:15,5.196,10.10
03-30,09:45,4.980,10.10
03-30,10:15,4.804,10.90
03-30,10:45,4.694,10.90
03-30,11:15,4.688,10.90
03-30,11:45,4.688,10.90
03-30,12:15,4.688,10.90
03-30,12:45,4.688,10.90
03-30,13:15,4.688,11.30
03-30,13:45,4.688,11.30
03-30,14:15,4.688,9.00
03-30,14:45,4.763,9.00
03-30,15:15,4.874,10.10
03-30,15:45,4.741,10.10
03-30,16:15,4.765,9.00
03-30,16:45,5.052,9.00
03-30,17:15,5.341,8.60
03-30,17:45,5.523,8.60
03-30,18:15,5.112,7.90
03-30,18:45,5.222,7.90
03-30,19:15,5.306,7.40
03-30,19:45,5.374,7.40
03-30,20:15,5.469,6.40
03-30,20:45,5.610,6.40
03-30,21:15,5.778,5.00
03-30,21:45,5.964,5.00
03-30,22:15,6.877,5.70
03-30,22:45,6.757,5.70
03-30,23:15,6.845,5.50
03-30,23:45,6.847,5.50
03-31,00:15,6.990,5.00
03-31,00:45,7.047,5.00
03-31,01:15,7.042,5.70
03-31,01:45,6.972,5.70
03-31,02:15,6.925,5.90
03-31,02:45,6.901,5.90
03-31,03:15,6.887,5.90
03-31,03:45,6.888,5.90
03-31,04:15,6.880,6.10
03-31,04:45,6.861,6.10
03-31,05:15,6.844,6.20
03-31,05:45,6.829,6.20
03-31,06:15,6.802,6.50
03-31,06:45,6.766,6.50
03-31,07:15,6.682,7.60
03-31,07:45,6.545,7.60
03-31,08:15,6.430,8.00
03-31,08:45,6.306,8.00
03-31,09:15,5.591,8.40
03-31,09:45,5.505,8.40
03-31,10:15,5.420,9.10
03-31,10:45,5.319,9.10
03-31,11:15,5.224,9.60
03-31,11:45,5.132,9.60
03-31,12:15,5.012,10.50
03-31,12:45,4.864,10.50
03-31,13:15,4.758,10.70
03-31,13:45,4.715,10.70
03-31,14:15,4.707,10.60
03-31,14:45,4.741,10.60
03-31,15:15,4.770,10.90
03-31,15:45,4.785,10.90
03-31,16:15,4.825,10.90
03-31,16:45,4.901,10.90
03-31,17:15,4.998,10.60
03-31,17:45,5.096,10.60
03-31,18:15,4.688,9.60
03-31,18:45,4.753,9.60
03-31,19:15,4.828,9.40
03-31,19:45,4.852,9.40
03-31,20:15,4.877,9.20
03-31,20:45,4.919,9.20
03-31,21:15,5.164,5.30
03-31,21:45,5.614,5.30
03-31,22:15,6.742,4.80
03-31,22:45,6.774,4.80
03-31,23:15,6.951,4.50
03-31,23:45,6.983,4.50
04-01,00:15,7.118,4.30
04-01,00:45,7.131,4.30
04-01,01:15,7.153,4.30
04-01,01:45,7.185,4.30
04-01,02:15,7.207,4.30
04-01,02:45,7.217,4.30
04-01,03:15,7.259,3.70
04-01,03:45,7.334,3.70
04-01,04:15,7.396,3.40
04-01,04:45,7.444,3.40
04-01,05:15,7.525,2.50
04-01,05:45,7.639,2.50
04-01,06:15,7.684,2.90
04-01,06:45,7.652,2.90
04-01,07:15,7.623,3.00
04-01,07:45,7.598,3.00
04-01,08:15,7.554,3.20
04-01,08:45,7.452,3.20
04-01,09:15,6.753,3.50
04-01,09:45,6.686,3.50
04-01,10:15,6.673,3.20
04-01,10:45,6.699,3.20
04-01,11:15,6.715,3.20
04-01,11:45,6.717,3.20
04-01,12:15,6.713,3.20
04-01,12:45,6.696,3.20
04-01,13:15,6.673,3.20
04-01,13:45,6.652,3.20
04-01,14:15,6.632,3.20
04-01,14:45,6.616,3.20
04-01,15:15,6.605,3.00
04-01,15:45,6.589,3.00
04-01,16:15,6.569,2.90
04-01,16:45,6.566,2.90
04-01,17:15,6.639,2.80
04-01,17:45,6.861,2.80
04-01,18:15,6.526,2.70
04-01,18:45,6.616,2.70
04-01,19:15,6.673,2.60
04-01,19:45,6.735,2.60
04-01,20:15,6.792,2.40
04-01,20:45,6.856,2.40
04-01,21:15,6.905,2.40
04-01,21:45,6.937,2.40
04-01,22:15,7.807,2.40
04-01,22:45,7.754,2.40
04-01,23:15,7.867,2.40
04-01,23:45,7.850,2.40
04-02,00:15,7.958,2.40
04-02,00:45,7.963,2.40
04-02,01:15,7.969,2.40
04-02,01:45,7.976,2.40
04-02,02:15,8.005,2.00
04-02,02:45,8.057,2.00
04-02,03:15,8.122,1.40
04-02,03:45,8.198,1.40
04-02,04:15,8.244,1.40
04-02,04:45,8.258,1.40
04-02,05:15,8.250,1.80
04-02,05:45,8.218,1.80
04-02,06:15,8.189,2.00
04-02,06:45,8.159,2.00
04-02,07:15,8.107,2.20
04-02,07:45,8.030,2.20
04-02,08:15,7.940,2.40
04-02,08:45,7.801,2.40
04-02,09:15,7.077,2.60
04-02,09:45,7.007,2.60
04-02,10:15,6.966,2.70
04-02,10:45,6.923,2.70
04-02,11:15,6.888,2.80
04-02,11:45,6.874,2.80
04-02,12:15,6.790,3.60
04-02,12:45,6.554,3.60
04-02,13:15,6.218,3.90
04-02,13:45,5.792,3.90
04-02,14:15,5.362,3.60
04-02,14:45,5.049,3.60
04-02,15:15,4.834,3.70
04-02,15:45,4.808,3.70
04-02,16:15,4.752,4.50
04-02,16:45,4.688,4.50
04-02,17:15,4.688,4.10
04-02,17:45,4.688,4.10
04-02,18:15,4.688,3.00
04-02,18:45,4.688,3.00
04-02,19:15,4.688,2.40
04-02,19:45,4.688,2.40
04-02,20:15,5.086,3.60
04-02,20:45,5.730,3.60
04-02,21:15,5.979,3.70
04-02,21:45,6.140,3.70
04-02,22:15,7.068,4.00
04-02,22:45,7.036,4.00
04-02,23:15,7.164,4.10
04-02,23:45,7.164,4.10
04-03,00:15,7.276,4.30
04-03,00:45,7.276,4.30
04-03,01:15,7.283,4.30
04-03,01:45,7.299,4.30
04-03,02:15,7.320,4.20
04-03,02:45,7.345,4.20
04-03,03:15,7.359,4.30
04-03,03:45,7.360,4.30
04-03,04:15,7.352,4.50
04-03,04:45,7.340,4.50
04-03,05:15,7.332,4.60
04-03,05:45,7.328,4.60
04-03,06:15,7.329,4.60
04-03,06:45,7.332,4.60
04-03,07:15,7.331,4.60
04-03,07:45,7.323,4.60
04-03,08:15,7.299,4.70
04-03,08:45,7.220,4.70
04-03,09:15,6.570,4.70
04-03,09:45,6.601,4.70
04-03,10:15,6.605,5.10
04-03,10:45,6.497,5.10
04-03,11:15,6.374,5.80
04-03,11:45,6.305,5.80
04-03,12:15,6.308,5.00
04-03,12:45,6.391,5.00
04-03,13:15,6.458,5.00
04-03,13:45,6.455,5.00
04-03,14:15,6.445,5.00
04-03,14:45,6.450,5.00
04-03,15:15,6.454,5.00
04-03,15:45,6.434,5.00
04-03,16:15,6.430,5.00
04-03,16:45,6.483,5.00
04-03,17:15,6.549,5.00
04-03,17:45,6.597,5.00
04-03,18:15,6.081,4.70
04-03,18:45,6.091,4.70
04-03,19:15,6.130,4.80
04-03,19:45,6.225,4.80
04-03,20:15,6.278,5.00
04-03,20:45,6.305,5.00
04-03,21:15,6.324,5.10
04-03,21:45,6.338,5.10
04-03,22:15,7.193,5.10
04-03,22:45,7.131,5.10
04-03,23:15,7.241,5.00
04-03,23:45,7.230,5.00
04-04,00:15,7.339,5.00
04-04,00:45,7.339,5.00
04-04,01:15,7.340,5.00
04-04,01:45,7.343,5.00
04-04,02:15,7.342,5.10
04-04,02:45,7.334,5.10
04-04,03:15,7.331,5.10
04-04,03:45,7.332,5.10
04-04,04:15,7.334,5.10
04-04,04:45,7.335,5.10
04-04,05:15,7.337,5.10
04-04,05:45,7.339,5.10
04-04,06:15,7.332,5.20
04-04,06:45,7.315,5.20
04-04,07:15,7.290,5.30
04-04,07:45,7.253,5.30
04-04,08:15,7.208,5.40
04-04,08:45,7.121,5.40
04-04,09:15,6.462,5.40
04-04,09:45,6.474,5.40
04-04,10:15,6.523,5.20
04-04,10:45,6.574,5.20
04-04,11:15,6.613,5.20
04-04,11:45,6.647,5.20
04-04,12:15,6.683,5.20
04-04,12:45,6.719,5.20
04-04,13:15,6.759,5.10
04-04,13:45,6.801,5.10
04-04,14:15,6.846,4.90
04-04,14:45,6.897,4.90
04-04,15:15,6.938,4.80
04-04,15:45,6.963,4.80
04-04,16:15,6.979,4.80
04-04,16:45,6.988,4.80
04-04,17:15,6.999,4.80
04-04,17:45,7.013,4.80
04-04,18:15,6.466,4.80
04-04,18:45,6.455,4.80
04-04,19:15,6.456,4.70
04-04,19:45,6.477,4.70
04-04,20:15,6.493,4.70
04-04,20:45,6.516,4.70
04-04,21:15,6.540,4.70
04-04,21:45,6.558,4.70
04-04,22:15,7.410,4.80
04-04,22:45,7.335,4.80
04-04,23:15,7.420,5.00
04-04,23:45,7.373,5.00
04-05,00:15,7.455,5.10
04-05,00:45,7.438,5.10
04-05,01:15,7.429,5.10
04-05,01:45,7.426,5.10
04-05,02:15,7.429,5.00
04-05,02:45,7.439,5.00
04-05,03:15,7.444,5.00
04-05,03:45,7.444,5.00
04-05,04:15,7.448,4.90
04-05,04:45,7.459,4.90
04-05,05:15,7.464,4.90
04-05,05:45,7.464,4.90
04-05,06:15,7.472,4.70
04-05,06:45,7.484,4.70
04-05,07:15,7.476,4.60
04-05,07:45,7.434,4.60
04-05,08:15,7.360,4.60
04-05,08:45,7.220,4.60
04-05,09:15,6.495,4.70
04-05,09:45,6.434,4.70
04-05,10:15,6.413,4.60
04-05,10:45,6.397,4.60
04-05,11:15,6.381,4.50
04-05,11:45,6.349,4.50
04-05,12:15,6.313,4.50
04-05,12:45,6.329,4.50
04-05,13:15,6.364,4.50
04-05,13:45,6.317,4.50
04-05,14:15,6.136,4.50
04-05,14:45,5.723,4.50
04-05,15:15,5.303,4.50
04-05,15:45,5.167,4.50
04-05,16:15,5.245,4.40
04-05,16:45,5.556,4.40
04-05,17:15,5.942,4.30
04-05,17:45,6.287,4.30
04-05,18:15,6.012,4.30
04-05,18:45,6.172,4.30
04-05,19:15,6.278,4.30
04-05,19:45,6.341,4.30
04-05,20:15,6.385,4.20
04-05,20:45,6.438,4.20
04-05,21:15,6.482,4.20
04-05,21:45,6.515,4.20
04-05,22:15,7.388,4.10
04-05,22:45,7.343,4.10
04-05,23:15,7.452,4.20
04-05,23:45,7.422,4.20
04-06,00:15,7.528,4.10
04-06,00:45,7.540,4.10
04-06,01:15,7.544,4.20
04-06,01:45,7.538,4.20
04-06,02:15,7.536,4.20
04-06,02:45,7.539,4.20
04-06,03:15,7.537,4.30
04-06,03:45,7.529,4.30
04-06,04:15,7.525,4.30
04-06,04:45,7.526,4.30
04-06,05:15,7.528,4.30
04-06,05:45,7.529,4.30
04-06,06:15,7.528,4.30
04-06,06:45,7.525,4.30
04-06,07:15,7.511,4.40
04-06,07:45,7.483,4.40
04-06,08:15,7.449,4.40
04-06,08:45,7.370,4.40
04-06,09:15,6.698,4.60
04-06,09:45,6.669,4.60
04-06,10:15,6.666,4.70
04-06,10:45,6.656,4.70
04-06,11:15,6.636,4.80
04-06,11:45,6.614,4.80
04-06,12:15,6.644,4.00
04-06,12:45,6.736,4.00
04-06,13:15,6.726,5.10
04-06,13:45,6.588,5.10
04-06,14:15,6.468,4.90
04-06,14:45,6.340,4.90
04-06,15:15,6.186,4.80
04-06,15:45,6.062,4.80
04-06,16:15,6.042,4.70
04-06,16:45,6.237,4.70
04-06,17:15,6.490,4.30
04-06,17:45,6.663,4.30
04-06,18:15,6.215,4.10
04-06,18:45,6.265,4.10
04-06,19:15,6.330,4.00
04-06,19:45,6.435,4.00
04-06,20:15,6.514,3.90
04-06,20:45,6.580,3.90
04-06,21:15,6.621,4.00
04-06,21:45,6.640,4.00
04-06,22:15,7.494,4.10
04-06,22:45,7.424,4.10
04-06,23:15,7.531,4.00
04-06,23:45,7.521,4.00
04-07,00:15,7.630,4.00
04-07,00:45,7.630,4.00
04-07,01:15,7.632,4.00
04-07,01:45,7.634,4.00
04-07,02:15,7.637,4.00
04-07,02:45,7.638,4.00
04-07,03:15,7.639,4.00
04-07,03:45,7.641,4.00
04-07,04:15,7.637,4.10
04-07,04:45,7.626,4.10
04-07,05:15,7.620,4.10
04-07,05:45,7.618,4.10
04-07,06:15,7.613,4.10
04-07,06:45,7.603,4.10
04-07,07:15,7.577,4.30
04-07,07:45,7.529,4.30
04-07,08:15,7.471,4.50
04-07,08:45,7.369,4.50
04-07,09:15,6.685,4.80
04-07,09:45,6.662,4.80
04-07,10:15,6.693,4.60
04-07,10:45,6.746,4.60
04-07,11:15,6.787,4.60
04-07,11:45,6.822,4.60
04-07,12:15,6.849,4.80
04-07,12:45,6.868,4.80
04-07,13:15,6.902,4.70
04-07,13:45,6.946,4.70
04-07,14:15,6.992,4.50
04-07,14:45,7.041,4.50
04-07,15:15,7.073,4.50
04-07,15:45,7.087,4.50
04-07,16:15,7.101,4.40
04-07,16:45,7.119,4.40
04-07,17:15,7.135,4.40
04-07,17:45,7.151,4.40
04-07,18:15,6.601,4.50
04-07,18:45,6.585,4.50
04-07,19:15,6.573,4.60
04-07,19:45,6.573,4.60
04-07,20:15,6.577,4.60
04-07,20:45,6.599,4.60
04-07,21:15,6.623,4.60
04-07,21:45,6.643,4.60
04-07,22:15,7.501,4.60
04-07,22:45,7.437,4.60
04-07,23:15,7.546,4.50
04-07,23:45,7.532,4.50
04-08,00:15,7.638,4.50
04-08,00:45,7.636,4.50
04-08,01:15,7.641,4.40
04-08,01:45,7.652,4.40
04-08,02:15,7.657,4.40
04-08,02:45,7.658,4.40
04-08,03:15,7.658,4.40
04-08,03:45,7.657,4.40
04-08,04:15,7.657,4.40
04-08,04:45,7.657,4.40
04-08,05:15,7.658,4.40
04-08,05:45,7.659,4.40
04-08,06:15,7.657,4.40
04-08,06:45,7.647,4.40
04-08,07:15,7.622,4.40
04-08,07:45,7.567,4.40
04-08,08:15,7.502,4.40
04-08,08:45,7.412,4.40
04-08,09:15,6.734,4.50
04-08,09:45,6.688,4.50
04-08,10:15,6.673,4.50
04-08,10:45,6.674,4.50
04-08,11:15,6.671,4.50
04-08,11:45,6.648,4.50
04-08,12:15,6.627,4.60
04-08,12:45,6.653,4.60
04-08,13:15,6.673,5.00
04-08,13:45,6.633,5.00
04-08,14:15,6.541,5.10
04-08,14:45,6.351,5.10
04-08,15:15,6.223,5.00
04-08,15:45,6.358,5.00
04-08,16:15,6.579,4.80
04-08,16:45,6.743,4.80
04-08,17:15,6.875,4.20
04-08,17:45,6.972,4.20
04-08,18:15,6.485,4.00
04-08,18:45,6.550,4.00
04-08,19:15,6.625,3.70
04-08,19:45,6.690,3.70
04-08,20:15,6.740,3.50
04-08,20:45,6.794,3.50
04-08,21:15,6.843,3.40
04-08,21:45,6.880,3.40
04-08,22:15,7.754,3.30
04-08,22:45,7.705,3.30
04-08,23:15,7.834,2.90
04-08,23:45,7.852,2.90
04-09,00:15,7.980,2.80
04-09,00:45,7.992,2.80
04-09,01:15,7.974,3.30
04-09,01:45,7.929,3.30
04-09,02:15,7.899,3.50
04-09,02:45,7.883,3.50
04-09,03:15,7.848,4.00
04-09,03:45,7.796,4.00
04-09,04:15,7.758,4.20
04-09,04:45,7.734,4.20
04-09,05:15,7.721,4.20
04-09,05:45,7.719,4.20
04-09,06:15,7.721,4.00
04-09,06:45,7.724,4.00
04-09,07:15,7.631,5.20
04-09,07:45,7.422,5.20
04-09,08:15,7.222,5.80
04-09,08:45,7.020,5.80
04-09,09:15,6.243,6.30
04-09,09:45,6.118,6.30
04-09,10:15,5.964,7.80
04-09,10:45,5.756,7.80
04-09,11:15,5.585,8.60
04-09,11:45,5.433,8.60
04-09,12:15,5.286,8.50
04-09,12:45,5.217,8.50
04-09,13:15,5.046,10.80
04-09,13:45,4.722,10.80
04-09,14:15,4.688,11.60
04-09,14:45,4.688,11.60
04-09,15:15,4.688,7.30
04-09,15:45,4.817,7.30
04-09,16:15,5.308,7.90
04-09,16:45,5.316,7.90
04-09,17:15,5.333,7.90
04-09,17:45,5.519,7.90
04-09,18:15,5.189,7.50
04-09,18:45,5.352,7.50
04-09,19:15,5.488,6.90
04-09,19:45,5.603,6.90
04-09,20:15,5.720,5.90
04-09,20:45,5.866,5.90
04-09,21:15,5.959,5.90
04-09,21:45,5.994,5.90
04-09,22:15,6.859,6.00
04-09,22:45,6.795,6.00
04-09,23:15,6.934,5.40
04-09,23:45,6.986,5.40
04-10,00:15,7.145,5.20
04-10,00:45,7.176,5.20
04-10,01:15,7.209,4.90
04-10,01:45,7.246,4.90
04-10,02:15,7.303,4.20
04-10,02:45,7.388,4.20
04-10,03:15,7.451,4.00
04-10,03:45,7.488,4.00
04-10,04:15,7.577,2.80
04-10,04:45,7.723,2.80
04-10,05:15,7.843,2.20
04-10,05:45,7.931,2.20
04-10,06:15,7.988,2.00
04-10,06:45,8.002,2.00
04-10,07:15,7.924,2.90
04-10,07:45,7.761,2.90
04-10,08:15,7.541,4.50
04-10,08:45,7.225,4.50
04-10,09:15,6.325,6.10
04-10,09:45,6.093,6.10
04-10,10:15,5.895,7.70
04-10,10:45,5.696,7.70
04-10,11:15,5.577,7.90
04-10,11:45,5.485,7.90
04-10,12:15,5.185,9.30
04-10,12:45,4.764,9.30
04-10,13:15,4.688,9.00
04-10,13:45,4.688,9.00
04-10,14:15,4.688,9.40
04-10,14:45,4.688,9.40
04-10,15:15,4.688,8.60
04-10,15:45,4.688,8.60
04-10,16:15,4.688,7.40
04-10,16:45,5.036,7.40
04-10,17:15,5.572,6.30
04-10,17:45,5.882,6.30
04-10,18:15,5.526,5.80
04-10,18:45,5.645,5.80
04-10,19:15,5.718,5.90
04-10,19:45,5.750,5.90
04-10,20:15,5.776,5.90
04-10,20:45,5.814,5.90
04-10,21:15,5.861,5.70
04-10,21:45,5.912,5.70
04-10,22:15,6.877,4.10
04-10,22:45,7.004,4.10
04-10,23:15,7.236,3.80
04-10,23:45,7.268,3.80
04-11,00:15,7.424,3.40
04-11,00:45,7.479,3.40
04-11,01:15,7.534,3.00
04-11,01:45,7.589,3.00
04-11,02:15,7.667,2.20
04-11,02:45,7.770,2.20
04-11,03:15,7.821,2.40
04-11,03:45,7.819,2.40
04-11,04:15,7.822,2.40
04-11,04:45,7.835,2.40
04-11,05:15,7.869,2.00
04-11,05:45,7.926,2.00
04-11,06:15,7.982,1.60
04-11,06:45,8.034,1.60
04-11,07:15,7.997,2.50
04-11,07:45,7.842,2.50
04-11,08:15,7.613,4.20
04-11,08:45,7.292,4.20
04-11,09:15,6.504,3.90
04-11,09:45,6.517,3.90
04-11,10:15,6.574,3.80
04-11,10:45,6.630,3.80
04-11,11:15,6.667,4.20
04-11,11:45,6.691,4.20
04-11,12:15,6.729,4.20
04-11,12:45,6.769,4.20
04-11,13:15,6.782,4.60
04-11,13:45,6.770,4.60
04-11,14:15,6.775,4.60
04-11,14:45,6.796,4.60
04-11,15:15,6.787,5.00
04-11,15:45,6.740,5.00
04-11,16:15,6.694,5.30
04-11,16:45,6.662,5.30
04-11,17:15,6.609,5.30
04-11,17:45,6.476,5.30
04-11,18:15,5.800,5.30
04-11,18:45,5.775,5.30
04-11,19:15,5.893,4.80
04-11,19:45,6.130,4.80
04-11,20:15,6.255,4.90
04-11,20:45,6.307,4.90
04-11,21:15,6.360,4.60
04-11,21:45,6.423,4.60
04-11,22:15,7.324,4.30
04-11,22:45,7.303,4.30
04-11,23:15,7.420,4.50
04-11,23:45,7.378,4.50
04-12,00:15,7.469,4.50
04-12,00:45,7.467,4.50
04-12,01:15,7.473,4.40
04-12,01:45,7.486,4.40
04-12,02:15,7.529,3.80
04-12,02:45,7.602,3.80
04-12,03:15,7.668,3.40
04-12,03:45,7.724,3.40
04-12,04:15,7.789,2.80
04-12,04:45,7.865,2.80
04-12,05:15,7.909,2.80
04-12,05:45,7.923,2.80
04-12,06:15,7.916,3.00
04-12,06:45,7.873,3.00
04-12,07:15,7.734,4.50
04-12,07:45,7.495,4.50
04-12,08:15,7.231,6.10
04-12,08:45,6.914,6.10
04-12,09:15,6.038,7.10
04-12,09:45,5.855,7.10
04-12,10:15,5.726,7.70
04-12,10:45,5.614,7.70
04-12,11:15,5.527,8.00
04-12,11:45,5.427,8.00
04-12,12:15,5.236,8.00
04-12,12:45,4.923,8.00
04-12,13:15,4.688,7.70
04-12,13:45,4.688,7.70
04-12,14:15,4.688,7.70
04-12,14:45,4.688,7.70
04-12,15:15,4.688,8.00
04-12,15:45,4.688,8.00
04-12,16:15,4.688,7.30
04-12,16:45,4.688,7.30
04-12,17:15,4.688,6.80
04-12,17:45,4.688,6.80
04-12,18:15,4.688,5.90
04-12,18:45,4.688,5.90
04-12,19:15,4.688,5.10
04-12,19:45,4.688,5.10
04-12,20:15,4.688,5.00
04-12,20:45,5.178,5.00
04-12,21:15,5.413,5.70
04-12,21:45,5.485,5.70
04-12,22:15,6.388,5.60
04-12,22:45,6.387,5.60
04-12,23:15,6.529,5.70
04-12,23:45,6.526,5.70
04-13,00:15,6.671,5.30
04-13,00:45,6.737,5.30
04-13,01:15,6.792,5.10
04-13,01:45,6.836,5.10
04-13,02:15,6.862,5.20
04-13,02:45,6.870,5.20
04-13,03:15,6.891,5.00
04-13,03:45,6.928,5.00
04-13,04:15,6.954,5.00
04-13,04:45,6.966,5.00
04-13,05:15,6.976,5.00
04-13,05:45,6.986,5.00
04-13,06:15,6.972,5.40
04-13,06:45,6.928,5.40
04-13,07:15,6.865,5.60
04-13,07:45,6.758,5.60
04-13,08:15,6.588,6.80
04-13,08:45,6.364,6.80
04-13,09:15,5.530,8.70
04-13,09:45,5.301,8.70
04-13,10:15,5.120,10.10
04-13,10:45,4.969,10.10
04-13,11:15,4.792,11.20
04-13,11:45,4.688,11.20
04-13,12:15,4.688,12.40
04-13,12:45,4.688,12.40
04-13,13:15,4.688,14.50
04-13,13:45,4.688,14.50
04-13,14:15,4.688,15.70
04-13,14:45,4.688,15.70
04-13,15:15,4.688,14.70
04-13,15:45,4.688,14.70
04-13,16:15,4.688,13.70
04-13,16:45,4.688,13.70
04-13,17:15,4.688,9.00
04-13,17:45,4.688,9.00
04-13,18:15,4.688,9.00
04-13,18:45,4.688,9.00
04-13,19:15,4.688,9.50
04-13,19:45,4.688,9.50
04-13,20:15,4.688,8.10
04-13,20:45,4.688,8.10
04-13,21:15,4.688,8.40
04-13,21:45,4.688,8.40
04-13,22:15,5.577,8.40
04-13,22:45,5.589,8.40
04-13,23:15,5.743,8.10
04-13,23:45,5.773,8.10
04-14,00:15,5.919,7.90
04-14,00:45,5.953,7.90
04-14,01:15,6.014,7.20
04-14,01:45,6.102,7.20
04-14,02:15,6.159,7.10
04-14,02:45,6.182,7.10
04-14,03:15,6.197,7.10
04-14,03:45,6.208,7.10
04-14,04:15,6.241,6.70
04-14,04:45,6.295,6.70
04-14,05:15,6.371,5.90
04-14,05:45,6.470,5.90
04-14,06:15,6.489,6.40
04-14,06:45,6.414,6.40
04-14,07:15,6.320,6.70
04-14,07:45,6.200,6.70
04-14,08:15,6.022,7.70
04-14,08:45,5.762,7.70
04-14,09:15,4.973,7.70
04-14,09:45,4.898,7.70
04-14,10:15,4.867,7.70
04-14,10:45,4.868,7.70
04-14,11:15,4.890,7.80
04-14,11:45,4.936,7.80
04-14,12:15,4.860,10.10
04-14,12:45,4.697,10.10
04-14,13:15,4.688,12.60
04-14,13:45,4.688,12.60
04-14,14:15,4.688,14.30
04-14,14:45,4.688,14.30
04-14,15:15,4.688,15.50
04-14,15:45,4.688,15.50
04-14,16:15,4.688,15.30
04-14,16:45,4.688,15.30
04-14,17:15,4.688,14.40
04-14,17:45,4.688,14.40
04-14,18:15,4.688,13.20
04-14,18:45,4.688,13.20
04-14,19:15,4.688,11.40
04-14,19:45,4.688,11.40
04-14,20:15,4.688,10.10
04-14,20:45,4.688,10.10
04-14,21:15,4.688,9.00
04-14,21:45,4.688,9.00
04-14,22:15,4.688,8.90
04-14,22:45,4.688,8.90
04-14,23:15,5.072,8.60
04-14,23:45,5.216,8.60
04-15,00:15,5.321,10.20
04-15,00:45,5.193,10.20
04-15,01:15,5.079,11.10
04-15,01:45,4.991,11.10
04-15,02:15,4.903,11.90
04-15,02:45,4.819,11.90
04-15,03:15,4.765,12.10
04-15,03:45,4.741,12.10
04-15,04:15,4.777,11.20
04-15,04:45,4.876,11.20
04-15,05:15,4.932,11.20
04-15,05:45,4.941,11.20
04-15,06:15,4.926,11.40
04-15,06:45,4.874,11.40
04-15,07:15,4.814,11.10
04-15,07:45,4.721,11.10
04-15,08:15,4.688,10.80
04-15,08:45,4.688,10.80
04-15,09:15,4.688,10.80
04-15,09:45,4.688,10.80
04-15,10:15,4.688,11.80
04-15,10:45,4.688,11.80
04-15,11:15,4.688,12.60
04-15,11:45,4.688,12.60
04-15,12:15,4.688,13.00
04-15,12:45,4.688,13.00
04-15,13:15,4.688,13.20
04-15,13:45,4.688,13.20
04-15,14:15,4.688,13.30
04-15,14:45,4.688,13.30
04-15,15:15,4.688,13.40
04-15,15:45,4.688,13.40
04-15,16:15,4.688,12.60
04-15,16:45,4.688,12.60
04-15,17:15,4.688,12.40
04-15,17:45,4.688,12.40
04-15,18:15,4.688,12.50
04-15,18:45,4.688,12.50
04-15,19:15,4.688,12.90
04-15,19:45,4.688,12.90
04-15,20:15,4.688,12.30
04-15,20:45,4.688,12.30
04-15,21:15,4.688,10.70
04-15,21:45,4.688,10.70
04-15,22:15,4.688,10.90
04-15,22:45,4.688,10.90
04-15,23:15,4.688,9.60
04-15,23:45,4.688,9.60
04-16,00:15,4.688,9.80
