DateTime,Ap Sys boilers energy (kBtu/h),Ap Sys boilers space cond'g load (kW),Solar azimuth (deg.),Ap Sys boilers DHW load (kW),Ap Sys boilers space cond'g energy (kBtu/h),Cloud cover (oktas),Ap Sys boilers DHW energy (kBtu/h),Atmospheric pressure (Pa),External relative humidity (%),External moisture content (kg/kg),System grid disp. elec. PV CE (kgCO2/h)
08-01 21:15,4.688,0.0000,314.7,1.2229,0.000,3.99,4.688,100820,78.7,0.00738,-0.0
08-01 21:45,4.688,0.0000,314.7,1.2229,0.000,3.99,4.688,100820,78.7,0.00738,-0.0
08-01 22:15,4.688,0.0000,328.1,1.2229,0.000,3.00,4.688,100800,86.3,0.00729,0.0
08-01 22:45,4.688,0.0000,328.1,1.2229,0.000,3.00,4.688,100800,86.3,0.00729,0.0
08-01 23:15,4.688,0.0000,342.3,1.2229,0.000,1.00,4.688,100830,88.2,0.00702,0.0
08-01 23:45,4.688,0.0000,342.3,1.2229,0.000,1.00,4.688,100830,88.2,0.00702,0.0
08-02 00:15,4.688,0.0000,357.0,1.2229,0.000,1.00,4.688,100810,88.1,0.00692,0.0
08-02 00:45,4.688,0.0000,357.0,1.2229,0.000,1.00,4.688,100810,88.1,0.00692,0.0
08-02 01:15,4.688,0.0000,11.8,1.2229,0.000,0.00,4.688,100800,90.3,0.00676,0.0
08-02 01:45,4.688,0.0000,11.8,1.2229,0.000,0.00,4.688,100800,90.3,0.00676,0.0
08-02 02:15,4.688,0.0000,26.3,1.2229,0.000,0.00,4.688,100820,90.3,0.00685,0.0
08-02 02:45,4.688,0.0000,26.3,1.2229,0.000,0.00,4.688,100820,90.3,0.00685,0.0
08-02 03:15,4.688,0.0000,40.0,1.2229,0.000,2.00,4.688,100810,92.4,0.00651,0.0
08-02 03:45,4.688,0.0000,40.0,1.2229,0.000,2.00,4.688,100810,92.4,0.00651,0.0
08-02 04:15,4.688,0.0000,53.0,1.2229,0.000,3.00,4.688,100790,88.9,0.00652,0.0
08-02 04:45,4.688,0.0000,53.0,1.2229,0.000,3.00,4.688,100790,88.9,0.00652,0.0
08-02 05:15,4.688,0.0000,65.3,1.2229,0.000,4.00,4.688,100840,87.9,0.00657,-0.0
08-02 05:45,4.688,0.0000,65.3,1.2229,0.000,4.00,4.688,100840,87.9,0.00657,-0.0
08-02 06:15,4.688,0.0000,77.2,1.2229,0.000,4.00,4.688,100880,85.7,0.00663,-0.0
08-02 06:45,4.688,0.0000,77.2,1.2229,0.000,4.00,4.688,100880,85.7,0.00663,-0.0
08-02 07:15,4.688,0.0000,89.3,1.2229,0.000,3.00,4.688,100890,76.2,0.00686,-0.0
08-02 07:45,4.688,0.0000,89.3,1.2229,0.000,3.00,4.688,100890,76.2,0.00686,-0.0
08-02 08:15,4.688,0.0000,102.0,1.2229,0.000,4.99,4.688,100920,73.0,0.00707,-0.0
08-02 08:45,4.688,0.0000,102.0,1.2229,0.000,4.99,4.688,100920,73.0,0.00707,-0.0
08-02 09:15,4.688,0.0000,116.3,1.2229,0.000,6.00,4.688,100960,63.7,0.00671,-0.0
08-02 09:45,4.688,0.0000,116.3,1.2229,0.000,6.00,4.688,100960,63.7,0.00671,-0.0
08-02 10:15,4.688,0.0000,132.9,1.2229,0.000,6.00,4.688,100980,60.5,0.00720,-0.0
08-02 10:45,4.688,0.0000,132.9,1.2229,0.000,6.00,4.688,100980,60.5,0.00720,-0.0
08-02 11:15,4.688,0.0000,152.7,1.2229,0.000,7.00,4.688,101000,52.7,0.00594,-0.0
08-02 11:45,4.688,0.0000,152.7,1.2229,0.000,7.00,4.688,101000,52.7,0.00594,-0.0
08-02 12:15,4.688,0.0000,175.2,1.2229,0.000,6.99,4.688,101020,56.7,0.00686,-0.0
08-02 12:45,4.688,0.0000,175.2,1.2229,0.000,6.99,4.688,101020,56.7,0.00686,-0.0
08-02 13:15,4.688,0.0000,198.4,1.2229,0.000,7.00,4.688,101050,67.1,0.00734,-0.0
08-02 13:45,4.688,0.0000,198.4,1.2229,0.000,7.00,4.688,101050,67.1,0.00734,-0.0
08-02 14:15,4.688,0.0000,219.5,1.2229,0.000,7.00,4.688,101060,63.2,0.00718,-0.0
08-02 14:45,4.688,0.0000,219.5,1.2229,0.000,7.00,4.688,101060,63.2,0.00718,-0.0
08-02 15:15,4.688,0.0000,237.3,1.2229,0.000,7.00,4.688,101050,56.3,0.00700,-0.0
08-02 15:45,4.688,0.0000,237.3,1.2229,0.000,7.00,4.688,101050,56.3,0.00700,-0.0
08-02 16:15,4.688,0.0000,252.4,1.2229,0.000,7.00,4.688,101040,70.4,0.00751,-0.0
08-02 16:45,4.688,0.0000,252.4,1.2229,0.000,7.00,4.688,101040,70.4,0.00751,-0.0
08-02 17:15,4.688,0.0000,265.7,1.2229,0.000,7.00,4.688,101030,63.2,0.00719,-0.0
08-02 17:45,4.688,0.0000,265.7,1.2229,0.000,7.00,4.688,101030,63.2,0.00719,-0.0
08-02 18:15,4.688,0.0000,278.0,1.2229,0.000,7.00,4.688,100990,64.3,0.00741,-0.0
08-02 18:45,4.688,0.0000,278.0,1.2229,0.000,7.00,4.688,100990,64.3,0.00741,-0.0
08-02 19:15,4.688,0.0000,289.9,1.2229,0.000,5.99,4.688,100970,67.7,0.00727,-0.0
08-02 19:45,4.688,0.0000,289.9,1.2229,0.000,5.99,4.688,100970,67.7,0.00727,-0.0
08-02 20:15,4.688,0.0000,302.0,1.2229,0.000,6.00,4.688,100980,71.3,0.00709,-0.0
08-02 20:45,4.688,0.0000,302.0,1.2229,0.000,6.00,4.688,100980,71.3,0.00709,-0.0
08-02 21:15,4.688,0.0000,314.6,1.2229,0.000,6.00,4.688,100960,76.1,0.00686,-0.0
08-02 21:45,4.688,0.0000,314.6,1.2229,0.000,6.00,4.688,100960,76.1,0.00686,-0.0
08-02 22:15,4.688,0.0000,328.0,1.2229,0.000,6.00,4.688,100930,75.9,0.00670,0.0
08-02 22:45,4.688,0.0000,328.0,1.2229,0.000,6.00,4.688,100930,75.9,0.00670,0.0
08-02 23:15,4.688,0.0000,342.2,1.2229,0.000,6.00,4.688,100880,79.9,0.00688,0.0
08-02 23:45,4.688,0.0000,342.2,1.2229,0.000,6.00,4.688,100880,79.9,0.00688,0.0
08-03 00:15,4.688,0.0000,357.0,1.2229,0.000,6.00,4.688,100840,79.9,0.00688,0.0
08-03 00:45,4.688,0.0000,357.0,1.2229,0.000,6.00,4.688,100840,79.9,0.00688,0.0
08-03 01:15,4.688,0.0000,11.9,1.2229,0.000,4.99,4.688,100820,82.9,0.00691,0.0
08-03 01:45,4.688,0.0000,11.9,1.2229,0.000,4.99,4.688,100820,82.9,0.00691,0.0
08-03 02:15,4.688,0.0000,26.4,1.2229,0.000,6.00,4.688,100810,85.7,0.00663,0.0
08-03 02:45,4.688,0.0000,26.4,1.2229,0.000,6.00,4.688,100810,85.7,0.00663,0.0
08-03 03:15,4.688,0.0000,40.2,1.2229,0.000,5.00,4.688,100780,85.9,0.00678,0.0
08-03 03:45,4.688,0.0000,40.2,1.2229,0.000,5.00,4.688,100780,85.9,0.00678,0.0
08-03 04:15,4.688,0.0000,53.1,1.2229,0.000,6.00,4.688,100780,83.7,0.00675,0.0
08-03 04:45,4.688,0.0000,53.1,1.2229,0.000,6.00,4.688,100780,83.7,0.00675,0.0
08-03 05:15,4.688,0.0000,65.4,1.2229,0.000,4.00,4.688,100780,82.5,0.00656,-0.0
08-03 05:45,4.688,0.0000,65.4,1.2229,0.000,4.00,4.688,100780,82.5,0.00656,-0.0
08-03 06:15,4.688,0.0000,77.4,1.2229,0.000,4.00,4.688,100760,82.7,0.00676,-0.0
08-03 06:45,4.688,0.0000,77.4,1.2229,0.000,4.00,4.688,100760,82.7,0.00676,-0.0
08-03 07:15,4.688,0.0000,89.4,1.2229,0.000,2.00,4.688,100800,80.3,0.00720,-0.0
08-03 07:45,4.688,0.0000,89.4,1.2229,0.000,2.00,4.688,100800,80.3,0.00720,-0.0
08-03 08:15,4.688,0.0000,102.2,1.2229,0.000,7.00,4.688,100830,77.6,0.00723,-0.0
08-03 08:45,4.688,0.0000,102.2,1.2229,0.000,7.00,4.688,100830,77.6,0.00723,-0.0
08-03 09:15,4.688,0.0000,116.5,1.2229,0.000,6.00,4.688,100860,74.8,0.00716,-0.0
08-03 09:45,4.688,0.0000,116.5,1.2229,0.000,6.00,4.688,100860,74.8,0.00716,-0.0
08-03 10:15,4.688,0.0000,133.1,1.2229,0.000,5.99,4.688,100920,86.7,0.00777,-0.0
08-03 10:45,4.688,0.0000,133.1,1.2229,0.000,5.99,4.688,100920,86.7,0.00777,-0.0
08-03 11:15,4.688,0.0000,152.8,1.2229,0.000,6.00,4.688,100960,89.9,0.00790,-0.0
08-03 11:45,4.688,0.0000,152.8,1.2229,0.000,6.00,4.688,100960,89.9,0.00790,-0.0
08-03 12:15,4.688,0.0000,175.3,1.2229,0.000,4.00,4.688,101000,88.2,0.00844,-0.0
08-03 12:45,4.688,0.0000,175.3,1.2229,0.000,4.00,4.688,101000,88.2,0.00844,-0.0
08-03 13:15,4.688,0.0000,198.4,1.2229,0.000,3.00,4.688,101040,88.3,0.00862,-0.0
08-03 13:45,4.688,0.0000,198.4,1.2229,0.000,3.00,4.688,101040,88.3,0.00862,-0.0
08-03 14:15,4.688,0.0000,219.4,1.2229,0.000,3.00,4.688,101060,86.3,0.00853,-0.0
08-03 14:45,4.688,0.0000,219.4,1.2229,0.000,3.00,4.688,101060,86.3,0.00853,-0.0
08-03 15:15,4.688,0.0000,237.2,1.2229,0.000,3.00,4.688,101090,77.8,0.00743,-0.0
08-03 15:45,4.688,0.0000,237.2,1.2229,0.000,3.00,4.688,101090,77.8,0.00743,-0.0
08-03 16:15,4.688,0.0000,252.3,1.2229,0.000,4.00,4.688,101140,78.2,0.00777,-0.0
08-03 16:45,4.688,0.0000,252.3,1.2229,0.000,4.00,4.688,101140,78.2,0.00777,-0.0
08-03 17:15,4.688,0.0000,265.5,1.2229,0.000,5.00,4.688,101200,78.2,0.00776,-0.0
08-03 17:45,4.688,0.0000,265.5,1.2229,0.000,5.00,4.688,101200,78.2,0.00776,-0.0
08-03 18:15,4.688,0.0000,277.8,1.2229,0.000,5.99,4.688,101270,78.4,0.00718,-0.0
08-03 18:45,4.688,0.0000,277.8,1.2229,0.000,5.99,4.688,101270,78.4,0.00718,-0.0
08-03 19:15,4.688,0.0000,289.8,1.2229,0.000,6.00,4.688,101350,80.6,0.00743,-0.0
08-03 19:45,4.688,0.0000,289.8,1.2229,0.000,6.00,4.688,101350,80.6,0.00743,-0.0
08-03 20:15,4.688,0.0000,301.9,1.2229,0.000,5.00,4.688,101410,87.5,0.00745,-0.0
08-03 20:45,4.688,0.0000,301.9,1.2229,0.000,5.00,4.688,101410,87.5,0.00745,-0.0
08-03 21:15,4.688,0.0000,314.5,1.2229,0.000,5.00,4.688,101480,88.4,0.00717,0.0
08-03 21:45,4.688,0.0000,314.5,1.2229,0.000,5.00,4.688,101480,88.4,0.00717,0.0
08-03 22:15,4.688,0.0000,328.0,1.2229,0.000,7.00,4.688,101560,90.5,0.00715,0.0
08-03 22:45,4.688,0.0000,328.0,1.2229,0.000,7.00,4.688,101560,90.5,0.00715,0.0
08-03 23:15,4.688,0.0000,342.2,1.2229,0.000,8.00,4.688,101600,88.3,0.00716,0.0
08-03 23:45,4.688,0.0000,342.2,1.2229,0.000,8.00,4.688,101600,88.3,0.00716,0.0
