DateTime,Ap Sys boilers energy (kBtu/h),Ap Sys boilers space cond'g load (kW),Solar azimuth (deg.),Ap Sys boilers DHW load (kW),Ap Sys boilers space cond'g energy (kBtu/h),Cloud cover (oktas),Ap Sys boilers DHW energy (kBtu/h),Atmospheric pressure (Pa),External relative humidity (%),External moisture content (kg/kg),System grid disp. elec. PV CE (kgCO2/h)
01-01 00:15,7.325,0.6876,21.2,1.2229,2.636,8.00,4.688,101090,74.7,0.00420,0.0
01-01 00:45,7.330,0.6890,21.2,1.2229,2.642,8.00,4.688,101090,74.7,0.00420,0.0
01-01 01:15,7.333,0.6897,43.5,1.2229,2.644,7.99,4.688,101070,74.7,0.00420,0.0
01-01 01:45,7.331,0.6893,43.5,1.2229,2.643,7.99,4.688,101070,74.7,0.00420,0.0
01-01 02:15,7.330,0.6891,61.6,1.2229,2.642,8.00,4.688,101030,74.7,0.00420,0.0
01-01 02:45,7.329,0.6888,61.6,1.2229,2.641,8.00,4.688,101030,74.7,0.00420,0.0
01-01 03:15,7.328,0.6885,76.6,1.2229,2.640,8.00,4.688,101000,72.0,0.00405,0.0
01-01 03:45,7.327,0.6883,76.6,1.2229,2.639,8.00,4.688,101000,72.0,0.00405,0.0
01-01 04:15,7.327,0.6883,89.7,1.2229,2.639,8.00,4.688,100950,77.5,0.00436,0.0
01-01 04:45,7.326,0.6879,89.7,1.2229,2.637,8.00,4.688,100950,77.5,0.00436,0.0
01-01 05:15,7.336,0.6905,101.7,1.2229,2.647,8.00,4.688,100880,73.2,0.00406,0.0
01-01 05:45,7.358,0.6964,101.7,1.2229,2.670,8.00,4.688,100880,73.2,0.00406,0.0
01-01 06:15,7.382,0.7027,113.3,1.2229,2.694,8.00,4.688,100830,73.0,0.00399,0.0
01-01 06:45,7.407,0.7090,113.3,1.2229,2.718,8.00,4.688,100830,73.0,0.00399,0.0
01-01 07:15,7.425,0.7139,125.1,1.2229,2.737,8.00,4.688,100750,75.7,0.00412,0.0
01-01 07:45,7.439,0.7174,125.1,1.2229,2.750,8.00,4.688,100750,75.7,0.00412,0.0
01-01 08:15,7.444,0.7187,137.3,1.2229,2.755,8.00,4.688,100690,71.4,0.00386,-0.0
01-01 08:45,7.402,0.7077,137.3,1.2229,2.713,8.00,4.688,100690,71.4,0.00386,-0.0
01-01 09:15,6.770,0.5429,150.2,1.2229,2.081,8.00,4.688,100590,75.6,0.00409,-0.0
01-01 09:45,6.780,0.5455,150.2,1.2229,2.092,8.00,4.688,100590,75.6,0.00409,-0.0
01-01 10:15,6.841,0.5616,163.8,1.2229,2.153,8.00,4.688,100490,82.3,0.00431,-0.0
01-01 10:45,6.931,0.5850,163.8,1.2229,2.243,8.00,4.688,100490,82.3,0.00431,-0.0
01-01 11:15,7.027,0.6099,177.8,1.2229,2.338,7.99,4.688,100420,89.3,0.00449,-0.0
01-01 11:45,7.126,0.6360,177.8,1.2229,2.438,7.99,4.688,100420,89.3,0.00449,-0.0
01-01 12:15,7.204,0.6562,191.9,1.2229,2.516,7.99,4.688,100270,92.3,0.00458,-0.0
01-01 12:45,7.259,0.6704,191.9,1.2229,2.570,7.99,4.688,100270,92.3,0.00458,-0.0
01-01 13:15,7.322,0.6868,205.6,1.2229,2.633,7.99,4.688,100170,92.2,0.00445,-0.0
01-01 13:45,7.395,0.7059,205.6,1.2229,2.706,7.99,4.688,100170,92.2,0.00445,-0.0
01-01 14:15,7.446,0.7193,218.7,1.2229,2.758,7.99,4.688,100070,92.2,0.00445,-0.0
01-01 14:45,7.474,0.7266,218.7,1.2229,2.786,7.99,4.688,100070,92.2,0.00445,-0.0
01-01 15:15,7.511,0.7364,231.2,1.2229,2.823,7.99,4.688,99970,93.7,0.00447,-0.0
01-01 15:45,7.562,0.7496,231.2,1.2229,2.874,7.99,4.688,99970,93.7,0.00447,-0.0
01-01 16:15,7.585,0.7556,243.0,1.2229,2.897,7.99,4.688,99870,92.2,0.00450,0.0
01-01 16:45,7.575,0.7530,243.0,1.2229,2.887,7.99,4.688,99870,92.2,0.00450,0.0
01-01 17:15,7.565,0.7504,254.7,1.2229,2.877,8.00,4.688,99760,92.3,0.00457,0.0
01-01 17:45,7.558,0.7484,254.7,1.2229,2.869,8.00,4.688,99760,92.3,0.00457,0.0
01-01 18:15,6.992,0.6007,266.5,1.2229,2.303,8.00,4.688,99690,92.3,0.00461,0.0
01-01 18:45,6.966,0.5940,266.5,1.2229,2.277,8.00,4.688,99690,92.3,0.00461,0.0
01-01 19:15,6.939,0.5869,279.1,1.2229,2.250,7.99,4.688,99620,90.8,0.00457,0.0
01-01 19:45,6.916,0.5810,279.1,1.2229,2.227,7.99,4.688,99620,90.8,0.00457,0.0
01-01 20:15,6.899,0.5767,293.4,1.2229,2.211,8.00,4.688,99610,90.9,0.00460,0.0
01-01 20:45,6.903,0.5777,293.4,1.2229,2.215,8.00,4.688,99610,90.9,0.00460,0.0
01-01 21:15,6.921,0.5824,310.4,1.2229,2.233,8.00,4.688,99650,92.4,0.00464,0.0
01-01 21:45,6.947,0.5892,310.4,1.2229,2.259,8.00,4.688,99650,92.4,0.00464,0.0
01-01 22:15,7.808,0.8136,331.3,1.2229,3.119,8.00,4.688,99690,92.4,0.00464,0.0
01-01 22:45,7.742,0.7965,331.3,1.2229,3.054,8.00,4.688,99690,92.4,0.00464,0.0
01-01 23:15,7.827,0.8187,356.0,1.2229,3.139,7.99,4.688,99770,89.5,0.00459,0.0
01-01 23:45,7.768,0.8032,356.0,1.2229,3.079,7.99,4.688,99770,89.5,0.00459,0.0
01-02 00:15,7.845,0.8234,21.0,1.2229,3.157,8.00,4.688,99840,89.5,0.00462,0.0
01-02 00:45,7.828,0.8190,21.0,1.2229,3.140,8.00,4.688,99840,89.5,0.00462,0.0
01-02 01:15,7.813,0.8151,43.3,1.2229,3.125,8.00,4.688,99910,89.5,0.00465,0.0
01-02 01:45,7.800,0.8116,43.3,1.2229,3.112,8.00,4.688,99910,89.5,0.00465,0.0
01-02 02:15,7.782,0.8070,61.5,1.2229,3.094,8.00,4.688,100060,92.6,0.00487,0.0
01-02 02:45,7.759,0.8008,61.5,1.2229,3.070,8.00,4.688,100060,92.6,0.00487,0.0
01-02 03:15,7.734,0.7945,76.5,1.2229,3.046,8.00,4.688,100140,91.2,0.00486,0.0
01-02 03:45,7.710,0.7882,76.5,1.2229,3.022,8.00,4.688,100140,91.2,0.00486,0.0
01-02 04:15,7.713,0.7890,89.5,1.2229,3.025,8.00,4.688,100260,91.0,0.00475,0.0
01-02 04:45,7.745,0.7972,89.5,1.2229,3.056,8.00,4.688,100260,91.0,0.00475,0.0
01-02 05:15,7.757,0.8003,101.5,1.2229,3.068,8.00,4.688,100430,88.1,0.00462,0.0
01-02 05:45,7.748,0.7980,101.5,1.2229,3.059,8.00,4.688,100430,88.1,0.00462,0.0
01-02 06:15,7.753,0.7995,113.2,1.2229,3.065,8.00,4.688,100600,86.5,0.00446,0.0
01-02 06:45,7.775,0.8050,113.2,1.2229,3.086,8.00,4.688,100600,86.5,0.00446,0.0
01-02 07:15,7.808,0.8136,124.9,1.2229,3.119,8.00,4.688,100830,89.3,0.00447,0.0
01-02 07:45,7.853,0.8254,124.9,1.2229,3.165,8.00,4.688,100830,89.3,0.00447,0.0
01-02 08:15,7.882,0.8329,137.2,1.2229,3.193,8.00,4.688,101030,87.7,0.00431,-0.0
01-02 08:45,7.852,0.8252,137.2,1.2229,3.164,8.00,4.688,101030,87.7,0.00431,-0.0
01-02 09:15,7.171,0.6475,150.1,1.2229,2.482,8.00,4.688,101210,80.8,0.00420,-0.0
01-02 09:45,7.074,0.6222,150.1,1.2229,2.385,8.00,4.688,101210,80.8,0.00420,-0.0
01-02 10:15,7.037,0.6126,163.7,1.2229,2.348,7.00,4.688,101410,76.4,0.00396,-0.0
01-02 10:45,7.045,0.6147,163.7,1.2229,2.357,7.00,4.688,101410,76.4,0.00396,-0.0
01-02 11:15,7.009,0.6052,177.7,1.2229,2.320,3.00,4.688,101580,68.4,0.00367,-0.0
01-02 11:45,6.889,0.5739,177.7,1.2229,2.200,3.00,4.688,101580,68.4,0.00367,-0.0
01-02 12:15,6.858,0.5660,191.8,1.2229,2.170,2.00,4.688,101700,64.2,0.00320,-0.0
01-02 12:45,7.017,0.6075,191.8,1.2229,2.329,2.00,4.688,101700,64.2,0.00320,-0.0
01-02 13:15,7.118,0.6338,205.5,1.2229,2.430,2.00,4.688,101860,61.4,0.00308,-0.0
01-02 13:45,7.050,0.6160,205.5,1.2229,2.362,2.00,4.688,101860,61.4,0.00308,-0.0
01-02 14:15,7.017,0.6075,218.6,1.2229,2.329,2.00,4.688,102030,70.0,0.00351,-0.0
01-02 14:45,7.131,0.6372,218.6,1.2229,2.443,2.00,4.688,102030,70.0,0.00351,-0.0
01-02 15:15,7.289,0.6784,231.1,1.2229,2.601,1.00,4.688,102160,69.1,0.00329,-0.0
01-02 15:45,7.451,0.7206,231.1,1.2229,2.763,1.00,4.688,102160,69.1,0.00329,-0.0
01-02 16:15,7.541,0.7440,243.0,1.2229,2.852,2.00,4.688,102280,64.9,0.00313,0.0
01-02 16:45,7.578,0.7537,243.0,1.2229,2.890,2.00,4.688,102280,64.9,0.00313,0.0
01-02 17:15,7.614,0.7631,254.6,1.2229,2.926,2.00,4.688,102380,64.9,0.00312,0.0
01-02 17:45,7.652,0.7730,254.6,1.2229,2.964,2.00,4.688,102380,64.9,0.00312,0.0
01-02 18:15,7.125,0.6355,266.5,1.2229,2.436,1.00,4.688,102460,61.9,0.00298,0.0
01-02 18:45,7.132,0.6374,266.5,1.2229,2.444,1.00,4.688,102460,61.9,0.00298,0.0
01-02 19:15,7.173,0.6480,279.1,1.2229,2.484,6.00,4.688,102540,71.4,0.00327,0.0
01-02 19:45,7.249,0.6680,279.1,1.2229,2.561,6.00,4.688,102540,71.4,0.00327,0.0
01-02 20:15,7.305,0.6826,293.3,1.2229,2.617,3.99,4.688,102620,68.1,0.00307,0.0
01-02 20:45,7.360,0.6968,293.3,1.2229,2.671,3.99,4.688,102620,68.1,0.00307,0.0
01-02 21:15,7.446,0.7192,310.3,1.2229,2.757,7.00,4.688,102710,80.0,0.00343,0.0
01-02 21:45,7.551,0.7468,310.3,1.2229,2.863,7.00,4.688,102710,80.0,0.00343,0.0
01-02 22:15,8.465,0.9852,331.2,1.2229,3.777,2.00,4.688,102750,75.0,0.00319,0.0
01-02 22:45,8.435,0.9773,331.2,1.2229,3.747,2.00,4.688,102750,75.0,0.00319,0.0
01-02 23:15,8.602,1.0208,355.8,1.2229,3.914,3.00,4.688,102810,80.3,0.00322,0.0
01-02 23:45,8.666,1.0374,355.8,1.2229,3.977,3.00,4.688,102810,80.3,0.00322,0.0
01-03 00:15,8.811,1.0754,20.8,1.2229,4.123,2.99,4.688,102870,78.6,0.00315,0.0
01-03 00:45,8.816,1.0766,20.8,1.2229,4.128,2.99,4.688,102870,78.6,0.00315,0.0
01-03 01:15,8.857,1.0873,43.1,1.2229,4.169,0.99,4.688,102870,81.0,0.00311,0.0
01-03 01:45,8.935,1.1076,43.1,1.2229,4.247,0.99,4.688,102870,81.0,0.00311,0.0
01-03 02:15,8.992,1.1225,61.3,1.2229,4.303,0.00,4.688,102950,82.5,0.00314,0.0
01-03 02:45,9.025,1.1311,61.3,1.2229,4.337,0.00,4.688,102950,82.5,0.00314,0.0
01-03 03:15,9.057,1.1396,76.3,1.2229,4.369,0.00,4.688,102980,85.9,0.00324,0.0
01-03 03:45,9.088,1.1475,76.3,1.2229,4.399,0.00,4.688,102980,85.9,0.00324,0.0
01-03 04:15,9.128,1.1579,89.4,1.2229,4.439,0.00,4.688,102950,83.7,0.00309,0.0
01-03 04:45,9.179,1.1712,89.4,1.2229,4.490,0.00,4.688,102950,83.7,0.00309,0.0
01-03 05:15,9.214,1.1804,101.4,1.2229,4.526,3.00,4.688,102940,80.2,0.00296,0.0
01-03 05:45,9.232,1.1851,101.4,1.2229,4.544,3.00,4.688,102940,80.2,0.00296,0.0
01-03 06:15,9.254,1.1909,113.0,1.2229,4.566,0.00,4.688,102960,78.3,0.00287,0.0
01-03 06:45,9.283,1.1985,113.0,1.2229,4.595,0.00,4.688,102960,78.3,0.00287,0.0
01-03 07:15,9.335,1.2120,124.8,1.2229,4.647,0.00,4.688,102980,79.6,0.00279,0.0
01-03 07:45,9.408,1.2311,124.8,1.2229,4.720,0.00,4.688,102980,79.6,0.00279,0.0
01-03 08:15,9.428,1.2364,137.1,1.2229,4.740,1.00,4.688,103010,78.1,0.00281,-0.0
01-03 08:45,9.350,1.2159,137.1,1.2229,4.661,1.00,4.688,103010,78.1,0.00281,-0.0
01-03 09:15,8.661,1.0362,150.0,1.2229,3.973,1.00,4.688,103000,76.8,0.00286,-0.0
01-03 09:45,8.590,1.0177,150.0,1.2229,3.902,1.00,4.688,103000,76.8,0.00286,-0.0
01-03 10:15,8.489,0.9914,163.5,1.2229,3.801,1.00,4.688,103010,76.9,0.00308,-0.0
01-03 10:45,8.329,0.9496,163.5,1.2229,3.641,1.00,4.688,103010,76.9,0.00308,-0.0
01-03 11:15,8.115,0.8938,177.6,1.2229,3.427,0.99,4.688,102980,66.1,0.00293,-0.0
01-03 11:45,7.872,0.8305,177.6,1.2229,3.184,0.99,4.688,102980,66.1,0.00293,-0.0
01-03 12:15,7.702,0.7861,191.7,1.2229,3.014,2.99,4.688,102930,59.8,0.00268,-0.0
01-03 12:45,7.622,0.7651,191.7,1.2229,2.933,2.99,4.688,102930,59.8,0.00268,-0.0
01-03 13:15,7.622,0.7652,205.4,1.2229,2.934,3.99,4.688,102920,70.4,0.00298,-0.0
01-03 13:45,7.716,0.7896,205.4,1.2229,3.027,3.99,4.688,102920,70.4,0.00298,-0.0
01-03 14:15,7.818,0.8163,218.6,1.2229,3.129,5.00,4.688,102890,79.8,0.00313,-0.0
01-03 14:45,7.888,0.8345,218.6,1.2229,3.199,5.00,4.688,102890,79.8,0.00313,-0.0
01-03 15:15,8.079,0.8844,231.1,1.2229,3.391,7.00,4.688,102840,83.7,0.00307,-0.0
01-03 15:45,8.451,0.9813,231.1,1.2229,3.762,7.00,4.688,102840,83.7,0.00307,-0.0
01-03 16:15,8.699,1.0460,243.0,1.2229,4.010,7.00,4.688,102760,85.6,0.00319,0.0
01-03 16:45,8.807,1.0743,243.0,1.2229,4.119,7.00,4.688,102760,85.6,0.00319,0.0
01-03 17:15,8.897,1.0977,254.6,1.2229,4.208,6.99,4.688,102720,87.2,0.00317,0.0
01-03 17:45,8.991,1.1224,254.6,1.2229,4.303,6.99,4.688,102720,87.2,0.00317,0.0
01-03 18:15,8.468,0.9857,266.4,1.2229,3.779,7.00,4.688,102690,84.3,0.00322,0.0
01-03 18:45,8.428,0.9755,266.4,1.2229,3.740,7.00,4.688,102690,84.3,0.00322,0.0
01-03 19:15,8.376,0.9619,279.0,1.2229,3.688,7.00,4.688,102640,80.3,0.00323,0.0
01-03 19:45,8.315,0.9460,279.0,1.2229,3.627,7.00,4.688,102640,80.3,0.00323,0.0
01-03 20:15,8.330,0.9498,293.3,1.2229,3.641,7.00,4.688,102560,86.0,0.00329,0.0
01-03 20:45,8.437,0.9777,293.3,1.2229,3.748,7.00,4.688,102560,86.0,0.00329,0.0
01-03 21:15,8.519,0.9991,310.2,1.2229,3.831,8.00,4.688,102500,94.8,0.00360,0.0
01-03 21:45,8.568,1.0119,310.2,1.2229,3.880,8.00,4.688,102500,94.8,0.00360,0.0
01-03 22:15,9.433,1.2375,331.1,1.2229,4.744,8.00,4.688,102340,96.4,0.00375,0.0
01-03 22:45,9.353,1.2166,331.1,1.2229,4.664,8.00,4.688,102340,96.4,0.00375,0.0
01-03 23:15,9.432,1.2373,355.6,1.2229,4.744,8.00,4.688,102200,92.9,0.00367,0.0
01-03 23:45,9.378,1.2233,355.6,1.2229,4.690,8.00,4.688,102200,92.9,0.00367,0.0
01-04 00:15,9.433,1.2376,20.6,1.2229,4.745,8.00,4.688,102000,91.4,0.00375,0.0
01-04 00:45,9.373,1.2218,20.6,1.2229,4.684,8.00,4.688,102000,91.4,0.00375,0.0
01-04 01:15,9.353,1.2166,42.9,1.2229,4.664,7.99,4.688,101770,89.6,0.00363,0.0
01-04 01:45,9.371,1.2214,42.9,1.2229,4.683,7.99,4.688,101770,89.6,0.00363,0.0
01-04 02:15,9.386,1.2253,61.1,1.2229,4.698,8.00,4.688,101640,89.5,0.00361,0.0
01-04 02:45,9.397,1.2282,61.1,1.2229,4.709,8.00,4.688,101640,89.5,0.00361,0.0
01-04 03:15,9.360,1.2184,76.1,1.2229,4.671,8.00,4.688,101490,89.9,0.00384,0.0
01-04 03:45,9.272,1.1956,76.1,1.2229,4.584,8.00,4.688,101490,89.9,0.00384,0.0
01-04 04:15,9.076,1.1445,89.2,1.2229,4.388,8.00,4.688,101300,89.5,0.00465,0.0
01-04 04:45,8.768,1.0640,89.2,1.2229,4.079,8.00,4.688,101300,89.5,0.00465,0.0
01-04 05:15,8.559,1.0095,101.2,1.2229,3.870,8.00,4.688,101210,86.9,0.00471,0.0
01-04 05:45,8.460,0.9837,101.2,1.2229,3.771,8.00,4.688,101210,86.9,0.00471,0.0
01-04 06:15,8.436,0.9776,112.9,1.2229,3.748,8.00,4.688,101000,91.0,0.00471,0.0
01-04 06:45,8.484,0.9902,112.9,1.2229,3.796,8.00,4.688,101000,91.0,0.00471,0.0
01-04 07:15,8.423,0.9742,124.7,1.2229,3.735,8.00,4.688,100840,90.1,0.00515,0.0
01-04 07:45,8.251,0.9292,124.7,1.2229,3.562,8.00,4.688,100840,90.1,0.00515,0.0
01-04 08:15,8.128,0.8973,136.9,1.2229,3.440,8.00,4.688,100660,91.6,0.00532,-0.0
01-04 08:45,8.016,0.8680,136.9,1.2229,3.328,8.00,4.688,100660,91.6,0.00532,-0.0
01-04 09:15,7.200,0.6551,149.8,1.2229,2.511,7.00,4.688,100480,89.7,0.00608,-0.0
01-04 09:45,6.902,0.5775,149.8,1.2229,2.214,7.00,4.688,100480,89.7,0.00608,-0.0
01-04 10:15,6.671,0.5173,163.4,1.2229,1.983,6.99,4.688,100420,86.5,0.00632,-0.0
01-04 10:45,6.494,0.4710,163.4,1.2229,1.806,6.99,4.688,100420,86.5,0.00632,-0.0
01-04 11:15,6.350,0.4333,177.5,1.2229,1.661,6.99,4.688,100320,85.5,0.00643,-0.0
01-04 11:45,6.245,0.4061,177.5,1.2229,1.557,6.99,4.688,100320,85.5,0.00643,-0.0
01-04 12:15,6.158,0.3833,191.6,1.2229,1.470,7.00,4.688,100280,84.5,0.00648,-0.0
01-04 12:45,6.097,0.3675,191.6,1.2229,1.409,7.00,4.688,100280,84.5,0.00648,-0.0
01-04 13:15,6.086,0.3645,205.4,1.2229,1.397,6.00,4.688,100230,86.6,0.00648,-0.0
01-04 13:45,6.129,0.3759,205.4,1.2229,1.441,6.00,4.688,100230,86.6,0.00648,-0.0
01-04 14:15,6.180,0.3892,218.5,1.2229,1.492,5.00,4.688,100330,72.2,0.00524,-0.0
01-04 14:45,6.219,0.3993,218.5,1.2229,1.531,5.00,4.688,100330,72.2,0.00524,-0.0
01-04 15:15,6.328,0.4277,231.0,1.2229,1.640,3.00,4.688,100350,69.7,0.00466,-0.0
01-04 15:45,6.525,0.4790,231.0,1.2229,1.837,3.00,4.688,100350,69.7,0.00466,-0.0
01-04 16:15,6.696,0.5236,242.9,1.2229,2.007,2.00,4.688,100390,64.9,0.00407,0.0
01-04 16:45,6.832,0.5591,242.9,1.2229,2.143,2.00,4.688,100390,64.9,0.00407,0.0
01-04 17:15,6.936,0.5864,254.6,1.2229,2.248,6.00,4.688,100430,69.3,0.00420,0.0
01-04 17:45,7.011,0.6058,254.6,1.2229,2.322,6.00,4.688,100430,69.3,0.00420,0.0
01-04 18:15,6.555,0.4868,266.4,1.2229,1.866,5.00,4.688,100450,77.4,0.00431,0.0
01-04 18:45,6.676,0.5185,266.4,1.2229,1.988,5.00,4.688,100450,77.4,0.00431,0.0
01-04 19:15,6.750,0.5379,279.0,1.2229,2.062,2.00,4.688,100450,74.4,0.00409,0.0
01-04 19:45,6.779,0.5454,279.0,1.2229,2.091,2.00,4.688,100450,74.4,0.00409,0.0
01-04 20:15,6.839,0.5609,293.2,1.2229,2.150,2.00,4.688,100490,76.5,0.00400,0.0
01-04 20:45,6.943,0.5880,293.2,1.2229,2.254,2.00,4.688,100490,76.5,0.00400,0.0
01-04 21:15,7.008,0.6049,310.2,1.2229,2.319,1.00,4.688,100490,72.3,0.00381,0.0
01-04 21:45,7.028,0.6104,310.2,1.2229,2.340,1.00,4.688,100490,72.3,0.00381,0.0
01-04 22:15,7.901,0.8381,331.0,1.2229,3.213,2.00,4.688,100450,69.3,0.00360,0.0
01-04 22:45,7.865,0.8286,331.0,1.2229,3.177,2.00,4.688,100450,69.3,0.00360,0.0
01-04 23:15,7.996,0.8628,355.4,1.2229,3.308,2.00,4.688,100430,76.0,0.00384,0.0
01-04 23:45,8.000,0.8639,355.4,1.2229,3.312,2.00,4.688,100430,76.0,0.00384,0.0
01-05 00:15,8.191,0.9136,20.4,1.2229,3.503,1.00,4.688,100400,83.9,0.00381,0.0
01-05 00:45,8.346,0.9540,20.4,1.2229,3.658,1.00,4.688,100400,83.9,0.00381,0.0
01-05 01:15,8.432,0.9764,42.6,1.2229,3.743,1.00,4.688,100330,82.3,0.00374,0.0
01-05 01:45,8.443,0.9794,42.6,1.2229,3.755,1.00,4.688,100330,82.3,0.00374,0.0
01-05 02:15,8.459,0.9834,60.9,1.2229,3.770,0.99,4.688,100270,85.4,0.00386,0.0
01-05 02:45,8.478,0.9885,60.9,1.2229,3.790,0.99,4.688,100270,85.4,0.00386,0.0
01-05 03:15,8.486,0.9906,76.0,1.2229,3.798,4.00,4.688,100210,87.1,0.00397,0.0
01-05 03:45,8.481,0.9894,76.0,1.2229,3.793,4.00,4.688,100210,87.1,0.00397,0.0
01-05 04:15,8.475,0.9877,89.0,1.2229,3.787,4.99,4.688,100120,85.6,0.00393,0.0
01-05 04:45,8.468,0.9860,89.0,1.2229,3.780,4.99,4.688,100120,85.6,0.00393,0.0
01-05 05:15,8.446,0.9802,101.1,1.2229,3.758,3.00,4.688,100050,81.2,0.00383,0.0
01-05 05:45,8.408,0.9703,101.1,1.2229,3.720,3.00,4.688,100050,81.2,0.00383,0.0
01-05 06:15,8.390,0.9655,112.7,1.2229,3.702,5.00,4.688,100010,82.7,0.00391,0.0
01-05 06:45,8.391,0.9657,112.7,1.2229,3.702,5.00,4.688,100010,82.7,0.00391,0.0
01-05 07:15,8.407,0.9700,124.5,1.2229,3.719,5.00,4.688,99960,84.1,0.00389,0.0
01-05 07:45,8.442,0.9791,124.5,1.2229,3.754,5.00,4.688,99960,84.1,0.00389,0.0
01-05 08:15,8.449,0.9809,136.8,1.2229,3.761,5.00,4.688,99900,82.6,0.00385,-0.0
01-05 08:45,8.382,0.9634,136.8,1.2229,3.694,5.00,4.688,99900,82.6,0.00385,-0.0
01-05 09:15,7.700,0.7854,149.7,1.2229,3.011,5.00,4.688,99940,79.8,0.00383,-0.0
01-05 09:45,7.633,0.7680,149.7,1.2229,2.944,5.00,4.688,99940,79.8,0.00383,-0.0
01-05 10:15,7.489,0.7306,163.3,1.2229,2.801,3.00,4.688,99850,70.0,0.00379,-0.0
01-05 10:45,7.218,0.6597,163.3,1.2229,2.529,3.00,4.688,99850,70.0,0.00379,-0.0
01-05 11:15,6.937,0.5866,177.4,1.2229,2.249,1.00,4.688,99900,65.2,0.00365,-0.0
01-05 11:45,6.665,0.5155,177.4,1.2229,1.976,1.00,4.688,99900,65.2,0.00365,-0.0
01-05 12:15,6.423,0.4524,191.5,1.2229,1.734,2.00,4.688,99860,61.3,0.00365,-0.0
01-05 12:45,6.364,0.4371,191.5,1.2229,1.676,2.00,4.688,99860,61.3,0.00365,-0.0
01-05 13:15,6.361,0.4364,205.3,1.2229,1.673,3.00,4.688,99790,69.4,0.00392,-0.0
01-05 13:45,6.180,0.3892,205.3,1.2229,1.492,3.00,4.688,99790,69.4,0.00392,-0.0
01-05 14:15,6.099,0.3680,218.5,1.2229,1.411,1.99,4.688,99770,69.3,0.00389,-0.0
01-05 14:45,6.378,0.4406,218.5,1.2229,1.689,1.99,4.688,99770,69.3,0.00389,-0.0
01-05 15:15,6.689,0.5218,231.0,1.2229,2.001,5.00,4.688,99710,70.5,0.00393,-0.0
01-05 15:45,6.945,0.5887,231.0,1.2229,2.257,5.00,4.688,99710,70.5,0.00393,-0.0
01-05 16:15,7.107,0.6307,242.9,1.2229,2.418,3.00,4.688,99790,71.5,0.00390,0.0
01-05 16:45,7.214,0.6588,242.9,1.2229,2.526,3.00,4.688,99790,71.5,0.00390,0.0
01-05 17:15,7.270,0.6734,254.6,1.2229,2.582,3.99,4.688,99870,69.0,0.00381,0.0
01-05 17:45,7.287,0.6779,254.6,1.2229,2.599,3.99,4.688,99870,69.0,0.00381,0.0
01-05 18:15,6.767,0.5422,266.4,1.2229,2.079,2.00,4.688,100000,71.2,0.00382,0.0
01-05 18:45,6.813,0.5542,266.4,1.2229,2.125,2.00,4.688,100000,71.2,0.00382,0.0
01-05 19:15,6.853,0.5646,279.0,1.2229,2.165,2.00,4.688,100100,70.9,0.00372,0.0
01-05 19:45,6.892,0.5747,279.0,1.2229,2.203,2.00,4.688,100100,70.9,0.00372,0.0
01-05 20:15,6.936,0.5863,293.2,1.2229,2.248,0.99,4.688,100170,70.5,0.00362,0.0
01-05 20:45,7.000,0.6030,293.2,1.2229,2.312,0.99,4.688,100170,70.5,0.00362,0.0
01-05 21:15,7.068,0.6207,310.1,1.2229,2.380,1.00,4.688,100240,75.9,0.00382,0.0
01-05 21:45,7.133,0.6375,310.1,1.2229,2.444,1.00,4.688,100240,75.9,0.00382,0.0
01-05 22:15,8.008,0.8660,330.9,1.2229,3.320,1.00,4.688,100360,70.3,0.00358,0.0
01-05 22:45,7.934,0.8465,330.9,1.2229,3.246,1.00,4.688,100360,70.3,0.00358,0.0
01-05 23:15,8.028,0.8712,355.3,1.2229,3.340,4.00,4.688,100440,73.1,0.00369,0.0
01-05 23:45,7.998,0.8634,355.3,1.2229,3.310,4.00,4.688,100440,73.1,0.00369,0.0
01-06 00:15,8.116,0.8939,20.2,1.2229,3.427,2.99,4.688,100520,75.5,0.00368,0.0
01-06 00:45,8.158,0.9049,20.2,1.2229,3.469,2.99,4.688,100520,75.5,0.00368,0.0
01-06 01:15,8.176,0.9096,42.4,1.2229,3.487,3.00,4.688,100550,71.1,0.00349,0.0
01-06 01:45,8.166,0.9070,42.4,1.2229,3.477,3.00,4.688,100550,71.1,0.00349,0.0
01-06 02:15,8.201,0.9161,60.7,1.2229,3.512,0.99,4.688,100620,61.1,0.00285,0.0
01-06 02:45,8.283,0.9375,60.7,1.2229,3.594,0.99,4.688,100620,61.1,0.00285,0.0
01-06 03:15,8.332,0.9503,75.8,1.2229,3.643,1.99,4.688,100670,61.1,0.00285,0.0
01-06 03:45,8.342,0.9530,75.8,1.2229,3.654,1.99,4.688,100670,61.1,0.00285,0.0
01-06 04:15,8.327,0.9491,88.9,1.2229,3.639,4.00,4.688,100710,61.8,0.00296,0.0
01-06 04:45,8.288,0.9389,88.9,1.2229,3.599,4.00,4.688,100710,61.8,0.00296,0.0
01-06 05:15,8.284,0.9379,100.9,1.2229,3.596,4.00,4.688,100810,62.8,0.00294,0.0
01-06 05:45,8.318,0.9467,100.9,1.2229,3.630,4.00,4.688,100810,62.8,0.00294,0.0
01-06 06:15,8.349,0.9549,112.6,1.2229,3.661,4.00,4.688,100890,62.4,0.00288,0.0
01-06 06:45,8.377,0.9622,112.6,1.2229,3.689,4.00,4.688,100890,62.4,0.00288,0.0
