DateTime,Dry-bulb temperature (°C),Total system energy (kBtu/h),System natural gas (kBtu/h),System electricity (kBtu/h),Total lights energy (kBtu/h),Lights electricity (kBtu/h),Total equip energy (kBtu/h),Equip electricity (kBtu/h),Total CE ex equip (kgCO2/h),Total system CE (kgCO2/h),System nat. gas CE (kgCO2/h)
01-05 05:45,2.90,8.544,8.408,0.135,0.000,0.000,2.912,2.912,0.5,0.5,0.5
01-05 06:15,2.90,8.525,8.390,0.135,0.000,0.000,2.912,2.912,0.5,0.5,0.5
01-05 06:45,2.90,8.526,8.391,0.135,0.000,0.000,2.912,2.912,0.5,0.5,0.5
01-05 07:15,2.60,8.542,8.407,0.135,0.000,0.000,2.912,2.912,0.5,0.5,0.5
01-05 07:45,2.60,8.577,8.442,0.135,0.000,0.000,2.912,2.912,0.5,0.5,0.5
01-05 08:15,2.70,8.584,8.449,0.135,0.000,0.000,4.932,4.932,0.5,0.5,0.5
01-05 08:45,2.70,8.517,8.382,0.135,0.000,0.000,4.932,4.932,0.5,0.5,0.5
01-05 09:15,3.10,7.835,7.700,0.135,0.000,0.000,4.132,4.132,0.5,0.5,0.5
01-05 09:45,3.10,7.768,7.633,0.135,0.000,0.000,4.132,4.132,0.5,0.5,0.5
01-05 10:15,4.80,7.625,7.489,0.135,0.000,0.000,4.132,4.132,0.5,0.5,0.5
01-05 10:45,4.80,7.353,7.218,0.135,0.000,0.000,4.132,4.132,0.4,0.5,0.4
01-05 11:15,5.30,7.073,6.937,0.135,0.000,0.000,4.132,4.132,0.4,0.4,0.4
01-05 11:45,5.30,6.800,6.665,0.135,0.000,0.000,4.132,4.132,0.4,0.4,0.4
01-05 12:15,6.20,6.558,6.423,0.135,0.000,0.000,4.132,4.132,0.4,0.4,0.4
01-05 12:45,6.20,6.499,6.364,0.135,0.000,0.000,4.132,4.132,0.4,0.4,0.4
01-05 13:15,5.40,6.497,6.361,0.135,0.000,0.000,4.132,4.132,0.4,0.4,0.4
01-05 13:45,5.40,6.316,6.180,0.135,0.000,0.000,4.132,4.132,0.4,0.4,0.4
01-05 14:15,5.30,6.235,6.099,0.135,0.000,0.000,4.132,4.132,0.4,0.4,0.4
01-05 14:45,5.30,6.513,6.378,0.135,0.000,0.000,4.132,4.132,0.4,0.4,0.4
01-05 15:15,5.20,6.824,6.689,0.135,0.000,0.000,4.132,4.132,0.4,0.4,0.4
01-05 15:45,5.20,7.081,6.945,0.135,0.000,0.000,4.132,4.132,0.4,0.4,0.4
01-05 16:15,4.90,7.242,7.107,0.135,0.000,0.000,4.132,4.132,0.4,0.4,0.4
01-05 16:45,4.90,7.349,7.214,0.135,0.000,0.000,4.132,4.132,0.5,0.5,0.4
01-05 17:15,5.10,7.405,7.270,0.135,0.000,0.000,4.132,4.132,0.5,0.5,0.4
01-05 17:45,5.10,7.423,7.287,0.135,0.000,0.000,4.132,4.132,0.5,0.5,0.4
01-05 18:15,4.70,6.902,6.767,0.135,0.105,0.105,5.678,5.678,0.4,0.4,0.4
01-05 18:45,4.70,6.948,6.813,0.135,0.105,0.105,5.678,5.678,0.4,0.4,0.4
01-05 19:15,4.40,6.988,6.853,0.135,0.105,0.105,5.678,5.678,0.4,0.4,0.4
01-05 19:45,4.40,7.027,6.892,0.135,0.105,0.105,5.678,5.678,0.4,0.4,0.4
01-05 20:15,4.10,7.071,6.936,0.135,0.105,0.105,4.829,4.829,0.4,0.4,0.4
01-05 20:45,4.10,7.136,7.000,0.135,0.105,0.105,4.829,4.829,0.4,0.4,0.4
01-05 21:15,3.80,7.203,7.068,0.135,0.105,0.105,4.829,4.829,0.4,0.4,0.4
01-05 21:45,3.80,7.268,7.133,0.135,0.105,0.105,4.829,4.829,0.5,0.4,0.4
01-05 22:15,4.00,8.144,8.008,0.135,0.105,0.105,5.409,5.409,0.5,0.5,0.5
01-05 22:45,4.00,8.069,7.934,0.135,0.105,0.105,5.409,5.409,0.5,0.5,0.5
01-05 23:15,3.90,8.164,8.028,0.135,0.000,0.000,2.999,2.999,0.5,0.5,0.5
01-05 23:45,3.90,8.134,7.998,0.135,0.000,0.000,2.999,2.999,0.5,0.5,0.5
01-06 00:15,3.40,8.251,8.116,0.135,0.000,0.000,2.912,2.912,0.5,0.5,0.5
01-06 00:45,3.40,8.293,8.158,0.135,0.000,0.000,2.912,2.912,0.5,0.5,0.5
01-06 01:15,3.50,8.311,8.176,0.135,0.000,0.000,2.912,2.912,0.5,0.5,0.5
01-06 01:45,3.50,8.301,8.166,0.135,0.000,0.000,2.912,2.912,0.5,0.5,0.5
01-06 02:15,2.80,8.336,8.201,0.135,0.000,0.000,2.912,2.912,0.5,0.5,0.5
01-06 02:45,2.80,8.418,8.283,0.135,0.000,0.000,2.912,2.912,0.5,0.5,0.5
01-06 03:15,2.80,8.467,8.332,0.135,0.000,0.000,2.912,2.912,0.5,0.5,0.5
01-06 03:45,2.80,8.477,8.342,0.135,0.000,0.000,2.912,2.912,0.5,0.5,0.5
01-06 04:15,3.20,8.462,8.327,0.135,0.000,0.000,2.912,2.912,0.5,0.5,0.5
01-06 04:45,3.20,8.423,8.288,0.135,0.000,0.000,2.912,2.912,0.5,0.5,0.5
01-06 05:15,2.90,8.419,8.284,0.135,0.000,0.000,2.912,2.912,0.5,0.5,0.5
01-06 05:45,2.90,8.453,8.318,0.135,0.000,0.000,2.912,2.912,0.5,0.5,0.5
01-06 06:15,2.70,8.485,8.349,0.135,0.000,0.000,2.912,2.912,0.5,0.5,0.5
01-06 06:45,2.70,8.512,8.377,0.135,0.000,0.000,2.912,2.912,0.5,0.5,0.5
01-06 07:15,2.80,8.524,8.388,0.135,0.000,0.000,2.912,2.912,0.5,0.5,0.5
01-06 07:45,2.80,8.518,8.382,0.135,0.000,0.000,2.912,2.912,0.5,0.5,0.5
