		Dry-bulb temperature (°C)	Total system energy (kBtu/h)	System natural gas (kBtu/h)	System electricity (kBtu/h)	Total lights energy (kBtu/h)	Lights electricity (kBtu/h)	Total equip energy (kBtu/h)	Equip electricity (kBtu/h)	Total CE ex equip (kgCO2/h)	Total system CE (kgCO2/h)	System nat. gas CE (kgCO2/h)
												
Date	Time	NewcastleEWY.fwt	18 Havelock-test-Newcastle.aps	18 Havelock-test-Newcastle.aps	18 Havelock-test-Newcastle.aps	18 Havelock-test-Newcastle.aps	18 Havelock-test-Newcastle.aps	18 Havelock-test-Newcastle.aps	18 Havelock-test-Newcastle.aps	18 Havelock-test-Newcastle.aps	18 Havelock-test-Newcastle.aps	18 Havelock-test-Newcastle.aps
Sun, 01/Jan	24:00											
	00:15		7.460	7.325	0.135	0.000	0.000	2.912	2.912	0.5	0.5	0.5
	00:45		7.465	7.330	0.135	0.000	0.000	2.912	2.912	0.5	0.5	0.5
	01:00	5.50										
	01:15		7.468	7.333	0.135	0.000	0.000	2.912	2.912	0.5	0.5	0.5
	01:45		7.467	7.331	0.135	0.000	0.000	2.912	2.912	0.5	0.5	0.5
	02:00	5.50										
	02:15		7.465	7.330	0.135	0.000	0.000	2.912	2.912	0.5	0.5	0.5
	02:45		7.464	7.329	0.135	0.000	0.000	2.912	2.912	0.5	0.5	0.5
	03:00	5.50										
	03:15		7.463	7.328	0.135	0.000	0.000	2.912	2.912	0.5	0.5	0.5
	03:45		7.463	7.327	0.135	0.000	0.000	2.912	2.912	0.5	0.5	0.5
	04:00	5.50										
	04:15		7.462	7.327	0.135	0.000	0.000	2.912	2.912	0.5	0.5	0.5
	04:45		7.461	7.326	0.135	0.000	0.000	2.912	2.912	0.5	0.5	0.5
	05:00	5.50										
	05:15		7.471	7.336	0.135	0.000	0.000	2.912	2.912	0.5	0.5	0.5
	05:45		7.493	7.358	0.135	0.000	0.000	2.912	2.912	0.5	0.5	0.5
	06:00	5.30										
	06:15		7.518	7.382	0.135	0.000	0.000	2.912	2.912	0.5	0.5	0.5
	06:45		7.542	7.407	0.135	0.000	0.000	2.912	2.912	0.5	0.5	0.5
	07:00	5.10										
	07:15		7.561	7.425	0.135	0.000	0.000	2.912	2.912	0.5	0.5	0.5
	07:45		7.574	7.439	0.135	0.000	0.000	2.912	2.912	0.5	0.5	0.5
	08:00	5.00										
	08:15		7.579	7.444	0.135	0.000	0.000	4.932	4.932	0.5	0.5	0.5
	08:45		7.537	7.402	0.135	0.000	0.000	4.932	4.932	0.5	0.5	0.5
	09:00	4.90										
	09:15		6.905	6.770	0.135	0.000	0.000	4.132	4.132	0.4	0.4	0.4
	09:45		6.915	6.780	0.135	0.000	0.000	4.132	4.132	0.4	0.4	0.4
	10:00	4.90										
	10:15		6.977	6.841	0.135	0.000	0.000	4.132	4.132	0.4	0.4	0.4
	10:45		7.066	6.931	0.135	0.000	0.000	4.132	4.132	0.4	0.4	0.4
	11:00	4.40										
	11:15		7.162	7.027	0.135	0.000	0.000	4.132	4.132	0.4	0.4	0.4
	11:45		7.262	7.126	0.135	0.000	0.000	4.132	4.132	0.4	0.4	0.4
	12:00	3.80										
	12:15		7.339	7.204	0.135	0.000	0.000	4.132	4.132	0.4	0.5	0.4
	12:45		7.394	7.259	0.135	0.000	0.000	4.132	4.132	0.5	0.5	0.4
	13:00	3.60										
	13:15		7.457	7.322	0.135	0.000	0.000	4.132	4.132	0.5	0.5	0.5
	13:45		7.530	7.395	0.135	0.000	0.000	4.132	4.132	0.5	0.5	0.5
	14:00	3.20										
	14:15		7.581	7.446	0.135	0.000	0.000	4.132	4.132	0.5	0.5	0.5
	14:45		7.609	7.474	0.135	0.000	0.000	4.132	4.132	0.5	0.5	0.5
	15:00	3.20										
	15:15		7.647	7.511	0.135	0.000	0.000	4.132	4.132	0.5	0.5	0.5
	15:45		7.698	7.562	0.135	0.000	0.000	4.132	4.132	0.5	0.5	0.5
	16:00	3.00										
	16:15		7.720	7.585	0.135	0.000	0.000	4.132	4.132	0.5	0.5	0.5
	16:45		7.710	7.575	0.135	0.000	0.000	4.132	4.132	0.5	0.5	0.5
	17:00	3.30										
	17:15		7.701	7.565	0.135	0.000	0.000	4.132	4.132	0.5	0.5	0.5
	17:45		7.693	7.558	0.135	0.000	0.000	4.132	4.132	0.5	0.5	0.5
	18:00	3.50										
	18:15		7.127	6.992	0.135	0.105	0.105	5.678	5.678	0.4	0.4	0.4
	18:45		7.101	6.966	0.135	0.105	0.105	5.678	5.678	0.4	0.4	0.4
	19:00	3.60										
	19:15		7.074	6.939	0.135	0.105	0.105	5.678	5.678	0.4	0.4	0.4
	19:45		7.051	6.916	0.135	0.105	0.105	5.678	5.678	0.4	0.4	0.4
	20:00	3.70										
	20:15		7.035	6.899	0.135	0.105	0.105	4.829	4.829	0.4	0.4	0.4
	20:45		7.038	6.903	0.135	0.105	0.105	4.829	4.829	0.4	0.4	0.4
	21:00	3.80										
	21:15		7.057	6.921	0.135	0.105	0.105	4.829	4.829	0.4	0.4	0.4
	21:45		7.083	6.947	0.135	0.105	0.105	4.829	4.829	0.4	0.4	0.4
	22:00	3.70										
	22:15		7.943	7.808	0.135	0.105	0.105	5.409	5.409	0.5	0.5	0.5
	22:45		7.877	7.742	0.135	0.105	0.105	5.409	5.409	0.5	0.5	0.5
	23:00	3.70										
	23:15		7.962	7.827	0.135	0.000	0.000	2.999	2.999	0.5	0.5	0.5
	23:45		7.903	7.768	0.135	0.000	0.000	2.999	2.999	0.5	0.5	0.5
Mon, 02/Jan	24:00	4.00										
	00:15		7.980	7.845	0.135	0.000	0.000	2.912	2.912	0.5	0.5	0.5
	00:45		7.964	7.828	0.135	0.000	0.000	2.912	2.912	0.5	0.5	0.5
	01:00	4.10										
	01:15		7.948	7.813	0.135	0.000	0.000	2.912	2.912	0.5	0.5	0.5
	01:45		7.935	7.800	0.135	0.000	0.000	2.912	2.912	0.5	0.5	0.5
	02:00	4.20										
	02:15		7.918	7.782	0.135	0.000	0.000	2.912	2.912	0.5	0.5	0.5
	02:45		7.894	7.759	0.135	0.000	0.000	2.912	2.912	0.5	0.5	0.5
	03:00	4.40										
	03:15		7.870	7.734	0.135	0.000	0.000	2.912	2.912	0.5	0.5	0.5
	03:45		7.846	7.710	0.135	0.000	0.000	2.912	2.912	0.5	0.5	0.5
	04:00	4.60										
	04:15		7.849	7.713	0.135	0.000	0.000	2.912	2.912	0.5	0.5	0.5
	04:45		7.880	7.745	0.135	0.000	0.000	2.912	2.912	0.5	0.5	0.5
	05:00	4.30										
	05:15		7.892	7.757	0.135	0.000	0.000	2.912	2.912	0.5	0.5	0.5
	05:45		7.883	7.748	0.135	0.000	0.000	2.912	2.912	0.5	0.5	0.5
	06:00	4.40										
	06:15		7.889	7.753	0.135	0.000	0.000	2.912	2.912	0.5	0.5	0.5
	06:45		7.910	7.775	0.135	0.000	0.000	2.912	2.912	0.5	0.5	0.5
	07:00	4.20										
	07:15		7.943	7.808	0.135	0.000	0.000	2.912	2.912	0.5	0.5	0.5
	07:45		7.988	7.853	0.135	0.000	0.000	2.912	2.912	0.5	0.5	0.5
	08:00	3.80										
	08:15		8.017	7.882	0.135	0.000	0.000	4.932	4.932	0.5	0.5	0.5
	08:45		7.987	7.852	0.135	0.000	0.000	4.932	4.932	0.5	0.5	0.5
	09:00	3.60										
	09:15		7.306	7.171	0.135	0.000	0.000	4.132	4.132	0.4	0.4	0.4
	09:45		7.209	7.074	0.135	0.000	0.000	4.132	4.132	0.4	0.4	0.4
	10:00	4.40										
	10:15		7.172	7.037	0.135	0.000	0.000	4.132	4.132	0.4	0.4	0.4
	10:45		7.180	7.045	0.135	0.000	0.000	4.132	4.132	0.4	0.4	0.4
	11:00	4.40										
	11:15		7.144	7.009	0.135	0.000	0.000	4.132	4.132	0.4	0.4	0.4
	11:45		7.024	6.889	0.135	0.000	0.000	4.132	4.132	0.4	0.4	0.4
	12:00	4.90										
	12:15		6.994	6.858	0.135	0.000	0.000	4.132	4.132	0.4	0.4	0.4
	12:45		7.153	7.017	0.135	0.000	0.000	4.132	4.132	0.4	0.4	0.4
	13:00	3.90										
	13:15		7.254	7.118	0.135	0.000	0.000	4.132	4.132	0.4	0.4	0.4
	13:45		7.185	7.050	0.135	0.000	0.000	4.132	4.132	0.4	0.4	0.4
	14:00	4.00										
	14:15		7.153	7.017	0.135	0.000	0.000	4.132	4.132	0.4	0.4	0.4
	14:45		7.267	7.131	0.135	0.000	0.000	4.132	4.132	0.4	0.4	0.4
	15:00	4.00										
	15:15		7.424	7.289	0.135	0.000	0.000	4.132	4.132	0.5	0.5	0.4
	15:45		7.586	7.451	0.135	0.000	0.000	4.132	4.132	0.5	0.5	0.5
	16:00	3.30										
	16:15		7.676	7.541	0.135	0.000	0.000	4.132	4.132	0.5	0.5	0.5
	16:45		7.713	7.578	0.135	0.000	0.000	4.132	4.132	0.5	0.5	0.5
	17:00	3.50										
	17:15		7.749	7.614	0.135	0.000	0.000	4.132	4.132	0.5	0.5	0.5
	17:45		7.787	7.652	0.135	0.000	0.000	4.132	4.132	0.5	0.5	0.5
	18:00	3.50										
	18:15		7.260	7.125	0.135	0.105	0.105	5.678	5.678	0.5	0.4	0.4
	18:45		7.267	7.132	0.135	0.105	0.105	5.678	5.678	0.5	0.4	0.4
	19:00	3.50										
	19:15		7.308	7.173	0.135	0.105	0.105	5.678	5.678	0.5	0.4	0.4
	19:45		7.385	7.249	0.135	0.105	0.105	5.678	5.678	0.5	0.5	0.4
	20:00	2.80										
	20:15		7.441	7.305	0.135	0.105	0.105	4.829	4.829	0.5	0.5	0.4
	20:45		7.495	7.360	0.135	0.105	0.105	4.829	4.829	0.5	0.5	0.5
	21:00	2.60										
	21:15		7.581	7.446	0.135	0.105	0.105	4.829	4.829	0.5	0.5	0.5
	21:45		7.687	7.551	0.135	0.105	0.105	4.829	4.829	0.5	0.5	0.5
	22:00	1.90										
	22:15		8.601	8.465	0.135	0.105	0.105	5.409	5.409	0.5	0.5	0.5
	22:45		8.570	8.435	0.135	0.105	0.105	5.409	5.409	0.5	0.5	0.5
	23:00	1.80										
	23:15		8.737	8.602	0.135	0.000	0.000	2.999	2.999	0.5	0.5	0.5
	23:45		8.801	8.666	0.135	0.000	0.000	2.999	2.999	0.5	0.5	0.5
Tue, 03/Jan	24:00	1.00										
	00:15		8.947	8.811	0.135	0.000	0.000	2.912	2.912	0.5	0.5	0.5
	00:45		8.951	8.816	0.135	0.000	0.000	2.912	2.912	0.5	0.5	0.5
	01:00	1.00										
	01:15		8.992	8.857	0.135	0.000	0.000	2.912	2.912	0.6	0.6	0.5
	01:45		9.070	8.935	0.135	0.000	0.000	2.912	2.912	0.6	0.6	0.6
	02:00	0.40										
	02:15		9.127	8.992	0.135	0.000	0.000	2.912	2.912	0.6	0.6	0.6
	02:45		9.160	9.025	0.135	0.000	0.000	2.912	2.912	0.6	0.6	0.6
	03:00	0.30										
	03:15		9.193	9.057	0.135	0.000	0.000	2.912	2.912	0.6	0.6	0.6
	03:45		9.223	9.088	0.135	0.000	0.000	2.912	2.912	0.6	0.6	0.6
	04:00	0.20										
	04:15		9.263	9.128	0.135	0.000	0.000	2.912	2.912	0.6	0.6	0.6
	04:45		9.314	9.179	0.135	0.000	0.000	2.912	2.912	0.6	0.6	0.6
	05:00	-0.10										
	05:15		9.349	9.214	0.135	0.000	0.000	2.912	2.912	0.6	0.6	0.6
	05:45		9.367	9.232	0.135	0.000	0.000	2.912	2.912	0.6	0.6	0.6
	06:00	-0.10										
	06:15		9.389	9.254	0.135	0.000	0.000	2.912	2.912	0.6	0.6	0.6
	06:45		9.419	9.283	0.135	0.000	0.000	2.912	2.912	0.6	0.6	0.6
	07:00	-0.20										
	07:15		9.470	9.335	0.135	0.000	0.000	2.912	2.912	0.6	0.6	0.6
	07:45		9.544	9.408	0.135	0.000	0.000	2.912	2.912	0.6	0.6	0.6
	08:00	-0.70										
	08:15		9.564	9.428	0.135	0.000	0.000	4.932	4.932	0.6	0.6	0.6
	08:45		9.485	9.350	0.135	0.000	0.000	4.932	4.932	0.6	0.6	0.6
	09:00	-0.40										
	09:15		8.796	8.661	0.135	0.000	0.000	4.132	4.132	0.5	0.5	0.5
	09:45		8.725	8.590	0.135	0.000	0.000	4.132	4.132	0.5	0.5	0.5
	10:00	0.00										
	10:15		8.625	8.489	0.135	0.000	0.000	4.132	4.132	0.5	0.5	0.5
	10:45		8.464	8.329	0.135	0.000	0.000	4.132	4.132	0.5	0.5	0.5
	11:00	1.00										
	11:15		8.250	8.115	0.135	0.000	0.000	4.132	4.132	0.5	0.5	0.5
	11:45		8.008	7.872	0.135	0.000	0.000	4.132	4.132	0.5	0.5	0.5
	12:00	2.40										
	12:15		7.838	7.702	0.135	0.000	0.000	4.132	4.132	0.5	0.5	0.5
	12:45		7.757	7.622	0.135	0.000	0.000	4.132	4.132	0.5	0.5	0.5
	13:00	2.60										
	13:15		7.757	7.622	0.135	0.000	0.000	4.132	4.132	0.5	0.5	0.5
	13:45		7.851	7.716	0.135	0.000	0.000	4.132	4.132	0.5	0.5	0.5
	14:00	1.80										
	14:15		7.953	7.818	0.135	0.000	0.000	4.132	4.132	0.5	0.5	0.5
	14:45		8.023	7.888	0.135	0.000	0.000	4.132	4.132	0.5	0.5	0.5
	15:00	0.70										
	15:15		8.215	8.079	0.135	0.000	0.000	4.132	4.132	0.5	0.5	0.5
	15:45		8.586	8.451	0.135	0.000	0.000	4.132	4.132	0.5	0.5	0.5
	16:00	-0.20										
	16:15		8.834	8.699	0.135	0.000	0.000	4.132	4.132	0.5	0.5	0.5
	16:45		8.942	8.807	0.135	0.000	0.000	4.132	4.132	0.5	0.5	0.5
	17:00	0.00										
	17:15		9.032	8.897	0.135	0.000	0.000	4.132	4.132	0.6	0.6	0.5
	17:45		9.127	8.991	0.135	0.000	0.000	4.132	4.132	0.6	0.6	0.6
	18:00	-0.30										
	18:15		8.603	8.468	0.135	0.105	0.105	5.678	5.678	0.5	0.5	0.5
	18:45		8.564	8.428	0.135	0.105	0.105	5.678	5.678	0.5	0.5	0.5
	19:00	0.30										
	19:15		8.511	8.376	0.135	0.105	0.105	5.678	5.678	0.5	0.5	0.5
	19:45		8.451	8.315	0.135	0.105	0.105	5.678	5.678	0.5	0.5	0.5
	20:00	1.00										
	20:15		8.465	8.330	0.135	0.105	0.105	4.829	4.829	0.5	0.5	0.5
	20:45		8.572	8.437	0.135	0.105	0.105	4.829	4.829	0.5	0.5	0.5
	21:00	0.30										
	21:15		8.654	8.519	0.135	0.105	0.105	4.829	4.829	0.5	0.5	0.5
	21:45		8.703	8.568	0.135	0.105	0.105	4.829	4.829	0.5	0.5	0.5
	22:00	0.20										
	22:15		9.568	9.433	0.135	0.105	0.105	5.409	5.409	0.6	0.6	0.6
	22:45		9.488	9.353	0.135	0.105	0.105	5.409	5.409	0.6	0.6	0.6
	23:00	0.50										
	23:15		9.567	9.432	0.135	0.000	0.000	2.999	2.999	0.6	0.6	0.6
	23:45		9.514	9.378	0.135	0.000	0.000	2.999	2.999	0.6	0.6	0.6
Wed, 04/Jan	24:00	0.70										
	00:15		9.568	9.433	0.135	0.000	0.000	2.912	2.912	0.6	0.6	0.6
	00:45		9.508	9.373	0.135	0.000	0.000	2.912	2.912	0.6	0.6	0.6
	01:00	1.20										
	01:15		9.488	9.353	0.135	0.000	0.000	2.912	2.912	0.6	0.6	0.6
	01:45		9.506	9.371	0.135	0.000	0.000	2.912	2.912	0.6	0.6	0.6
	02:00	1.00										
	02:15		9.521	9.386	0.135	0.000	0.000	2.912	2.912	0.6	0.6	0.6
	02:45		9.532	9.397	0.135	0.000	0.000	2.912	2.912	0.6	0.6	0.6
	03:00	0.90										
	03:15		9.495	9.360	0.135	0.000	0.000	2.912	2.912	0.6	0.6	0.6
	03:45		9.407	9.272	0.135	0.000	0.000	2.912	2.912	0.6	0.6	0.6
	04:00	1.70										
	04:15		9.211	9.076	0.135	0.000	0.000	2.912	2.912	0.6	0.6	0.6
	04:45		8.903	8.768	0.135	0.000	0.000	2.912	2.912	0.5	0.5	0.5
	05:00	4.40										
	05:15		8.694	8.559	0.135	0.000	0.000	2.912	2.912	0.5	0.5	0.5
	05:45		8.595	8.460	0.135	0.000	0.000	2.912	2.912	0.5	0.5	0.5
	06:00	5.00										
	06:15		8.572	8.436	0.135	0.000	0.000	2.912	2.912	0.5	0.5	0.5
	06:45		8.620	8.484	0.135	0.000	0.000	2.912	2.912	0.5	0.5	0.5
	07:00	4.30										
	07:15		8.559	8.423	0.135	0.000	0.000	2.912	2.912	0.5	0.5	0.5
	07:45		8.386	8.251	0.135	0.000	0.000	2.912	2.912	0.5	0.5	0.5
	08:00	5.70										
	08:15		8.264	8.128	0.135	0.000	0.000	4.932	4.932	0.5	0.5	0.5
	08:45		8.151	8.016	0.135	0.000	0.000	4.932	4.932	0.5	0.5	0.5
	09:00	5.90										
	09:15		7.335	7.200	0.135	0.000	0.000	4.132	4.132	0.4	0.4	0.4
	09:45		7.038	6.902	0.135	0.000	0.000	4.132	4.132	0.4	0.4	0.4
	10:00	8.10										
	10:15		6.807	6.671	0.135	0.000	0.000	4.132	4.132	0.4	0.4	0.4
	10:45		6.629	6.494	0.135	0.000	0.000	4.132	4.132	0.4	0.4	0.4
	11:00	9.20										
	11:15		6.485	6.350	0.135	0.000	0.000	4.132	4.132	0.4	0.4	0.4
	11:45		6.381	6.245	0.135	0.000	0.000	4.132	4.132	0.4	0.4	0.4
	12:00	9.60										
	12:15		6.293	6.158	0.135	0.000	0.000	4.132	4.132	0.4	0.4	0.4
	12:45		6.233	6.097	0.135	0.000	0.000	4.132	4.132	0.4	0.4	0.4
	13:00	9.90										
	13:15		6.221	6.086	0.135	0.000	0.000	4.132	4.132	0.4	0.4	0.4
	13:45		6.265	6.129	0.135	0.000	0.000	4.132	4.132	0.4	0.4	0.4
	14:00	9.50										
	14:15		6.316	6.180	0.135	0.000	0.000	4.132	4.132	0.4	0.4	0.4
	14:45		6.355	6.219	0.135	0.000	0.000	4.132	4.132	0.4	0.4	0.4
	15:00	9.10										
	15:15		6.463	6.328	0.135	0.000	0.000	4.132	4.132	0.4	0.4	0.4
	15:45		6.660	6.525	0.135	0.000	0.000	4.132	4.132	0.4	0.4	0.4
	16:00	7.90										
	16:15		6.831	6.696	0.135	0.000	0.000	4.132	4.132	0.4	0.4	0.4
	16:45		6.967	6.832	0.135	0.000	0.000	4.132	4.132	0.4	0.4	0.4
	17:00	7.00										
	17:15		7.072	6.936	0.135	0.000	0.000	4.132	4.132	0.4	0.4	0.4
	17:45		7.146	7.011	0.135	0.000	0.000	4.132	4.132	0.4	0.4	0.4
	18:00	6.50										
	18:15		6.690	6.555	0.135	0.105	0.105	5.678	5.678	0.4	0.4	0.4
	18:45		6.812	6.676	0.135	0.105	0.105	5.678	5.678	0.4	0.4	0.4
	19:00	5.30										
	19:15		6.886	6.750	0.135	0.105	0.105	5.678	5.678	0.4	0.4	0.4
	19:45		6.915	6.779	0.135	0.105	0.105	5.678	5.678	0.4	0.4	0.4
	20:00	5.10										
	20:15		6.974	6.839	0.135	0.105	0.105	4.829	4.829	0.4	0.4	0.4
	20:45		7.078	6.943	0.135	0.105	0.105	4.829	4.829	0.4	0.4	0.4
	21:00	4.40										
	21:15		7.143	7.008	0.135	0.105	0.105	4.829	4.829	0.4	0.4	0.4
	21:45		7.164	7.028	0.135	0.105	0.105	4.829	4.829	0.4	0.4	0.4
	22:00	4.50										
	22:15		8.037	7.901	0.135	0.105	0.105	5.409	5.409	0.5	0.5	0.5
	22:45		8.001	7.865	0.135	0.105	0.105	5.409	5.409	0.5	0.5	0.5
	23:00	4.30										
	23:15		8.131	7.996	0.135	0.000	0.000	2.999	2.999	0.5	0.5	0.5
	23:45		8.136	8.000	0.135	0.000	0.000	2.999	2.999	0.5	0.5	0.5
Thu, 05/Jan	24:00	3.90										
	00:15		8.326	8.191	0.135	0.000	0.000	2.912	2.912	0.5	0.5	0.5
	00:45		8.481	8.346	0.135	0.000	0.000	2.912	2.912	0.5	0.5	0.5
	01:00	2.40										
	01:15		8.567	8.432	0.135	0.000	0.000	2.912	2.912	0.5	0.5	0.5
	01:45		8.578	8.443	0.135	0.000	0.000	2.912	2.912	0.5	0.5	0.5
	02:00	2.40										
	02:15		8.594	8.459	0.135	0.000	0.000	2.912	2.912	0.5	0.5	0.5
	02:45		8.613	8.478	0.135	0.000	0.000	2.912	2.912	0.5	0.5	0.5
	03:00	2.30										
	03:15		8.621	8.486	0.135	0.000	0.000	2.912	2.912	0.5	0.5	0.5
	03:45		8.617	8.481	0.135	0.000	0.000	2.912	2.912	0.5	0.5	0.5
	04:00	2.40										
	04:15		8.610	8.475	0.135	0.000	0.000	2.912	2.912	0.5	0.5	0.5
	04:45		8.604	8.468	0.135	0.000	0.000	2.912	2.912	0.5	0.5	0.5
	05:00	2.50										
	05:15		8.582	8.446	0.135	0.000	0.000	2.912	2.912	0.5	0.5	0.5
	05:45		8.544	8.408	0.135	0.000	0.000	2.912	2.912	0.5	0.5	0.5
	06:00	2.90										
	06:15		8.525	8.390	0.135	0.000	0.000	2.912	2.912	0.5	0.5	0.5
	06:45		8.526	8.391	0.135	0.000	0.000	2.912	2.912	0.5	0.5	0.5
	07:00	2.90										
	07:15		8.542	8.407	0.135	0.000	0.000	2.912	2.912	0.5	0.5	0.5
	07:45		8.577	8.442	0.135	0.000	0.000	2.912	2.912	0.5	0.5	0.5
	08:00	2.60										
	08:15		8.584	8.449	0.135	0.000	0.000	4.932	4.932	0.5	0.5	0.5
	08:45		8.517	8.382	0.135	0.000	0.000	4.932	4.932	0.5	0.5	0.5
	09:00	2.70										
	09:15		7.835	7.700	0.135	0.000	0.000	4.132	4.132	0.5	0.5	0.5
	09:45		7.768	7.633	0.135	0.000	0.000	4.132	4.132	0.5	0.5	0.5
	10:00	3.10										
	10:15		7.625	7.489	0.135	0.000	0.000	4.132	4.132	0.5	0.5	0.5
	10:45		7.353	7.218	0.135	0.000	0.000	4.132	4.132	0.4	0.5	0.4
	11:00	4.80										
	11:15		7.073	6.937	0.135	0.000	0.000	4.132	4.132	0.4	0.4	0.4
	11:45		6.800	6.665	0.135	0.000	0.000	4.132	4.132	0.4	0.4	0.4
	12:00	5.30										
	12:15		6.558	6.423	0.135	0.000	0.000	4.132	4.132	0.4	0.4	0.4
	12:45		6.499	6.364	0.135	0.000	0.000	4.132	4.132	0.4	0.4	0.4
	13:00	6.20										
	13:15		6.497	6.361	0.135	0.000	0.000	4.132	4.132	0.4	0.4	0.4
	13:45		6.316	6.180	0.135	0.000	0.000	4.132	4.132	0.4	0.4	0.4
	14:00	5.40										
	14:15		6.235	6.099	0.135	0.000	0.000	4.132	4.132	0.4	0.4	0.4
	14:45		6.513	6.378	0.135	0.000	0.000	4.132	4.132	0.4	0.4	0.4
	15:00	5.30										
	15:15		6.824	6.689	0.135	0.000	0.000	4.132	4.132	0.4	0.4	0.4
	15:45		7.081	6.945	0.135	0.000	0.000	4.132	4.132	0.4	0.4	0.4
	16:00	5.20										
	16:15		7.242	7.107	0.135	0.000	0.000	4.132	4.132	0.4	0.4	0.4
	16:45		7.349	7.214	0.135	0.000	0.000	4.132	4.132	0.5	0.5	0.4
	17:00	4.90										
	17:15		7.405	7.270	0.135	0.000	0.000	4.132	4.132	0.5	0.5	0.4
	17:45		7.423	7.287	0.135	0.000	0.000	4.132	4.132	0.5	0.5	0.4
	18:00	5.10										
	18:15		6.902	6.767	0.135	0.105	0.105	5.678	5.678	0.4	0.4	0.4
	18:45		6.948	6.813	0.135	0.105	0.105	5.678	5.678	0.4	0.4	0.4
	19:00	4.70										
	19:15		6.988	6.853	0.135	0.105	0.105	5.678	5.678	0.4	0.4	0.4
	19:45		7.027	6.892	0.135	0.105	0.105	5.678	5.678	0.4	0.4	0.4
	20:00	4.40										
	20:15		7.071	6.936	0.135	0.105	0.105	4.829	4.829	0.4	0.4	0.4
	20:45		7.136	7.000	0.135	0.105	0.105	4.829	4.829	0.4	0.4	0.4
	21:00	4.10										
	21:15		7.203	7.068	0.135	0.105	0.105	4.829	4.829	0.4	0.4	0.4
	21:45		7.268	7.133	0.135	0.105	0.105	4.829	4.829	0.5	0.4	0.4
	22:00	3.80										
	22:15		8.144	8.008	0.135	0.105	0.105	5.409	5.409	0.5	0.5	0.5
	22:45		8.069	7.934	0.135	0.105	0.105	5.409	5.409	0.5	0.5	0.5
	23:00	4.00										
	23:15		8.164	8.028	0.135	0.000	0.000	2.999	2.999	0.5	0.5	0.5
	23:45		8.134	7.998	0.135	0.000	0.000	2.999	2.999	0.5	0.5	0.5
Fri, 06/Jan	24:00	3.90										
	00:15		8.251	8.116	0.135	0.000	0.000	2.912	2.912	0.5	0.5	0.5
	00:45		8.293	8.158	0.135	0.000	0.000	2.912	2.912	0.5	0.5	0.5
	01:00	3.40										
	01:15		8.311	8.176	0.135	0.000	0.000	2.912	2.912	0.5	0.5	0.5
	01:45		8.301	8.166	0.135	0.000	0.000	2.912	2.912	0.5	0.5	0.5
	02:00	3.50										
	02:15		8.336	8.201	0.135	0.000	0.000	2.912	2.912	0.5	0.5	0.5
	02:45		8.418	8.283	0.135	0.000	0.000	2.912	2.912	0.5	0.5	0.5
	03:00	2.80										
	03:15		8.467	8.332	0.135	0.000	0.000	2.912	2.912	0.5	0.5	0.5
	03:45		8.477	8.342	0.135	0.000	0.000	2.912	2.912	0.5	0.5	0.5
	04:00	2.80										
	04:15		8.462	8.327	0.135	0.000	0.000	2.912	2.912	0.5	0.5	0.5
	04:45		8.423	8.288	0.135	0.000	0.000	2.912	2.912	0.5	0.5	0.5
	05:00	3.20										
	05:15		8.419	8.284	0.135	0.000	0.000	2.912	2.912	0.5	0.5	0.5
	05:45		8.453	8.318	0.135	0.000	0.000	2.912	2.912	0.5	0.5	0.5
	06:00	2.90										
	06:15		8.485	8.349	0.135	0.000	0.000	2.912	2.912	0.5	0.5	0.5
	06:45		8.512	8.377	0.135	0.000	0.000	2.912	2.912	0.5	0.5	0.5
	07:00	2.70										
	07:15		8.524	8.388	0.135	0.000	0.000	2.912	2.912	0.5	0.5	0.5
	07:45		8.518	8.382	0.135	0.000	0.000	2.912	2.912	0.5	0.5	0.5
	08:00	2.80										
	08:15		8.507	8.371	0.135	0.000	0.000	4.932	4.932	0.5	0.5	0.5
	08:45		8.449	8.313	0.135	0.000	0.000	4.932	4.932	0.5	0.5	0.5
	09:00	2.80										
	09:15		7.755	7.620	0.135	0.000	0.000	4.132	4.132	0.5	0.5	0.5
	09:45		7.654	7.519	0.135	0.000	0.000	4.132	4.132	0.5	0.5	0.5
	10:00	3.50										
	10:15		7.583	7.448	0.135	0.000	0.000	4.132	4.132	0.5	0.5	0.5
	10:45		7.541	7.406	0.135	0.000	0.000	4.132	4.132	0.5	0.5	0.5
	11:00	3.70										
	11:15		7.518	7.383	0.135	0.000	0.000	4.132	4.132	0.5	0.5	0.5
	11:45		7.484	7.349	0.135	0.000	0.000	4.132	4.132	0.5	0.5	0.5
	12:00	4.00										
	12:15		7.481	7.345	0.135	0.000	0.000	4.132	4.132	0.5	0.5	0.5
	12:45		7.528	7.393	0.135	0.000	0.000	4.132	4.132	0.5	0.5	0.5
	13:00	3.90										
	13:15		7.611	7.475	0.135	0.000	0.000	4.132	4.132	0.5	0.5	0.5
	13:45		7.716	7.581	0.135	0.000	0.000	4.132	4.132	0.5	0.5	0.5
	14:00	3.40										
	14:15		7.817	7.682	0.135	0.000	0.000	4.132	4.132	0.5	0.5	0.5
	14:45		7.909	7.774	0.135	0.000	0.000	4.132	4.132	0.5	0.5	0.5
	15:00	3.00										
	15:15		8.016	7.881	0.135	0.000	0.000	4.132	4.132	0.5	0.5	0.5
