Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13
,,Ap Sys boilers energy (kBtu/h),Ap Sys boilers space cond'g load (kW),Solar azimuth (deg.),Ap Sys boilers DHW load (kW),Ap Sys boilers space cond'g energy (kBtu/h),Cloud cover (oktas),Ap Sys boilers DHW energy (kBtu/h),Atmospheric pressure (Pa),External relative humidity (%),External moisture content (kg/kg),System grid disp. elec. PV CE (kgCO2/h)
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Date,Time,18 Havelock-test-Newcastle.aps,18 Havelock-test-Newcastle.aps,NewcastleEWY.fwt,18 Havelock-test-Newcastle.aps,18 Havelock-test-Newcastle.aps,NewcastleEWY.fwt,18 Havelock-test-Newcastle.aps,NewcastleEWY.fwt,NewcastleEWY.fwt,NewcastleEWY.fwt,18 Havelock-test-Newcastle.aps
,,,,,,,,,,,,
"Sun, 01/Jan",24:00,,,,,,,,,,,
,,,,,,,,,,,,
,00:15,7.325,0.6876,,1.2229,2.636,,4.688,,,,0.0
,,,,,,,,,,,,
,00:45,7.330,0.6890,,1.2229,2.642,,4.688,,,,0.0
,,,,,,,,,,,,
,01:00,,,21.2,,,8.00,,101090,74.7,0.00420,
,,,,,,,,,,,,
,01:15,7.333,0.6897,,1.2229,2.644,,4.688,,,,0.0
,,,,,,,,,,,,
,01:45,7.331,0.6893,,1.2229,2.643,,4.688,,,,0.0
,,,,,,,,,,,,
,02:00,,,43.5,,,7.99,,101070,74.7,0.00420,
,,,,,,,,,,,,
,02:15,7.330,0.6891,,1.2229,2.642,,4.688,,,,0.0
,,,,,,,,,,,,
,02:45,7.329,0.6888,,1.2229,2.641,,4.688,,,,0.0
,,,,,,,,,,,,
,03:00,,,61.6,,,8.00,,101030,74.7,0.00420,
,,,,,,,,,,,,
,03:15,7.328,0.6885,,1.2229,2.640,,4.688,,,,0.0
,,,,,,,,,,,,
,03:45,7.327,0.6883,,1.2229,2.639,,4.688,,,,0.0
,,,,,,,,,,,,
,04:00,,,76.6,,,8.00,,101000,72.0,0.00405,
,,,,,,,,,,,,
,04:15,7.327,0.6883,,1.2229,2.639,,4.688,,,,0.0
,,,,,,,,,,,,
,04:45,7.326,0.6879,,1.2229,2.637,,4.688,,,,0.0
,,,,,,,,,,,,
,05:00,,,89.7,,,8.00,,100950,77.5,0.00436,
,,,,,,,,,,,,
,05:15,7.336,0.6905,,1.2229,2.647,,4.688,,,,0.0
,,,,,,,,,,,,
,05:45,7.358,0.6964,,1.2229,2.670,,4.688,,,,0.0
,,,,,,,,,,,,
,06:00,,,101.7,,,8.00,,100880,73.2,0.00406,
,,,,,,,,,,,,
