DateTime,System elec. CE (kgCO2/h),Total lights CE (kgCO2/h),Lights elec. CE (kgCO2/h),Total equip CE (kgCO2/h),Equip elec. CE (kgCO2/h),Room heating plant sens. load (kW),Wet-bulb temperature (°C),External dew-point temp. (°C),Room hum. plant load (kW),Daily running mean temp. (°C),System air heating load (kW)
01-01 00:15,0.0,0.0,0.0,0.1,0.1,0.6181,3.70,1.38,0.0000,5.65,0.0000
01-01 00:45,0.0,0.0,0.0,0.1,0.1,0.6194,3.70,1.38,0.0000,5.65,0.0000
01-01 01:15,0.0,0.0,0.0,0.1,0.1,0.6200,3.70,1.38,0.0000,5.65,0.0000
01-01 01:45,0.0,0.0,0.0,0.1,0.1,0.6196,3.70,1.38,0.0000,5.65,0.0000
01-01 02:15,0.0,0.0,0.0,0.1,0.1,0.6194,3.70,1.38,0.0000,5.65,0.0000
01-01 02:45,0.0,0.0,0.0,0.1,0.1,0.6191,3.70,1.38,0.0000,5.65,0.0000
01-01 03:15,0.0,0.0,0.0,0.1,0.1,0.6189,3.50,0.87,0.0000,5.65,0.0000
01-01 03:45,0.0,0.0,0.0,0.1,0.1,0.6187,3.50,0.87,0.0000,5.65,0.0000
01-01 04:15,0.0,0.0,0.0,0.1,0.1,0.6187,3.90,1.89,0.0000,5.65,0.0000
01-01 04:45,0.0,0.0,0.0,0.1,0.1,0.6184,3.90,1.89,0.0000,5.65,0.0000
01-01 05:15,0.0,0.0,0.0,0.1,0.1,0.6207,3.40,0.90,0.0000,5.65,0.0000
01-01 05:45,0.0,0.0,0.0,0.1,0.1,0.6260,3.40,0.90,0.0000,5.65,0.0000
01-01 06:15,0.0,0.0,0.0,0.1,0.1,0.6316,3.20,0.66,0.0000,5.65,0.0000
01-01 06:45,0.0,0.0,0.0,0.1,0.1,0.6373,3.20,0.66,0.0000,5.65,0.0000
01-01 07:15,0.0,0.0,0.0,0.1,0.1,0.6417,3.30,1.07,0.0000,5.65,0.0000
01-01 07:45,0.0,0.0,0.0,0.1,0.1,0.6448,3.30,1.07,0.0000,5.65,0.0000
01-01 08:15,0.0,0.0,0.0,0.2,0.2,0.6460,2.90,0.16,0.0000,5.65,0.0000
01-01 08:45,0.0,0.0,0.0,0.2,0.2,0.6361,2.90,0.16,0.0000,5.65,0.0000
01-01 09:15,0.0,0.0,0.0,0.2,0.2,0.4880,3.20,0.95,0.0000,5.65,0.0000
01-01 09:45,0.0,0.0,0.0,0.2,0.2,0.4904,3.20,0.95,0.0000,5.65,0.0000
01-01 10:15,0.0,0.0,0.0,0.2,0.2,0.5048,3.20,1.65,0.0000,5.65,0.0000
01-01 10:45,0.0,0.0,0.0,0.2,0.2,0.5258,3.20,1.65,0.0000,5.65,0.0000
01-01 11:15,0.0,0.0,0.0,0.2,0.2,0.5482,3.10,2.21,0.0000,5.65,0.0000
01-01 11:45,0.0,0.0,0.0,0.2,0.2,0.5716,3.10,2.21,0.0000,5.65,0.0000
01-01 12:15,0.0,0.0,0.0,0.2,0.2,0.5898,3.10,2.47,0.0000,5.65,0.0000
01-01 12:45,0.0,0.0,0.0,0.2,0.2,0.6026,3.10,2.47,0.0000,5.65,0.0000
01-01 13:15,0.0,0.0,0.0,0.2,0.2,0.6174,2.70,2.05,0.0000,5.65,0.0000
01-01 13:45,0.0,0.0,0.0,0.2,0.2,0.6345,2.70,2.05,0.0000,5.65,0.0000
01-01 14:15,0.0,0.0,0.0,0.2,0.2,0.6466,2.70,2.06,0.0000,5.65,0.0000
01-01 14:45,0.0,0.0,0.0,0.2,0.2,0.6531,2.70,2.06,0.0000,5.65,0.0000
01-01 15:15,0.0,0.0,0.0,0.2,0.2,0.6619,2.60,2.08,0.0000,5.65,0.0000
01-01 15:45,0.0,0.0,0.0,0.2,0.2,0.6738,2.60,2.08,0.0000,5.65,0.0000
01-01 16:15,0.0,0.0,0.0,0.2,0.2,0.6792,2.80,2.16,0.0000,5.65,0.0000
01-01 16:45,0.0,0.0,0.0,0.2,0.2,0.6768,2.80,2.16,0.0000,5.65,0.0000
01-01 17:15,0.0,0.0,0.0,0.2,0.2,0.6745,3.00,2.37,0.0000,5.65,0.0000
01-01 17:45,0.0,0.0,0.0,0.2,0.2,0.6727,3.00,2.37,0.0000,5.65,0.0000
01-01 18:15,0.0,0.0,0.0,0.3,0.3,0.5400,3.10,2.47,0.0000,5.65,0.0000
01-01 18:45,0.0,0.0,0.0,0.3,0.3,0.5340,3.10,2.47,0.0000,5.65,0.0000
01-01 19:15,0.0,0.0,0.0,0.3,0.3,0.5276,3.10,2.34,0.0000,5.65,0.0000
01-01 19:45,0.0,0.0,0.0,0.3,0.3,0.5223,3.10,2.34,0.0000,5.65,0.0000
01-01 20:15,0.0,0.0,0.0,0.2,0.2,0.5184,3.20,2.45,0.0000,5.65,0.0000
01-01 20:45,0.0,0.0,0.0,0.2,0.2,0.5193,3.20,2.45,0.0000,5.65,0.0000
01-01 21:15,0.0,0.0,0.0,0.2,0.2,0.5235,3.20,2.58,0.0000,5.65,0.0000
01-01 21:45,0.0,0.0,0.0,0.2,0.2,0.5296,3.20,2.58,0.0000,5.65,0.0000
01-01 22:15,0.0,0.0,0.0,0.3,0.3,0.7313,3.20,2.58,0.0000,5.65,0.0000
01-01 22:45,0.0,0.0,0.0,0.3,0.3,0.7160,3.20,2.58,0.0000,5.65,0.0000
01-01 23:15,0.0,0.0,0.0,0.1,0.1,0.7359,3.30,2.43,0.0000,5.65,0.0000
01-01 23:45,0.0,0.0,0.0,0.1,0.1,0.7220,3.30,2.43,0.0000,5.65,0.0000
01-02 00:15,0.0,0.0,0.0,0.1,0.1,0.7401,3.40,2.53,0.0000,5.38,0.0000
01-02 00:45,0.0,0.0,0.0,0.1,0.1,0.7362,3.40,2.53,0.0000,5.38,0.0000
01-02 01:15,0.0,0.0,0.0,0.1,0.1,0.7326,3.50,2.63,0.0000,5.38,0.0000
01-02 01:45,0.0,0.0,0.0,0.1,0.1,0.7295,3.50,2.63,0.0000,5.38,0.0000
01-02 02:15,0.0,0.0,0.0,0.1,0.1,0.7254,3.90,3.30,0.0000,5.38,0.0000
01-02 02:45,0.0,0.0,0.0,0.1,0.1,0.7199,3.90,3.30,0.0000,5.38,0.0000
01-02 03:15,0.0,0.0,0.0,0.1,0.1,0.7141,4.00,3.28,0.0000,5.38,0.0000
01-02 03:45,0.0,0.0,0.0,0.1,0.1,0.7085,4.00,3.28,0.0000,5.38,0.0000
01-02 04:15,0.0,0.0,0.0,0.1,0.1,0.7092,3.70,2.97,0.0000,5.38,0.0000
01-02 04:45,0.0,0.0,0.0,0.1,0.1,0.7166,3.70,2.97,0.0000,5.38,0.0000
01-02 05:15,0.0,0.0,0.0,0.1,0.1,0.7194,3.60,2.61,0.0000,5.38,0.0000
01-02 05:45,0.0,0.0,0.0,0.1,0.1,0.7173,3.60,2.61,0.0000,5.38,0.0000
01-02 06:15,0.0,0.0,0.0,0.1,0.1,0.7186,3.30,2.16,0.0000,5.38,0.0000
01-02 06:45,0.0,0.0,0.0,0.1,0.1,0.7236,3.30,2.16,0.0000,5.38,0.0000
01-02 07:15,0.0,0.0,0.0,0.1,0.1,0.7314,3.10,2.21,0.0000,5.38,0.0000
01-02 07:45,0.0,0.0,0.0,0.1,0.1,0.7419,3.10,2.21,0.0000,5.38,0.0000
01-02 08:15,0.0,0.0,0.0,0.2,0.2,0.7487,2.80,1.75,0.0000,5.38,0.0000
01-02 08:45,0.0,0.0,0.0,0.2,0.2,0.7418,2.80,1.75,0.0000,5.38,0.0000
01-02 09:15,0.0,0.0,0.0,0.2,0.2,0.5820,3.10,1.39,0.0000,5.38,0.0000
01-02 09:45,0.0,0.0,0.0,0.2,0.2,0.5593,3.10,1.39,0.0000,5.38,0.0000
01-02 10:15,0.0,0.0,0.0,0.2,0.2,0.5506,2.80,0.63,0.0000,5.38,0.0000
01-02 10:45,0.0,0.0,0.0,0.2,0.2,0.5526,2.80,0.63,0.0000,5.38,0.0000
01-02 11:15,0.0,0.0,0.0,0.2,0.2,0.5440,2.70,-0.36,0.0000,5.38,0.0000
01-02 11:45,0.0,0.0,0.0,0.2,0.2,0.5158,2.70,-0.36,0.0000,5.38,0.0000
01-02 12:15,0.0,0.0,0.0,0.2,0.2,0.5088,1.50,-1.99,0.0000,5.38,0.0000
01-02 12:45,0.0,0.0,0.0,0.2,0.2,0.5461,1.50,-1.99,0.0000,5.38,0.0000
01-02 13:15,0.0,0.0,0.0,0.2,0.2,0.5697,1.40,-2.42,0.0000,5.38,0.0000
01-02 13:45,0.0,0.0,0.0,0.2,0.2,0.5537,1.40,-2.42,0.0000,5.38,0.0000
01-02 14:15,0.0,0.0,0.0,0.2,0.2,0.5460,2.00,-0.84,0.0000,5.38,0.0000
01-02 14:45,0.0,0.0,0.0,0.2,0.2,0.5728,2.00,-0.84,0.0000,5.38,0.0000
01-02 15:15,0.0,0.0,0.0,0.2,0.2,0.6098,1.30,-1.60,0.0000,5.38,0.0000
01-02 15:45,0.0,0.0,0.0,0.2,0.2,0.6477,1.30,-1.60,0.0000,5.38,0.0000
01-02 16:15,0.0,0.0,0.0,0.2,0.2,0.6688,1.20,-2.18,0.0000,5.38,0.0000
01-02 16:45,0.0,0.0,0.0,0.2,0.2,0.6775,1.20,-2.18,0.0000,5.38,0.0000
01-02 17:15,0.0,0.0,0.0,0.2,0.2,0.6859,1.20,-2.19,0.0000,5.38,0.0000
01-02 17:45,0.0,0.0,0.0,0.2,0.2,0.6949,1.20,-2.19,0.0000,5.38,0.0000
01-02 18:15,0.0,0.0,0.0,0.3,0.3,0.5712,1.00,-2.75,0.0000,5.38,0.0000
01-02 18:45,0.0,0.0,0.0,0.3,0.3,0.5730,1.00,-2.75,0.0000,5.38,0.0000
01-02 19:15,0.0,0.0,0.0,0.3,0.3,0.5824,1.00,-1.63,0.0000,5.38,0.0000
01-02 19:45,0.0,0.0,0.0,0.3,0.3,0.6004,1.00,-1.63,0.0000,5.38,0.0000
01-02 20:15,0.0,0.0,0.0,0.2,0.2,0.6136,0.60,-2.38,0.0000,5.38,0.0000
01-02 20:45,0.0,0.0,0.0,0.2,0.2,0.6263,0.60,-2.38,0.0000,5.38,0.0000
01-02 21:15,0.0,0.0,0.0,0.2,0.2,0.6465,0.70,-1.04,0.0000,5.38,0.0000
01-02 21:45,0.0,0.0,0.0,0.2,0.2,0.6713,0.70,-1.04,0.0000,5.38,0.0000
01-02 22:15,0.0,0.0,0.0,0.3,0.3,0.8856,0.30,-1.90,0.0000,5.38,0.0000
01-02 22:45,0.0,0.0,0.0,0.3,0.3,0.8784,0.30,-1.90,0.0000,5.38,0.0000
01-02 23:15,0.0,0.0,0.0,0.1,0.1,0.9176,-0.20,-1.77,0.0000,5.38,0.0000
01-02 23:45,0.0,0.0,0.0,0.1,0.1,0.9325,-0.20,-1.77,0.0000,5.38,0.0000
01-03 00:15,0.0,0.0,0.0,0.1,0.1,0.9667,-0.30,-2.02,0.0000,5.03,0.0000
01-03 00:45,0.0,0.0,0.0,0.1,0.1,0.9678,-0.30,-2.02,0.0000,5.03,0.0000
01-03 01:15,0.0,0.0,0.0,0.1,0.1,0.9774,-0.70,-2.19,0.0000,5.03,0.0000
01-03 01:45,0.0,0.0,0.0,0.1,0.1,0.9956,-0.70,-2.19,0.0000,5.03,0.0000
01-03 02:15,0.0,0.0,0.0,0.1,0.1,1.0090,-0.70,-2.05,0.0000,5.03,0.0000
01-03 02:45,0.0,0.0,0.0,0.1,0.1,1.0167,-0.70,-2.05,0.0000,5.03,0.0000
01-03 03:15,0.0,0.0,0.0,0.1,0.1,1.0244,-0.60,-1.66,0.0000,5.03,0.0000
01-03 03:45,0.0,0.0,0.0,0.1,0.1,1.0315,-0.60,-1.66,0.0000,5.03,0.0000
01-03 04:15,0.0,0.0,0.0,0.1,0.1,1.0408,-1.00,-2.24,0.0000,5.03,0.0000
01-03 04:45,0.0,0.0,0.0,0.1,0.1,1.0528,-1.00,-2.24,0.0000,5.03,0.0000
01-03 05:15,0.0,0.0,0.0,0.1,0.1,1.0611,-1.20,-2.75,0.0000,5.03,0.0000
01-03 05:45,0.0,0.0,0.0,0.1,0.1,1.0653,-1.20,-2.75,0.0000,5.03,0.0000
01-03 06:15,0.0,0.0,0.0,0.1,0.1,1.0705,-1.40,-3.13,0.0000,5.03,0.0000
01-03 06:45,0.0,0.0,0.0,0.1,0.1,1.0773,-1.40,-3.13,0.0000,5.03,0.0000
01-03 07:15,0.0,0.0,0.0,0.1,0.1,1.0895,-1.80,-3.44,0.0000,5.03,0.0000
01-03 07:45,0.0,0.0,0.0,0.1,0.1,1.1066,-1.80,-3.44,0.0000,5.03,0.0000
01-03 08:15,0.0,0.0,0.0,0.2,0.2,1.1113,-1.60,-3.37,0.0000,5.03,0.0000
01-03 08:45,0.0,0.0,0.0,0.2,0.2,1.0929,-1.60,-3.37,0.0000,5.03,0.0000
01-03 09:15,0.0,0.0,0.0,0.2,0.2,0.9314,-1.30,-3.18,0.0000,5.03,0.0000
01-03 09:45,0.0,0.0,0.0,0.2,0.2,0.9147,-1.30,-3.18,0.0000,5.03,0.0000
01-03 10:15,0.0,0.0,0.0,0.2,0.2,0.8911,-0.40,-2.29,0.0000,5.03,0.0000
01-03 10:45,0.0,0.0,0.0,0.2,0.2,0.8536,-0.40,-2.29,0.0000,5.03,0.0000
01-03 11:15,0.0,0.0,0.0,0.2,0.2,0.8034,0.30,-2.89,0.0000,5.03,0.0000
01-03 11:45,0.0,0.0,0.0,0.2,0.2,0.7465,0.30,-2.89,0.0000,5.03,0.0000
01-03 12:15,0.0,0.0,0.0,0.2,0.2,0.7066,-0.10,-3.92,0.0000,5.03,0.0000
01-03 12:45,0.0,0.0,0.0,0.2,0.2,0.6878,-0.10,-3.92,0.0000,5.03,0.0000
01-03 13:15,0.0,0.0,0.0,0.2,0.2,0.6878,-0.10,-2.67,0.0000,5.03,0.0000
01-03 13:45,0.0,0.0,0.0,0.2,0.2,0.7098,-0.10,-2.67,0.0000,5.03,0.0000
01-03 14:15,0.0,0.0,0.0,0.2,0.2,0.7337,-0.50,-2.11,0.0000,5.03,0.0000
01-03 14:45,0.0,0.0,0.0,0.2,0.2,0.7501,-0.50,-2.11,0.0000,5.03,0.0000
01-03 15:15,0.0,0.0,0.0,0.2,0.2,0.7950,-1.10,-2.35,0.0000,5.03,0.0000
01-03 15:45,0.0,0.0,0.0,0.2,0.2,0.8821,-1.10,-2.35,0.0000,5.03,0.0000
01-03 16:15,0.0,0.0,0.0,0.2,0.2,0.9402,-0.80,-1.88,0.0000,5.03,0.0000
01-03 16:45,0.0,0.0,0.0,0.2,0.2,0.9657,-0.80,-1.88,0.0000,5.03,0.0000
01-03 17:15,0.0,0.0,0.0,0.2,0.2,0.9867,-1.00,-1.95,0.0000,5.03,0.0000
01-03 17:45,0.0,0.0,0.0,0.2,0.2,1.0089,-1.00,-1.95,0.0000,5.03,0.0000
01-03 18:15,0.0,0.0,0.0,0.3,0.3,0.8861,-0.60,-1.80,0.0000,5.03,0.0000
01-03 18:45,0.0,0.0,0.0,0.3,0.3,0.8769,-0.60,-1.80,0.0000,5.03,0.0000
01-03 19:15,0.0,0.0,0.0,0.3,0.3,0.8646,-0.20,-1.77,0.0000,5.03,0.0000
01-03 19:45,0.0,0.0,0.0,0.3,0.3,0.8503,-0.20,-1.77,0.0000,5.03,0.0000
01-03 20:15,0.0,0.0,0.0,0.2,0.2,0.8538,-0.50,-1.55,0.0000,5.03,0.0000
01-03 20:45,0.0,0.0,0.0,0.2,0.2,0.8788,-0.50,-1.55,0.0000,5.03,0.0000
01-03 21:15,0.0,0.0,0.0,0.2,0.2,0.8981,-0.10,-0.47,0.0000,5.03,0.0000
01-03 21:45,0.0,0.0,0.0,0.2,0.2,0.9096,-0.10,-0.47,0.0000,5.03,0.0000
01-03 22:15,0.0,0.0,0.0,0.3,0.3,1.1124,0.30,-0.00,0.0000,5.03,0.0000
01-03 22:45,0.0,0.0,0.0,0.3,0.3,1.0936,0.30,-0.00,0.0000,5.03,0.0000
01-03 23:15,0.0,0.0,0.0,0.1,0.1,1.1122,0.30,-0.27,0.0000,5.03,0.0000
01-03 23:45,0.0,0.0,0.0,0.1,0.1,1.0996,0.30,-0.27,0.0000,5.03,0.0000
01-04 00:15,0.0,0.0,0.0,0.1,0.1,1.1124,0.70,-0.03,0.0000,4.12,0.0000
01-04 00:45,0.0,0.0,0.0,0.1,0.1,1.0983,0.70,-0.03,0.0000,4.12,0.0000
01-04 01:15,0.0,0.0,0.0,0.1,0.1,1.0936,0.40,-0.46,0.0000,4.12,0.0000
01-04 01:45,0.0,0.0,0.0,0.1,0.1,1.0979,0.40,-0.46,0.0000,4.12,0.0000
01-04 02:15,0.0,0.0,0.0,0.1,0.1,1.1014,0.30,-0.55,0.0000,4.12,0.0000
01-04 02:45,0.0,0.0,0.0,0.1,0.1,1.1040,0.30,-0.55,0.0000,4.12,0.0000
01-04 03:15,0.0,0.0,0.0,0.1,0.1,1.0952,1.10,0.22,0.0000,4.12,0.0000
01-04 03:45,0.0,0.0,0.0,0.1,0.1,1.0747,1.10,0.22,0.0000,4.12,0.0000
01-04 04:15,0.0,0.0,0.0,0.1,0.1,1.0287,3.70,2.84,0.0000,4.12,0.0000
01-04 04:45,0.0,0.0,0.0,0.1,0.1,0.9564,3.70,2.84,0.0000,4.12,0.0000
01-04 05:15,0.0,0.0,0.0,0.1,0.1,0.9074,4.10,3.01,0.0000,4.12,0.0000
01-04 05:45,0.0,0.0,0.0,0.1,0.1,0.8842,4.10,3.01,0.0000,4.12,0.0000
01-04 06:15,0.0,0.0,0.0,0.1,0.1,0.8787,3.70,2.97,0.0000,4.12,0.0000
01-04 06:45,0.0,0.0,0.0,0.1,0.1,0.8900,3.70,2.97,0.0000,4.12,0.0000
01-04 07:15,0.0,0.0,0.0,0.1,0.1,0.8757,5.00,4.21,0.0000,4.12,0.0000
01-04 07:45,0.0,0.0,0.0,0.1,0.1,0.8352,5.00,4.21,0.0000,4.12,0.0000
01-04 08:15,0.0,0.0,0.0,0.2,0.2,0.8065,5.30,4.64,0.0000,4.12,0.0000
01-04 08:45,0.0,0.0,0.0,0.2,0.2,0.7802,5.30,4.64,0.0000,4.12,0.0000
01-04 09:15,0.0,0.0,0.0,0.2,0.2,0.5888,7.30,6.52,0.0000,4.12,0.0000
01-04 09:45,0.0,0.0,0.0,0.2,0.2,0.5191,7.30,6.52,0.0000,4.12,0.0000
01-04 10:15,0.0,0.0,0.0,0.2,0.2,0.4650,8.10,7.07,0.0000,4.12,0.0000
01-04 10:45,0.0,0.0,0.0,0.2,0.2,0.4233,8.10,7.07,0.0000,4.12,0.0000
01-04 11:15,0.0,0.0,0.0,0.2,0.2,0.3895,8.40,7.29,0.0000,4.12,0.0000
01-04 11:45,0.0,0.0,0.0,0.2,0.2,0.3650,8.40,7.29,0.0000,4.12,0.0000
01-04 12:15,0.0,0.0,0.0,0.2,0.2,0.3446,8.60,7.41,0.0000,4.12,0.0000
01-04 12:45,0.0,0.0,0.0,0.2,0.2,0.3304,8.60,7.41,0.0000,4.12,0.0000
01-04 13:15,0.0,0.0,0.0,0.2,0.2,0.3276,8.40,7.39,0.0000,4.12,0.0000
01-04 13:45,0.0,0.0,0.0,0.2,0.2,0.3379,8.40,7.39,0.0000,4.12,0.0000
01-04 14:15,0.0,0.0,0.0,0.2,0.2,0.3498,6.80,4.37,0.0000,4.12,0.0000
01-04 14:45,0.0,0.0,0.0,0.2,0.2,0.3589,6.80,4.37,0.0000,4.12,0.0000
01-04 15:15,0.0,0.0,0.0,0.2,0.2,0.3845,5.50,2.72,0.0000,4.12,0.0000
01-04 15:45,0.0,0.0,0.0,0.2,0.2,0.4306,5.50,2.72,0.0000,4.12,0.0000
01-04 16:15,0.0,0.0,0.0,0.2,0.2,0.4706,4.30,0.86,0.0000,4.12,0.0000
01-04 16:45,0.0,0.0,0.0,0.2,0.2,0.5025,4.30,0.86,0.0000,4.12,0.0000
01-04 17:15,0.0,0.0,0.0,0.2,0.2,0.5271,4.20,1.30,0.0000,4.12,0.0000
01-04 17:45,0.0,0.0,0.0,0.2,0.2,0.5445,4.20,1.30,0.0000,4.12,0.0000
01-04 18:15,0.0,0.0,0.0,0.3,0.3,0.4376,3.70,1.67,0.0000,4.12,0.0000
01-04 18:45,0.0,0.0,0.0,0.3,0.3,0.4661,3.70,1.67,0.0000,4.12,0.0000
01-04 19:15,0.0,0.0,0.0,0.3,0.3,0.4835,3.30,0.94,0.0000,4.12,0.0000
01-04 19:45,0.0,0.0,0.0,0.3,0.3,0.4902,3.30,0.94,0.0000,4.12,0.0000
01-04 20:15,0.0,0.0,0.0,0.2,0.2,0.5042,2.80,0.64,0.0000,4.12,0.0000
01-04 20:45,0.0,0.0,0.0,0.2,0.2,0.5285,2.80,0.64,0.0000,4.12,0.0000
01-04 21:15,0.0,0.0,0.0,0.2,0.2,0.5438,2.60,-0.02,0.0000,4.12,0.0000
01-04 21:45,0.0,0.0,0.0,0.2,0.2,0.5486,2.60,-0.02,0.0000,4.12,0.0000
01-04 22:15,0.0,0.0,0.0,0.3,0.3,0.7533,2.20,-0.72,0.0000,4.12,0.0000
01-04 22:45,0.0,0.0,0.0,0.3,0.3,0.7449,2.20,-0.72,0.0000,4.12,0.0000
01-04 23:15,0.0,0.0,0.0,0.1,0.1,0.7755,2.30,0.07,0.0000,4.12,0.0000
01-04 23:45,0.0,0.0,0.0,0.1,0.1,0.7765,2.30,0.07,0.0000,4.12,0.0000
01-05 00:15,0.0,0.0,0.0,0.1,0.1,0.8212,1.40,-0.03,0.0000,4.42,0.0000
01-05 00:45,0.0,0.0,0.0,0.1,0.1,0.8575,1.40,-0.03,0.0000,4.42,0.0000
01-05 01:15,0.0,0.0,0.0,0.1,0.1,0.8776,1.30,-0.26,0.0000,4.42,0.0000
01-05 01:45,0.0,0.0,0.0,0.1,0.1,0.8803,1.30,-0.26,0.0000,4.42,0.0000
01-05 02:15,0.0,0.0,0.0,0.1,0.1,0.8840,1.40,0.11,0.0000,4.42,0.0000
01-05 02:45,0.0,0.0,0.0,0.1,0.1,0.8885,1.40,0.11,0.0000,4.42,0.0000
01-05 03:15,0.0,0.0,0.0,0.1,0.1,0.8904,1.60,0.48,0.0000,4.42,0.0000
01-05 03:45,0.0,0.0,0.0,0.1,0.1,0.8893,1.60,0.48,0.0000,4.42,0.0000
01-05 04:15,0.0,0.0,0.0,0.1,0.1,0.8878,1.60,0.33,0.0000,4.42,0.0000
01-05 04:45,0.0,0.0,0.0,0.1,0.1,0.8863,1.60,0.33,0.0000,4.42,0.0000
01-05 05:15,0.0,0.0,0.0,0.1,0.1,0.8811,1.70,0.00,0.0000,4.42,0.0000
01-05 05:45,0.0,0.0,0.0,0.1,0.1,0.8722,1.70,0.00,0.0000,4.42,0.0000
01-05 06:15,0.0,0.0,0.0,0.1,0.1,0.8679,1.80,0.26,0.0000,4.42,0.0000
01-05 06:45,0.0,0.0,0.0,0.1,0.1,0.8680,1.80,0.26,0.0000,4.42,0.0000
01-05 07:15,0.0,0.0,0.0,0.1,0.1,0.8719,1.60,0.19,0.0000,4.42,0.0000
01-05 07:45,0.0,0.0,0.0,0.1,0.1,0.8801,1.60,0.19,0.0000,4.42,0.0000
01-05 08:15,0.0,0.0,0.0,0.2,0.2,0.8817,1.60,0.03,0.0000,4.42,0.0000
01-05 08:45,0.0,0.0,0.0,0.2,0.2,0.8660,1.60,0.03,0.0000,4.42,0.0000
01-05 09:15,0.0,0.0,0.0,0.2,0.2,0.7060,1.80,-0.03,0.0000,4.42,0.0000
01-05 09:45,0.0,0.0,0.0,0.2,0.2,0.6903,1.80,-0.03,0.0000,4.42,0.0000
01-05 10:15,0.0,0.0,0.0,0.2,0.2,0.6567,2.70,-0.17,0.0000,4.42,0.0000
01-05 10:45,0.0,0.0,0.0,0.2,0.2,0.5930,2.70,-0.17,0.0000,4.42,0.0000
01-05 11:15,0.0,0.0,0.0,0.2,0.2,0.5273,2.80,-0.61,0.0000,4.42,0.0000
01-05 11:45,0.0,0.0,0.0,0.2,0.2,0.4634,2.80,-0.61,0.0000,4.42,0.0000
01-05 12:15,0.0,0.0,0.0,0.2,0.2,0.4067,3.30,-0.60,0.0000,4.42,0.0000
01-05 12:45,0.0,0.0,0.0,0.2,0.2,0.3929,3.30,-0.60,0.0000,4.42,0.0000
01-05 13:15,0.0,0.0,0.0,0.2,0.2,0.3923,3.20,0.26,0.0000,4.42,0.0000
01-05 13:45,0.0,0.0,0.0,0.2,0.2,0.3498,3.20,0.26,0.0000,4.42,0.0000
01-05 14:15,0.0,0.0,0.0,0.2,0.2,0.3308,3.10,0.13,0.0000,4.42,0.0000
01-05 14:45,0.0,0.0,0.0,0.2,0.2,0.3961,3.10,0.13,0.0000,4.42,0.0000
01-05 15:15,0.0,0.0,0.0,0.2,0.2,0.4690,3.10,0.29,0.0000,4.42,0.0000
01-05 15:45,0.0,0.0,0.0,0.2,0.2,0.5292,3.10,0.29,0.0000,4.42,0.0000
01-05 16:15,0.0,0.0,0.0,0.2,0.2,0.5670,2.90,0.19,0.0000,4.42,0.0000
01-05 16:45,0.0,0.0,0.0,0.2,0.2,0.5922,2.90,0.19,0.0000,4.42,0.0000
01-05 17:15,0.0,0.0,0.0,0.2,0.2,0.6053,2.90,-0.10,0.0000,4.42,0.0000
01-05 17:45,0.0,0.0,0.0,0.2,0.2,0.6094,2.90,-0.10,0.0000,4.42,0.0000
01-05 18:15,0.0,0.0,0.0,0.3,0.3,0.4874,2.70,-0.04,0.0000,4.42,0.0000
01-05 18:45,0.0,0.0,0.0,0.3,0.3,0.4982,2.70,-0.04,0.0000,4.42,0.0000
01-05 19:15,0.0,0.0,0.0,0.3,0.3,0.5075,2.40,-0.36,0.0000,4.42,0.0000
01-05 19:45,0.0,0.0,0.0,0.3,0.3,0.5166,2.40,-0.36,0.0000,4.42,0.0000
01-05 20:15,0.0,0.0,0.0,0.2,0.2,0.5270,2.10,-0.68,0.0000,4.42,0.0000
01-05 20:45,0.0,0.0,0.0,0.2,0.2,0.5420,2.10,-0.68,0.0000,4.42,0.0000
01-05 21:15,0.0,0.0,0.0,0.2,0.2,0.5579,2.20,-0.03,0.0000,4.42,0.0000
01-05 21:45,0.0,0.0,0.0,0.2,0.2,0.5731,2.20,-0.03,0.0000,4.42,0.0000
01-05 22:15,0.0,0.0,0.0,0.3,0.3,0.7784,2.00,-0.80,0.0000,4.42,0.0000
01-05 22:45,0.0,0.0,0.0,0.3,0.3,0.7609,2.00,-0.80,0.0000,4.42,0.0000
01-05 23:15,0.0,0.0,0.0,0.1,0.1,0.7831,2.10,-0.41,0.0000,4.42,0.0000
01-05 23:45,0.0,0.0,0.0,0.1,0.1,0.7761,2.10,-0.41,0.0000,4.42,0.0000
01-06 00:15,0.0,0.0,0.0,0.1,0.1,0.8035,1.80,-0.45,0.0000,4.31,0.0000
01-06 00:45,0.0,0.0,0.0,0.1,0.1,0.8134,1.80,-0.45,0.0000,4.31,0.0000
01-06 01:15,0.0,0.0,0.0,0.1,0.1,0.8176,1.60,-1.08,0.0000,4.31,0.0000
01-06 01:45,0.0,0.0,0.0,0.1,0.1,0.8153,1.60,-1.08,0.0000,4.31,0.0000
01-06 02:15,0.0,0.0,0.0,0.1,0.1,0.8235,0.30,-3.49,0.0000,4.31,0.0000
01-06 02:45,0.0,0.0,0.0,0.1,0.1,0.8427,0.30,-3.49,0.0000,4.31,0.0000
01-06 03:15,0.0,0.0,0.0,0.1,0.1,0.8542,0.30,-3.49,0.0000,4.31,0.0000
01-06 03:45,0.0,0.0,0.0,0.1,0.1,0.8567,0.30,-3.49,0.0000,4.31,0.0000
