Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13
,,System elec. CE (kgCO2/h),Total lights CE (kgCO2/h),Lights elec. CE (kgCO2/h),Total equip CE (kgCO2/h),Equip elec. CE (kgCO2/h),Room heating plant sens. load (kW),Wet-bulb temperature (�C),External dew-point temp. (�C),Room hum. plant load (kW),Daily running mean temp. (�C),System air heating load (kW)
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Date,Time,18 Havelock-test-Newcastle.aps,18 Havelock-test-Newcastle.aps,18 Havelock-test-Newcastle.aps,18 Havelock-test-Newcastle.aps,18 Havelock-test-Newcastle.aps,18 Havelock-test-Newcastle.aps,NewcastleEWY.fwt,NewcastleEWY.fwt,18 Havelock-test-Newcastle.aps,NewcastleEWY.fwt,18 Havelock-test-Newcastle.aps
,,,,,,,,,,,,
"Sun, 01/Jan",24:00,,,,,,,,,,,
,,,,,,,,,,,,
,00:15,0.0,0.0,0.0,0.1,0.1,0.6181,,,0.0000,,0.0000
,,,,,,,,,,,,
,00:45,0.0,0.0,0.0,0.1,0.1,0.6194,,,0.0000,,0.0000
,,,,,,,,,,,,
,01:00,,,,,,,3.70,1.38,,5.65,
,,,,,,,,,,,,
,01:15,0.0,0.0,0.0,0.1,0.1,0.6200,,,0.0000,,0.0000
,,,,,,,,,,,,
,01:45,0.0,0.0,0.0,0.1,0.1,0.6196,,,0.0000,,0.0000
,,,,,,,,,,,,
,02:00,,,,,,,3.70,1.38,,5.65,
,,,,,,,,,,,,
,02:15,0.0,0.0,0.0,0.1,0.1,0.6194,,,0.0000,,0.0000
,,,,,,,,,,,,
,02:45,0.0,0.0,0.0,0.1,0.1,0.6191,,,0.0000,,0.0000
,,,,,,,,,,,,
,03:00,,,,,,,3.70,1.38,,5.65,
,,,,,,,,,,,,
,03:15,0.0,0.0,0.0,0.1,0.1,0.6189,,,0.0000,,0.0000
,,,,,,,,,,,,
,03:45,0.0,0.0,0.0,0.1,0.1,0.6187,,,0.0000,,0.0000
,,,,,,,,,,,,
,04:00,,,,,,,3.50,0.87,,5.65,
,,,,,,,,,,,,
,04:15,0.0,0.0,0.0,0.1,0.1,0.6187,,,0.0000,,0.0000
,,,,,,,,,,,,
,04:45,0.0,0.0,0.0,0.1,0.1,0.6184,,,0.0000,,0.0000
,,,,,,,,,,,,
