DateTime,Aux vent heating load (kW),Max. adaptive temp. (°C),Wind speed (m/s),Wind direction[E of N] (deg.),Boilers load (kW),Direct radiation (W/m²),Ap Sys boilers load (kW),Boilers energy (kBtu/h),Diffuse radiation (W/m²),Global radiation (W/m²),Solar altitude (deg.)
01-01 00:15,0.0000,23.67,6.00,120.0,1.9105,0.000,1.9105,7.325,0.000,0.000,0.0
01-01 00:45,0.0000,23.67,6.00,120.0,1.9119,0.000,1.9119,7.330,0.000,0.000,0.0
01-01 01:15,0.0000,23.67,6.50,120.0,1.9126,0.000,1.9126,7.333,0.000,0.000,0.0
01-01 01:45,0.0000,23.67,6.50,120.0,1.9122,0.000,1.9122,7.331,0.000,0.000,0.0
01-01 02:15,0.0000,23.67,6.50,120.0,1.9120,0.000,1.9120,7.330,0.000,0.000,0.0
01-01 02:45,0.0000,23.67,6.50,120.0,1.9116,0.000,1.9116,7.329,0.000,0.000,0.0
01-01 03:15,0.0000,23.67,7.10,130.0,1.9114,0.000,1.9114,7.328,0.000,0.000,0.0
01-01 03:45,0.0000,23.67,7.10,130.0,1.9112,0.000,1.9112,7.327,0.000,0.000,0.0
01-01 04:15,0.0000,23.67,8.10,130.0,1.9111,0.000,1.9111,7.327,0.000,0.000,0.0
01-01 04:45,0.0000,23.67,8.10,130.0,1.9108,0.000,1.9108,7.326,0.000,0.000,0.0
01-01 05:15,0.0000,23.67,9.10,130.0,1.9134,0.000,1.9134,7.336,0.000,0.000,0.0
01-01 05:45,0.0000,23.67,9.10,130.0,1.9192,0.000,1.9192,7.358,0.000,0.000,0.0
01-01 06:15,0.0000,23.67,9.60,130.0,1.9256,0.000,1.9256,7.382,0.000,0.000,0.0
01-01 06:45,0.0000,23.67,9.60,130.0,1.9319,0.000,1.9319,7.407,0.000,0.000,0.0
01-01 07:15,0.0000,23.67,10.60,120.0,1.9368,0.000,1.9368,7.425,0.000,0.000,0.0
01-01 07:45,0.0000,23.67,10.60,120.0,1.9402,0.000,1.9402,7.439,0.000,0.000,0.0
01-01 08:15,0.0000,23.67,10.60,130.0,1.9416,0.000,1.9416,7.444,5.000,5.000,2.0
01-01 08:45,0.0000,23.67,10.60,130.0,1.9306,0.000,1.9306,7.402,5.000,5.000,2.0
01-01 09:15,0.0000,23.67,11.10,130.0,1.7657,0.000,1.7657,6.770,12.000,12.000,7.0
01-01 09:45,0.0000,23.67,11.10,130.0,1.7684,0.000,1.7684,6.780,12.000,12.000,7.0
01-01 10:15,0.0000,23.67,11.60,130.0,1.7845,0.000,1.7845,6.841,14.000,14.000,10.3
01-01 10:45,0.0000,23.67,11.60,130.0,1.8079,0.000,1.8079,6.931,14.000,14.000,10.3
01-01 11:15,0.0000,23.67,11.60,140.0,1.8328,0.000,1.8328,7.027,16.000,16.000,11.7
01-01 11:45,0.0000,23.67,11.60,140.0,1.8588,0.000,1.8588,7.126,16.000,16.000,11.7
01-01 12:15,0.0000,23.67,11.60,130.0,1.8791,0.000,1.8791,7.204,16.000,16.000,11.0
01-01 12:45,0.0000,23.67,11.60,130.0,1.8933,0.000,1.8933,7.259,16.000,16.000,11.0
01-01 13:15,0.0000,23.67,12.10,120.0,1.9097,0.000,1.9097,7.322,14.000,14.000,8.2
01-01 13:45,0.0000,23.67,12.10,120.0,1.9288,0.000,1.9288,7.395,14.000,14.000,8.2
01-01 14:15,0.0000,23.67,12.10,120.0,1.9422,0.000,1.9422,7.446,12.000,12.000,3.7
01-01 14:45,0.0000,23.67,12.10,120.0,1.9495,0.000,1.9495,7.474,12.000,12.000,3.7
01-01 15:15,0.0000,23.67,11.60,120.0,1.9592,0.000,1.9592,7.511,0.000,0.000,0.0
01-01 15:45,0.0000,23.67,11.60,120.0,1.9725,0.000,1.9725,7.562,0.000,0.000,0.0
01-01 16:15,0.0000,23.67,12.10,120.0,1.9785,0.000,1.9785,7.585,0.000,0.000,0.0
01-01 16:45,0.0000,23.67,12.10,120.0,1.9758,0.000,1.9758,7.575,0.000,0.000,0.0
01-01 17:15,0.0000,23.67,12.10,110.0,1.9733,0.000,1.9733,7.565,0.000,0.000,0.0
01-01 17:45,0.0000,23.67,12.10,110.0,1.9713,0.000,1.9713,7.558,0.000,0.000,0.0
01-01 18:15,0.0000,23.67,11.60,120.0,1.8236,0.000,1.8236,6.992,0.000,0.000,0.0
01-01 18:45,0.0000,23.67,11.60,120.0,1.8169,0.000,1.8169,6.966,0.000,0.000,0.0
01-01 19:15,0.0000,23.67,11.60,110.0,1.8098,0.000,1.8098,6.939,0.000,0.000,0.0
01-01 19:45,0.0000,23.67,11.60,110.0,1.8039,0.000,1.8039,6.916,0.000,0.000,0.0
01-01 20:15,0.0000,23.67,11.10,110.0,1.7996,0.000,1.7996,6.899,0.000,0.000,0.0
01-01 20:45,0.0000,23.67,11.10,110.0,1.8006,0.000,1.8006,6.903,0.000,0.000,0.0
01-01 21:15,0.0000,23.67,10.60,110.0,1.8053,0.000,1.8053,6.921,0.000,0.000,0.0
01-01 21:45,0.0000,23.67,10.60,110.0,1.8121,0.000,1.8121,6.947,0.000,0.000,0.0
01-01 22:15,0.0000,23.67,10.10,100.0,2.0365,0.000,2.0365,7.808,0.000,0.000,0.0
01-01 22:45,0.0000,23.67,10.10,100.0,2.0194,0.000,2.0194,7.742,0.000,0.000,0.0
01-01 23:15,0.0000,23.67,9.10,100.0,2.0416,0.000,2.0416,7.827,0.000,0.000,0.0
01-01 23:45,0.0000,23.67,9.10,100.0,2.0261,0.000,2.0261,7.768,0.000,0.000,0.0
01-02 00:15,0.0000,23.58,7.60,90.0,2.0462,0.000,2.0462,7.845,0.000,0.000,0.0
01-02 00:45,0.0000,23.58,7.60,90.0,2.0419,0.000,2.0419,7.828,0.000,0.000,0.0
01-02 01:15,0.0000,23.58,7.60,80.0,2.0379,0.000,2.0379,7.813,0.000,0.000,0.0
01-02 01:45,0.0000,23.58,7.60,80.0,2.0345,0.000,2.0345,7.800,0.000,0.000,0.0
01-02 02:15,0.0000,23.58,7.10,80.0,2.0299,0.000,2.0299,7.782,0.000,0.000,0.0
01-02 02:45,0.0000,23.58,7.10,80.0,2.0237,0.000,2.0237,7.759,0.000,0.000,0.0
01-02 03:15,0.0000,23.58,8.10,80.0,2.0173,0.000,2.0173,7.734,0.000,0.000,0.0
01-02 03:45,0.0000,23.58,8.10,80.0,2.0111,0.000,2.0111,7.710,0.000,0.000,0.0
01-02 04:15,0.0000,23.58,9.60,80.0,2.0119,0.000,2.0119,7.713,0.000,0.000,0.0
01-02 04:45,0.0000,23.58,9.60,80.0,2.0200,0.000,2.0200,7.745,0.000,0.000,0.0
01-02 05:15,0.0000,23.58,10.10,80.0,2.0232,0.000,2.0232,7.757,0.000,0.000,0.0
01-02 05:45,0.0000,23.58,10.10,80.0,2.0209,0.000,2.0209,7.748,0.000,0.000,0.0
01-02 06:15,0.0000,23.58,9.60,80.0,2.0223,0.000,2.0223,7.753,0.000,0.000,0.0
01-02 06:45,0.0000,23.58,9.60,80.0,2.0279,0.000,2.0279,7.775,0.000,0.000,0.0
01-02 07:15,0.0000,23.58,9.60,70.0,2.0365,0.000,2.0365,7.808,0.000,0.000,0.0
01-02 07:45,0.0000,23.58,9.60,70.0,2.0483,0.000,2.0483,7.853,0.000,0.000,0.0
01-02 08:15,0.0000,23.58,9.10,80.0,2.0558,0.000,2.0558,7.882,2.000,2.000,2.0
01-02 08:45,0.0000,23.58,9.10,80.0,2.0481,0.000,2.0481,7.852,2.000,2.000,2.0
01-02 09:15,0.0000,23.58,8.10,70.0,1.8704,16.339,1.8704,7.171,37.000,39.000,7.0
01-02 09:45,0.0000,23.58,8.10,70.0,1.8451,16.339,1.8451,7.074,37.000,39.000,7.0
01-02 10:15,0.0000,23.58,8.10,70.0,1.8354,11.106,1.8354,7.037,50.000,52.000,10.4
01-02 10:45,0.0000,23.58,8.10,70.0,1.8376,11.106,1.8376,7.045,50.000,52.000,10.4
01-02 11:15,0.0000,23.58,7.60,70.0,1.8281,98.174,1.8281,7.009,88.000,108.000,11.8
01-02 11:45,0.0000,23.58,7.60,70.0,1.7968,98.174,1.7968,6.889,88.000,108.000,11.8
01-02 12:15,0.0000,23.58,7.10,60.0,1.7889,15.647,1.7889,6.858,59.000,62.000,11.1
01-02 12:45,0.0000,23.58,7.10,60.0,1.8304,15.647,1.8304,7.017,59.000,62.000,11.1
01-02 13:15,0.0000,23.58,6.50,60.0,1.8567,96.607,1.8567,7.118,62.000,76.000,8.3
01-02 13:45,0.0000,23.58,6.50,60.0,1.8389,96.607,1.8389,7.050,62.000,76.000,8.3
01-02 14:15,0.0000,23.58,6.00,50.0,1.8303,15.043,1.8303,7.017,22.000,23.000,3.8
01-02 14:45,0.0000,23.58,6.00,50.0,1.8601,15.043,1.8601,7.131,22.000,23.000,3.8
01-02 15:15,0.0000,23.58,6.00,50.0,1.9012,0.000,1.9012,7.289,0.000,0.000,0.0
01-02 15:45,0.0000,23.58,6.00,50.0,1.9435,0.000,1.9435,7.451,0.000,0.000,0.0
01-02 16:15,0.0000,23.58,6.00,50.0,1.9669,0.000,1.9669,7.541,0.000,0.000,0.0
01-02 16:45,0.0000,23.58,6.00,50.0,1.9766,0.000,1.9766,7.578,0.000,0.000,0.0
01-02 17:15,0.0000,23.58,6.00,50.0,1.9859,0.000,1.9859,7.614,0.000,0.000,0.0
01-02 17:45,0.0000,23.58,6.00,50.0,1.9959,0.000,1.9959,7.652,0.000,0.000,0.0
01-02 18:15,0.0000,23.58,5.50,40.0,1.8584,0.000,1.8584,7.125,0.000,0.000,0.0
01-02 18:45,0.0000,23.58,5.50,40.0,1.8603,0.000,1.8603,7.132,0.000,0.000,0.0
01-02 19:15,0.0000,23.58,4.00,30.0,1.8708,0.000,1.8708,7.173,0.000,0.000,0.0
01-02 19:45,0.0000,23.58,4.00,30.0,1.8908,0.000,1.8908,7.249,0.000,0.000,0.0
01-02 20:15,0.0000,23.58,3.50,30.0,1.9055,0.000,1.9055,7.305,0.000,0.000,0.0
01-02 20:45,0.0000,23.58,3.50,30.0,1.9197,0.000,1.9197,7.360,0.000,0.000,0.0
01-02 21:15,0.0000,23.58,2.50,320.0,1.9421,0.000,1.9421,7.446,0.000,0.000,0.0
01-02 21:45,0.0000,23.58,2.50,320.0,1.9697,0.000,1.9697,7.551,0.000,0.000,0.0
01-02 22:15,0.0000,23.58,3.50,10.0,2.2081,0.000,2.2081,8.465,0.000,0.000,0.0
01-02 22:45,0.0000,23.58,3.50,10.0,2.2001,0.000,2.2001,8.435,0.000,0.000,0.0
01-02 23:15,0.0000,23.58,3.00,310.0,2.2437,0.000,2.2437,8.602,0.000,0.000,0.0
01-02 23:45,0.0000,23.58,3.00,310.0,2.2603,0.000,2.2603,8.666,0.000,0.000,0.0
01-03 00:15,0.0000,23.46,3.00,310.0,2.2983,0.000,2.2983,8.811,0.000,0.000,0.0
01-03 00:45,0.0000,23.46,3.00,310.0,2.2995,0.000,2.2995,8.816,0.000,0.000,0.0
01-03 01:15,0.0000,23.46,3.50,300.0,2.3102,0.000,2.3102,8.857,0.000,0.000,0.0
01-03 01:45,0.0000,23.46,3.50,300.0,2.3305,0.000,2.3305,8.935,0.000,0.000,0.0
01-03 02:15,0.0000,23.46,4.50,290.0,2.3453,0.000,2.3453,8.992,0.000,0.000,0.0
01-03 02:45,0.0000,23.46,4.50,290.0,2.3540,0.000,2.3540,9.025,0.000,0.000,0.0
01-03 03:15,0.0000,23.46,4.50,290.0,2.3625,0.000,2.3625,9.057,0.000,0.000,0.0
01-03 03:45,0.0000,23.46,4.50,290.0,2.3704,0.000,2.3704,9.088,0.000,0.000,0.0
01-03 04:15,0.0000,23.46,4.50,280.0,2.3808,0.000,2.3808,9.128,0.000,0.000,0.0
01-03 04:45,0.0000,23.46,4.50,280.0,2.3941,0.000,2.3941,9.179,0.000,0.000,0.0
01-03 05:15,0.0000,23.46,5.00,280.0,2.4033,0.000,2.4033,9.214,0.000,0.000,0.0
01-03 05:45,0.0000,23.46,5.00,280.0,2.4080,0.000,2.4080,9.232,0.000,0.000,0.0
01-03 06:15,0.0000,23.46,4.50,280.0,2.4138,0.000,2.4138,9.254,0.000,0.000,0.0
01-03 06:45,0.0000,23.46,4.50,280.0,2.4214,0.000,2.4214,9.283,0.000,0.000,0.0
01-03 07:15,0.0000,23.46,4.00,280.0,2.4349,0.000,2.4349,9.335,0.000,0.000,0.0
01-03 07:45,0.0000,23.46,4.00,280.0,2.4540,0.000,2.4540,9.408,0.000,0.000,0.0
01-03 08:15,0.0000,23.46,4.00,270.0,2.4593,28.342,2.4593,9.428,16.000,17.000,2.0
01-03 08:45,0.0000,23.46,4.00,270.0,2.4387,28.342,2.4387,9.350,16.000,17.000,2.0
01-03 09:15,0.0000,23.46,4.00,270.0,2.2591,170.308,2.2591,8.661,54.000,75.000,7.1
01-03 09:45,0.0000,23.46,4.00,270.0,2.2405,170.308,2.2405,8.590,54.000,75.000,7.1
01-03 10:15,0.0000,23.46,3.50,260.0,2.2143,148.965,2.2143,8.489,80.000,107.000,10.4
01-03 10:45,0.0000,23.46,3.50,260.0,2.1725,148.965,2.1725,8.329,80.000,107.000,10.4
01-03 11:15,0.0000,23.46,4.00,270.0,2.1167,160.843,2.1167,8.115,90.000,123.000,11.8
01-03 11:45,0.0000,23.46,4.00,270.0,2.0534,160.843,2.0534,7.872,90.000,123.000,11.8
01-03 12:15,0.0000,23.46,4.00,270.0,2.0090,155.093,2.0090,7.702,85.000,115.000,11.2
01-03 12:45,0.0000,23.46,4.00,270.0,1.9880,155.093,1.9880,7.622,85.000,115.000,11.2
01-03 13:15,0.0000,23.46,4.00,250.0,1.9881,108.964,1.9881,7.622,63.000,79.000,8.4
01-03 13:45,0.0000,23.46,4.00,250.0,2.0125,108.964,2.0125,7.716,63.000,79.000,8.4
01-03 14:15,0.0000,23.46,2.50,260.0,2.0391,291.702,2.0391,7.818,28.000,48.000,3.9
01-03 14:45,0.0000,23.46,2.50,260.0,2.0574,291.702,2.0574,7.888,28.000,48.000,3.9
01-03 15:15,0.0000,23.46,2.50,250.0,2.1073,0.000,2.1073,8.079,0.000,0.000,0.0
01-03 15:45,0.0000,23.46,2.50,250.0,2.2042,0.000,2.2042,8.451,0.000,0.000,0.0
01-03 16:15,0.0000,23.46,2.50,230.0,2.2689,0.000,2.2689,8.699,0.000,0.000,0.0
01-03 16:45,0.0000,23.46,2.50,230.0,2.2972,0.000,2.2972,8.807,0.000,0.000,0.0
01-03 17:15,0.0000,23.46,2.50,230.0,2.3205,0.000,2.3205,8.897,0.000,0.000,0.0
01-03 17:45,0.0000,23.46,2.50,230.0,2.3453,0.000,2.3453,8.991,0.000,0.000,0.0
01-03 18:15,0.0000,23.46,3.50,230.0,2.2086,0.000,2.2086,8.468,0.000,0.000,0.0
01-03 18:45,0.0000,23.46,3.50,230.0,2.1984,0.000,2.1984,8.428,0.000,0.000,0.0
01-03 19:15,0.0000,23.46,3.50,220.0,2.1848,0.000,2.1848,8.376,0.000,0.000,0.0
01-03 19:45,0.0000,23.46,3.50,220.0,2.1689,0.000,2.1689,8.315,0.000,0.000,0.0
01-03 20:15,0.0000,23.46,3.50,210.0,2.1727,0.000,2.1727,8.330,0.000,0.000,0.0
01-03 20:45,0.0000,23.46,3.50,210.0,2.2006,0.000,2.2006,8.437,0.000,0.000,0.0
01-03 21:15,0.0000,23.46,4.00,210.0,2.2220,0.000,2.2220,8.519,0.000,0.000,0.0
01-03 21:45,0.0000,23.46,4.00,210.0,2.2348,0.000,2.2348,8.568,0.000,0.000,0.0
01-03 22:15,0.0000,23.46,4.50,190.0,2.4604,0.000,2.4604,9.433,0.000,0.000,0.0
01-03 22:45,0.0000,23.46,4.50,190.0,2.4395,0.000,2.4395,9.353,0.000,0.000,0.0
01-03 23:15,0.0000,23.46,5.00,190.0,2.4602,0.000,2.4602,9.432,0.000,0.000,0.0
01-03 23:45,0.0000,23.46,5.00,190.0,2.4462,0.000,2.4462,9.378,0.000,0.000,0.0
01-04 00:15,0.0000,23.16,7.60,180.0,2.4605,0.000,2.4605,9.433,0.000,0.000,0.0
01-04 00:45,0.0000,23.16,7.60,180.0,2.4447,0.000,2.4447,9.373,0.000,0.000,0.0
01-04 01:15,0.0000,23.16,7.10,190.0,2.4395,0.000,2.4395,9.353,0.000,0.000,0.0
01-04 01:45,0.0000,23.16,7.10,190.0,2.4442,0.000,2.4442,9.371,0.000,0.000,0.0
01-04 02:15,0.0000,23.16,6.50,200.0,2.4482,0.000,2.4482,9.386,0.000,0.000,0.0
01-04 02:45,0.0000,23.16,6.50,200.0,2.4511,0.000,2.4511,9.397,0.000,0.000,0.0
01-04 03:15,0.0000,23.16,6.50,190.0,2.4413,0.000,2.4413,9.360,0.000,0.000,0.0
01-04 03:45,0.0000,23.16,6.50,190.0,2.4185,0.000,2.4185,9.272,0.000,0.000,0.0
01-04 04:15,0.0000,23.16,4.50,170.0,2.3673,0.000,2.3673,9.076,0.000,0.000,0.0
01-04 04:45,0.0000,23.16,4.50,170.0,2.2869,0.000,2.2869,8.768,0.000,0.000,0.0
01-04 05:15,0.0000,23.16,8.10,240.0,2.2324,0.000,2.2324,8.559,0.000,0.000,0.0
01-04 05:45,0.0000,23.16,8.10,240.0,2.2066,0.000,2.2066,8.460,0.000,0.000,0.0
01-04 06:15,0.0000,23.16,4.00,190.0,2.2005,0.000,2.2005,8.436,0.000,0.000,0.0
01-04 06:45,0.0000,23.16,4.00,190.0,2.2130,0.000,2.2130,8.484,0.000,0.000,0.0
01-04 07:15,0.0000,23.16,4.50,170.0,2.1971,0.000,2.1971,8.423,0.000,0.000,0.0
01-04 07:45,0.0000,23.16,4.50,170.0,2.1521,0.000,2.1521,8.251,0.000,0.000,0.0
01-04 08:15,0.0000,23.16,4.00,190.0,2.1201,0.000,2.1201,8.128,4.000,4.000,2.1
01-04 08:45,0.0000,23.16,4.00,190.0,2.0909,0.000,2.0909,8.016,4.000,4.000,2.1
01-04 09:15,0.0000,23.16,4.50,180.0,1.8779,32.172,1.8779,7.200,38.000,42.000,7.1
01-04 09:45,0.0000,23.16,4.50,180.0,1.8004,32.172,1.8004,6.902,38.000,42.000,7.1
01-04 10:15,0.0000,23.16,7.60,240.0,1.7401,43.823,1.7401,6.671,57.000,65.000,10.5
01-04 10:45,0.0000,23.16,7.60,240.0,1.6938,43.823,1.6938,6.494,57.000,65.000,10.5
01-04 11:15,0.0000,23.16,7.10,230.0,1.6562,43.532,1.6562,6.350,71.000,80.000,11.9
01-04 11:45,0.0000,23.16,7.10,230.0,1.6290,43.532,1.6290,6.245,71.000,80.000,11.9
01-04 12:15,0.0000,23.16,3.50,210.0,1.6062,40.971,1.6062,6.158,47.000,55.000,11.3
01-04 12:45,0.0000,23.16,3.50,210.0,1.5904,40.971,1.5904,6.097,47.000,55.000,11.3
01-04 13:15,0.0000,23.16,4.50,230.0,1.5874,26.867,1.5874,6.086,23.000,27.000,8.6
01-04 13:45,0.0000,23.16,4.50,230.0,1.5988,26.867,1.5988,6.129,23.000,27.000,8.6
01-04 14:15,0.0000,23.16,4.00,190.0,1.6121,56.526,1.6121,6.180,23.000,27.000,4.1
01-04 14:45,0.0000,23.16,4.00,190.0,1.6222,56.526,1.6222,6.219,23.000,27.000,4.1
01-04 15:15,0.0000,23.16,5.00,280.0,1.6506,0.000,1.6506,6.328,0.000,0.000,0.0
01-04 15:45,0.0000,23.16,5.00,280.0,1.7019,0.000,1.7019,6.525,0.000,0.000,0.0
01-04 16:15,0.0000,23.16,7.60,290.0,1.7464,0.000,1.7464,6.696,0.000,0.000,0.0
01-04 16:45,0.0000,23.16,7.60,290.0,1.7820,0.000,1.7820,6.832,0.000,0.000,0.0
01-04 17:15,0.0000,23.16,3.00,280.0,1.8092,0.000,1.8092,6.936,0.000,0.000,0.0
01-04 17:45,0.0000,23.16,3.00,280.0,1.8286,0.000,1.8286,7.011,0.000,0.000,0.0
01-04 18:15,0.0000,23.16,5.50,270.0,1.7097,0.000,1.7097,6.555,0.000,0.000,0.0
01-04 18:45,0.0000,23.16,5.50,270.0,1.7414,0.000,1.7414,6.676,0.000,0.000,0.0
01-04 19:15,0.0000,23.16,6.00,280.0,1.7608,0.000,1.7608,6.750,0.000,0.000,0.0
01-04 19:45,0.0000,23.16,6.00,280.0,1.7683,0.000,1.7683,6.779,0.000,0.000,0.0
01-04 20:15,0.0000,23.16,4.50,280.0,1.7838,0.000,1.7838,6.839,0.000,0.000,0.0
01-04 20:45,0.0000,23.16,4.50,280.0,1.8108,0.000,1.8108,6.943,0.000,0.000,0.0
01-04 21:15,0.0000,23.16,6.50,280.0,1.8278,0.000,1.8278,7.008,0.000,0.000,0.0
01-04 21:45,0.0000,23.16,6.50,280.0,1.8332,0.000,1.8332,7.028,0.000,0.000,0.0
01-04 22:15,0.0000,23.16,7.60,280.0,2.0609,0.000,2.0609,7.901,0.000,0.000,0.0
01-04 22:45,0.0000,23.16,7.60,280.0,2.0515,0.000,2.0515,7.865,0.000,0.000,0.0
01-04 23:15,0.0000,23.16,7.10,270.0,2.0857,0.000,2.0857,7.996,0.000,0.000,0.0
01-04 23:45,0.0000,23.16,7.10,270.0,2.0867,0.000,2.0867,8.000,0.000,0.000,0.0
01-05 00:15,0.0000,23.26,5.50,260.0,2.1365,0.000,2.1365,8.191,0.000,0.000,0.0
01-05 00:45,0.0000,23.26,5.50,260.0,2.1769,0.000,2.1769,8.346,0.000,0.000,0.0
01-05 01:15,0.0000,23.26,6.00,260.0,2.1992,0.000,2.1992,8.432,0.000,0.000,0.0
01-05 01:45,0.0000,23.26,6.00,260.0,2.2023,0.000,2.2023,8.443,0.000,0.000,0.0
01-05 02:15,0.0000,23.26,6.50,250.0,2.2063,0.000,2.2063,8.459,0.000,0.000,0.0
01-05 02:45,0.0000,23.26,6.50,250.0,2.2114,0.000,2.2114,8.478,0.000,0.000,0.0
01-05 03:15,0.0000,23.26,6.50,250.0,2.2135,0.000,2.2135,8.486,0.000,0.000,0.0
01-05 03:45,0.0000,23.26,6.50,250.0,2.2122,0.000,2.2122,8.481,0.000,0.000,0.0
01-05 04:15,0.0000,23.26,7.10,250.0,2.2105,0.000,2.2105,8.475,0.000,0.000,0.0
01-05 04:45,0.0000,23.26,7.10,250.0,2.2088,0.000,2.2088,8.468,0.000,0.000,0.0
01-05 05:15,0.0000,23.26,7.60,260.0,2.2031,0.000,2.2031,8.446,0.000,0.000,0.0
01-05 05:45,0.0000,23.26,7.60,260.0,2.1932,0.000,2.1932,8.408,0.000,0.000,0.0
01-05 06:15,0.0000,23.26,7.60,260.0,2.1884,0.000,2.1884,8.390,0.000,0.000,0.0
01-05 06:45,0.0000,23.26,7.60,260.0,2.1885,0.000,2.1885,8.391,0.000,0.000,0.0
01-05 07:15,0.0000,23.26,8.60,260.0,2.1929,0.000,2.1929,8.407,0.000,0.000,0.0
01-05 07:45,0.0000,23.26,8.60,260.0,2.2019,0.000,2.2019,8.442,0.000,0.000,0.0
01-05 08:15,0.0000,23.26,7.60,260.0,2.2037,135.343,2.2037,8.449,9.000,14.000,2.1
01-05 08:45,0.0000,23.26,7.60,260.0,2.1863,135.343,2.1863,8.382,9.000,14.000,2.1
01-05 09:15,0.0000,23.26,9.60,260.0,2.0083,270.942,2.0083,7.700,31.000,65.000,7.2
01-05 09:45,0.0000,23.26,9.60,260.0,1.9908,270.942,1.9908,7.633,31.000,65.000,7.2
01-05 10:15,0.0000,23.26,11.60,270.0,1.9535,266.325,1.9535,7.489,78.000,127.000,10.6
01-05 10:45,0.0000,23.26,11.60,270.0,1.8826,266.325,1.8826,7.218,78.000,127.000,10.6
01-05 11:15,0.0000,23.26,11.60,280.0,1.8095,393.381,1.8095,6.937,82.000,164.000,12.0
01-05 11:45,0.0000,23.26,11.60,280.0,1.7384,393.381,1.7384,6.665,82.000,164.000,12.0
01-05 12:15,0.0000,23.26,10.60,280.0,1.6753,147.050,1.6753,6.423,87.000,116.000,11.4
01-05 12:45,0.0000,23.26,10.60,280.0,1.6599,147.050,1.6599,6.364,87.000,116.000,11.4
01-05 13:15,0.0000,23.26,10.60,270.0,1.6593,397.251,1.6593,6.361,30.000,90.000,8.7
01-05 13:45,0.0000,23.26,10.60,270.0,1.6121,397.251,1.6121,6.180,30.000,90.000,8.7
01-05 14:15,0.0000,23.26,9.60,270.0,1.5909,164.212,1.5909,6.099,28.000,40.000,4.2
01-05 14:45,0.0000,23.26,9.60,270.0,1.6635,164.212,1.6635,6.378,28.000,40.000,4.2
01-05 15:15,0.0000,23.26,10.10,270.0,1.7447,0.000,1.7447,6.689,0.000,0.000,0.0
01-05 15:45,0.0000,23.26,10.10,270.0,1.8116,0.000,1.8116,6.945,0.000,0.000,0.0
01-05 16:15,0.0000,23.26,11.60,280.0,1.8536,0.000,1.8536,7.107,0.000,0.000,0.0
01-05 16:45,0.0000,23.26,11.60,280.0,1.8817,0.000,1.8817,7.214,0.000,0.000,0.0
01-05 17:15,0.0000,23.26,9.60,290.0,1.8963,0.000,1.8963,7.270,0.000,0.000,0.0
01-05 17:45,0.0000,23.26,9.60,290.0,1.9008,0.000,1.9008,7.287,0.000,0.000,0.0
01-05 18:15,0.0000,23.26,9.10,300.0,1.7651,0.000,1.7651,6.767,0.000,0.000,0.0
01-05 18:45,0.0000,23.26,9.10,300.0,1.7771,0.000,1.7771,6.813,0.000,0.000,0.0
01-05 19:15,0.0000,23.26,8.60,300.0,1.7875,0.000,1.7875,6.853,0.000,0.000,0.0
01-05 19:45,0.0000,23.26,8.60,300.0,1.7976,0.000,1.7976,6.892,0.000,0.000,0.0
01-05 20:15,0.0000,23.26,7.60,290.0,1.8091,0.000,1.8091,6.936,0.000,0.000,0.0
01-05 20:45,0.0000,23.26,7.60,290.0,1.8259,0.000,1.8259,7.000,0.000,0.000,0.0
01-05 21:15,0.0000,23.26,9.10,290.0,1.8436,0.000,1.8436,7.068,0.000,0.000,0.0
01-05 21:45,0.0000,23.26,9.10,290.0,1.8604,0.000,1.8604,7.133,0.000,0.000,0.0
01-05 22:15,0.0000,23.26,7.60,290.0,2.0889,0.000,2.0889,8.008,0.000,0.000,0.0
01-05 22:45,0.0000,23.26,7.60,290.0,2.0694,0.000,2.0694,7.934,0.000,0.000,0.0
01-05 23:15,0.0000,23.26,7.10,290.0,2.0940,0.000,2.0940,8.028,0.000,0.000,0.0
01-05 23:45,0.0000,23.26,7.10,290.0,2.0862,0.000,2.0862,7.998,0.000,0.000,0.0
01-06 00:15,0.0000,23.22,6.50,300.0,2.1168,0.000,2.1168,8.116,0.000,0.000,0.0
01-06 00:45,0.0000,23.22,6.50,300.0,2.1278,0.000,2.1278,8.158,0.000,0.000,0.0
01-06 01:15,0.0000,23.22,7.10,300.0,2.1325,0.000,2.1325,8.176,0.000,0.000,0.0
01-06 01:45,0.0000,23.22,7.10,300.0,2.1299,0.000,2.1299,8.166,0.000,0.000,0.0
01-06 02:15,0.0000,23.22,7.60,310.0,2.1390,0.000,2.1390,8.201,0.000,0.000,0.0
01-06 02:45,0.0000,23.22,7.60,310.0,2.1604,0.000,2.1604,8.283,0.000,0.000,0.0
01-06 03:15,0.0000,23.22,7.60,300.0,2.1732,0.000,2.1732,8.332,0.000,0.000,0.0
01-06 03:45,0.0000,23.22,7.60,300.0,2.1759,0.000,2.1759,8.342,0.000,0.000,0.0
01-06 04:15,0.0000,23.22,10.60,310.0,2.1720,0.000,2.1720,8.327,0.000,0.000,0.0
01-06 04:45,0.0000,23.22,10.60,310.0,2.1617,0.000,2.1617,8.288,0.000,0.000,0.0
01-06 05:15,0.0000,23.22,10.60,310.0,2.1607,0.000,2.1607,8.284,0.000,0.000,0.0
