		System grid displaced elec. PV (kBtu/h)	Total grid disp. elec. PV CE (kgCO2/h)	Total CE (kgCO2/h)	Electricity (mu)	Gas (mu)	Renewables (mu)	Total nat. gas (kBtu/h)	Total electricity (kBtu/h)	Total grid displaced elec. PV (kBtu/h)	Total energy (kBtu/h)	Transformer Losses (kBtu/h)
												
Date	Time	18 Havelock-test-Newcastle.aps	18 Havelock-test-Newcastle.aps	18 Havelock-test-Newcastle.aps	18 Havelock-test-Newcastle.aps	18 Havelock-test-Newcastle.aps	18 Havelock-test-Newcastle.aps	18 Havelock-test-Newcastle.aps	18 Havelock-test-Newcastle.aps	18 Havelock-test-Newcastle.aps	18 Havelock-test-Newcastle.aps	18 Havelock-test-Newcastle.aps
Sun, 01/Jan	00:15	0.000	0.0	0.6	0.06	0.03	0.00	7.325	3.048	0.000	10.372	0.000
	00:45	0.000	0.0	0.6	0.06	0.03	0.00	7.330	3.048	0.000	10.378	0.000
	01:15	0.000	0.0	0.6	0.06	0.03	0.00	7.333	3.048	0.000	10.380	0.000
	01:45	0.000	0.0	0.6	0.06	0.03	0.00	7.331	3.048	0.000	10.379	0.000
	02:15	0.000	0.0	0.6	0.06	0.03	0.00	7.330	3.048	0.000	10.378	0.000
	02:45	0.000	0.0	0.6	0.06	0.03	0.00	7.329	3.048	0.000	10.377	0.000
	03:15	0.000	0.0	0.6	0.06	0.03	0.00	7.328	3.048	0.000	10.375	0.000
	03:45	0.000	0.0	0.6	0.06	0.03	0.00	7.327	3.048	0.000	10.375	0.000
	04:15	0.000	0.0	0.6	0.06	0.03	0.00	7.327	3.048	0.000	10.375	0.000
	04:45	0.000	0.0	0.6	0.06	0.03	0.00	7.326	3.048	0.000	10.373	0.000
	05:15	0.000	0.0	0.6	0.06	0.03	0.00	7.336	3.048	0.000	10.383	0.000
	05:45	0.000	0.0	0.6	0.06	0.03	0.00	7.358	3.048	0.000	10.406	0.000
	06:15	0.000	0.0	0.6	0.06	0.03	0.00	7.382	3.048	0.000	10.430	0.000
	06:45	0.000	0.0	0.6	0.06	0.03	0.00	7.407	3.048	0.000	10.454	0.000
	07:15	0.000	0.0	0.6	0.06	0.03	0.00	7.425	3.048	0.000	10.473	0.000
	07:45	0.000	0.0	0.6	0.06	0.03	0.00	7.439	3.048	0.000	10.486	0.000
	08:15	-0.001	-0.0	0.7	0.06	0.03	0.00	7.444	5.068	-0.001	12.511	0.000
	08:45	-0.002	-0.0	0.7	0.06	0.03	0.00	7.402	5.068	-0.002	12.468	0.000
	09:15	-0.003	-0.0	0.6	0.06	0.03	0.00	6.770	4.267	-0.003	11.034	0.000
	09:45	-0.004	-0.0	0.6	0.06	0.03	0.00	6.780	4.267	-0.004	11.043	0.000
	10:15	-0.005	-0.0	0.6	0.06	0.03	0.00	6.841	4.267	-0.005	11.104	0.000
	10:45	-0.005	-0.0	0.6	0.06	0.03	0.00	6.931	4.267	-0.005	11.193	0.000
	11:15	-0.006	-0.0	0.6	0.06	0.03	0.00	7.027	4.267	-0.006	11.288	0.000
	11:45	-0.006	-0.0	0.6	0.06	0.03	0.00	7.126	4.267	-0.006	11.388	0.000
	12:15	-0.007	-0.0	0.6	0.06	0.03	0.00	7.204	4.267	-0.007	11.465	0.000
	12:45	-0.007	-0.0	0.7	0.06	0.03	0.00	7.259	4.267	-0.007	11.520	0.000
	13:15	-0.006	-0.0	0.7	0.06	0.03	0.00	7.322	4.267	-0.006	11.583	0.000
	13:45	-0.006	-0.0	0.7	0.06	0.03	0.00	7.395	4.267	-0.006	11.656	0.000
	14:15	-0.006	-0.0	0.7	0.06	0.03	0.00	7.446	4.267	-0.006	11.708	0.000
	14:45	-0.005	-0.0	0.7	0.06	0.03	0.00	7.474	4.267	-0.005	11.736	0.000
	15:15	-0.004	-0.0	0.7	0.06	0.03	0.00	7.511	4.267	-0.004	11.775	0.000
	15:45	-0.001	-0.0	0.7	0.06	0.03	0.00	7.562	4.267	-0.001	11.828	0.000
	16:15	0.000	0.0	0.7	0.06	0.03	0.00	7.585	4.267	0.000	11.853	0.000
	16:45	0.000	0.0	0.7	0.06	0.03	0.00	7.575	4.267	0.000	11.843	0.000
	17:15	0.000	0.0	0.7	0.06	0.03	0.00	7.565	4.267	0.000	11.833	0.000
	17:45	0.000	0.0	0.7	0.06	0.03	0.00	7.558	4.267	0.000	11.825	0.000
	18:15	0.000	0.0	0.7	0.06	0.03	0.00	6.992	5.919	0.000	12.910	0.000
	18:45	0.000	0.0	0.7	0.06	0.03	0.00	6.966	5.919	0.000	12.885	0.000
	19:15	0.000	0.0	0.7	0.06	0.03	0.00	6.939	5.919	0.000	12.858	0.000
	19:45	0.000	0.0	0.7	0.06	0.03	0.00	6.916	5.919	0.000	12.835	0.000
	20:15	0.000	0.0	0.7	0.06	0.03	0.00	6.899	5.069	0.000	11.969	0.000
	20:45	0.000	0.0	0.7	0.06	0.03	0.00	6.903	5.069	0.000	11.972	0.000
	21:15	0.000	0.0	0.7	0.06	0.03	0.00	6.921	5.069	0.000	11.990	0.000
	21:45	0.000	0.0	0.7	0.06	0.03	0.00	6.947	5.069	0.000	12.017	0.000
	22:15	0.000	0.0	0.8	0.06	0.03	0.00	7.808	5.649	0.000	13.457	0.000
	22:45	0.000	0.0	0.7	0.06	0.03	0.00	7.742	5.649	0.000	13.392	0.000
	23:15	0.000	0.0	0.6	0.06	0.03	0.00	7.827	3.135	0.000	10.962	0.000
	23:45	0.000	0.0	0.6	0.06	0.03	0.00	7.768	3.135	0.000	10.902	0.000
Mon, 02/Jan	00:15	0.000	0.0	0.6	0.06	0.03	0.00	7.845	3.048	0.000	10.893	0.000
	00:45	0.000	0.0	0.6	0.06	0.03	0.00	7.828	3.048	0.000	10.876	0.000
	01:15	0.000	0.0	0.6	0.06	0.03	0.00	7.813	3.048	0.000	10.861	0.000
	01:45	0.000	0.0	0.6	0.06	0.03	0.00	7.800	3.048	0.000	10.848	0.000
	02:15	0.000	0.0	0.6	0.06	0.03	0.00	7.782	3.048	0.000	10.830	0.000
	02:45	0.000	0.0	0.6	0.06	0.03	0.00	7.759	3.048	0.000	10.806	0.000
	03:15	0.000	0.0	0.6	0.06	0.03	0.00	7.734	3.048	0.000	10.782	0.000
	03:45	0.000	0.0	0.6	0.06	0.03	0.00	7.710	3.048	0.000	10.758	0.000
	04:15	0.000	0.0	0.6	0.06	0.03	0.00	7.713	3.048	0.000	10.761	0.000
	04:45	0.000	0.0	0.6	0.06	0.03	0.00	7.745	3.048	0.000	10.792	0.000
	05:15	0.000	0.0	0.6	0.06	0.03	0.00	7.757	3.048	0.000	10.804	0.000
	05:45	0.000	0.0	0.6	0.06	0.03	0.00	7.748	3.048	0.000	10.795	0.000
	06:15	0.000	0.0	0.6	0.06	0.03	0.00	7.753	3.048	0.000	10.801	0.000
	06:45	0.000	0.0	0.6	0.06	0.03	0.00	7.775	3.048	0.000	10.822	0.000
	07:15	0.000	0.0	0.6	0.10	0.03	0.00	7.808	3.048	0.000	10.855	0.000
	07:45	0.000	0.0	0.6	0.10	0.03	0.00	7.853	3.048	0.000	10.900	0.000
	08:15	-0.000	-0.0	0.7	0.10	0.03	0.00	7.882	5.068	-0.000	12.949	0.000
	08:45	-0.001	-0.0	0.7	0.10	0.03	0.00	7.852	5.068	-0.001	12.919	0.000
	09:15	-0.005	-0.0	0.6	0.10	0.03	0.00	7.171	4.267	-0.005	11.433	0.000
	09:45	-0.014	-0.0	0.6	0.10	0.03	0.00	7.074	4.267	-0.014	11.327	0.000
	10:15	-0.020	-0.0	0.6	0.10	0.03	0.00	7.037	4.267	-0.020	11.284	0.000
	10:45	-0.023	-0.0	0.6	0.10	0.03	0.00	7.045	4.267	-0.023	11.290	0.000
	11:15	-0.035	-0.0	0.6	0.10	0.03	0.00	7.009	4.267	-0.035	11.241	0.000
	11:45	-0.058	-0.0	0.6	0.10	0.03	0.00	6.889	4.267	-0.058	11.098	0.000
	12:15	-0.059	-0.0	0.6	0.10	0.03	0.00	6.858	4.267	-0.059	11.067	0.000
	12:45	-0.039	-0.0	0.6	0.10	0.03	0.00	7.017	4.267	-0.039	11.246	0.000
	13:15	-0.036	-0.0	0.6	0.10	0.03	0.00	7.118	4.267	-0.036	11.350	0.000
	13:45	-0.048	-0.0	0.6	0.10	0.03	0.00	7.050	4.267	-0.048	11.270	0.000
	14:15	-0.042	-0.0	0.6	0.10	0.03	0.00	7.017	4.267	-0.042	11.243	0.000
	14:45	-0.021	-0.0	0.6	0.10	0.03	0.00	7.131	4.267	-0.021	11.378	0.000
	15:15	-0.009	-0.0	0.7	0.10	0.03	0.00	7.289	4.267	-0.009	11.548	0.000
	15:45	-0.003	-0.0	0.7	0.10	0.03	0.00	7.451	4.267	-0.003	11.716	0.000
	16:15	0.000	0.0	0.7	0.10	0.03	0.00	7.541	4.267	0.000	11.808	0.000
	16:45	0.000	0.0	0.7	0.10	0.03	0.00	7.578	4.267	0.000	11.845	0.000
	17:15	0.000	0.0	0.7	0.10	0.03	0.00	7.614	4.267	0.000	11.881	0.000
	17:45	0.000	0.0	0.7	0.10	0.03	0.00	7.652	4.267	0.000	11.919	0.000
	18:15	0.000	0.0	0.7	0.10	0.03	0.00	7.125	5.919	0.000	13.044	0.000
	18:45	0.000	0.0	0.7	0.10	0.03	0.00	7.132	5.919	0.000	13.051	0.000
	19:15	0.000	0.0	0.7	0.10	0.03	0.00	7.173	5.919	0.000	13.091	0.000
	19:45	0.000	0.0	0.7	0.10	0.03	0.00	7.249	5.919	0.000	13.168	0.000
	20:15	0.000	0.0	0.7	0.10	0.03	0.00	7.305	5.069	0.000	12.375	0.000
	20:45	0.000	0.0	0.7	0.10	0.03	0.00	7.360	5.069	0.000	12.429	0.000
	21:15	0.000	0.0	0.7	0.10	0.03	0.00	7.446	5.069	0.000	12.515	0.000
	21:45	0.000	0.0	0.7	0.10	0.03	0.00	7.551	5.069	0.000	12.621	0.000
	22:15	0.000	0.0	0.8	0.10	0.03	0.00	8.465	5.649	0.000	14.115	0.000
	22:45	0.000	0.0	0.8	0.10	0.03	0.00	8.435	5.649	0.000	14.084	0.000
	23:15	0.000	0.0	0.7	0.06	0.03	0.00	8.602	3.135	0.000	11.736	0.000
	23:45	0.000	0.0	0.7	0.06	0.03	0.00	8.666	3.135	0.000	11.800	0.000
Tue, 03/Jan	00:15	0.000	0.0	0.7	0.06	0.03	0.00	8.811	3.048	0.000	11.859	0.000
	00:45	0.000	0.0	0.7	0.06	0.03	0.00	8.816	3.048	0.000	11.864	0.000
	01:15	0.000	0.0	0.7	0.06	0.03	0.00	8.857	3.048	0.000	11.905	0.000
	01:45	0.000	0.0	0.7	0.06	0.03	0.00	8.935	3.048	0.000	11.982	0.000
	02:15	0.000	0.0	0.7	0.06	0.03	0.00	8.992	3.048	0.000	12.039	0.000
	02:45	0.000	0.0	0.7	0.06	0.03	0.00	9.025	3.048	0.000	12.073	0.000
	03:15	0.000	0.0	0.7	0.06	0.03	0.00	9.057	3.048	0.000	12.105	0.000
	03:45	0.000	0.0	0.7	0.06	0.03	0.00	9.088	3.048	0.000	12.135	0.000
	04:15	0.000	0.0	0.7	0.06	0.03	0.00	9.128	3.048	0.000	12.175	0.000
	04:45	0.000	0.0	0.7	0.06	0.03	0.00	9.179	3.048	0.000	12.226	0.000
	05:15	0.000	0.0	0.7	0.06	0.03	0.00	9.214	3.048	0.000	12.262	0.000
	05:45	0.000	0.0	0.7	0.06	0.03	0.00	9.232	3.048	0.000	12.279	0.000
	06:15	0.000	0.0	0.7	0.06	0.03	0.00	9.254	3.048	0.000	12.302	0.000
	06:45	0.000	0.0	0.7	0.06	0.03	0.00	9.283	3.048	0.000	12.331	0.000
	07:15	0.000	0.0	0.7	0.10	0.03	0.00	9.335	3.048	0.000	12.383	0.000
	07:45	0.000	0.0	0.7	0.10	0.03	0.00	9.408	3.048	0.000	12.456	0.000
	08:15	-0.003	-0.0	0.8	0.10	0.03	0.00	9.428	5.068	-0.003	14.493	0.000
	08:45	-0.008	-0.0	0.8	0.10	0.03	0.00	9.350	5.068	-0.008	14.409	0.000
	09:15	-0.024	-0.0	0.7	0.10	0.03	0.00	8.661	4.267	-0.024	12.905	0.000
	09:45	-0.052	-0.0	0.7	0.10	0.03	0.00	8.590	4.267	-0.052	12.805	0.000
	10:15	-0.072	-0.0	0.7	0.10	0.03	0.00	8.489	4.267	-0.072	12.685	0.000
	10:45	-0.078	-0.0	0.7	0.10	0.03	0.00	8.329	4.267	-0.078	12.518	0.000
	11:15	-0.084	-0.0	0.7	0.10	0.03	0.00	8.115	4.267	-0.084	12.298	0.000
	11:45	-0.090	-0.0	0.7	0.10	0.03	0.00	7.872	4.267	-0.090	12.050	0.000
	12:15	-0.091	-0.0	0.7	0.10	0.03	0.00	7.702	4.267	-0.091	11.879	0.000
	12:45	-0.088	-0.0	0.7	0.10	0.03	0.00	7.622	4.267	-0.088	11.801	0.000
	13:15	-0.079	-0.0	0.7	0.10	0.03	0.00	7.622	4.267	-0.079	11.810	0.000
	13:45	-0.065	-0.0	0.7	0.10	0.03	0.00	7.716	4.267	-0.065	11.919	0.000
	14:15	-0.064	-0.0	0.7	0.10	0.03	0.00	7.818	4.267	-0.064	12.021	0.000
	14:45	-0.072	-0.0	0.7	0.10	0.03	0.00	7.888	4.267	-0.072	12.083	0.000
	15:15	-0.051	-0.0	0.7	0.10	0.03	0.00	8.079	4.267	-0.051	12.296	0.000
	15:45	-0.014	-0.0	0.7	0.10	0.03	0.00	8.451	4.267	-0.014	12.704	0.000
	16:15	0.000	0.0	0.7	0.10	0.03	0.00	8.699	4.267	0.000	12.966	0.000
	16:45	0.000	0.0	0.7	0.10	0.03	0.00	8.807	4.267	0.000	13.075	0.000
	17:15	0.000	0.0	0.8	0.10	0.03	0.00	8.897	4.267	0.000	13.164	0.000
	17:45	0.000	0.0	0.8	0.10	0.03	0.00	8.991	4.267	0.000	13.259	0.000
	18:15	0.000	0.0	0.8	0.10	0.03	0.00	8.468	5.919	0.000	14.386	0.000
	18:45	0.000	0.0	0.8	0.10	0.03	0.00	8.428	5.919	0.000	14.347	0.000
	19:15	0.000	0.0	0.8	0.10	0.03	0.00	8.376	5.919	0.000	14.295	0.000
	19:45	0.000	0.0	0.8	0.10	0.03	0.00	8.315	5.919	0.000	14.234	0.000
	20:15	0.000	0.0	0.8	0.10	0.03	0.00	8.330	5.069	0.000	13.399	0.000
	20:45	0.000	0.0	0.8	0.10	0.03	0.00	8.437	5.069	0.000	13.506	0.000
	21:15	0.000	0.0	0.8	0.10	0.03	0.00	8.519	5.069	0.000	13.588	0.000
	21:45	0.000	0.0	0.8	0.10	0.03	0.00	8.568	5.069	0.000	13.637	0.000
	22:15	0.000	0.0	0.9	0.10	0.03	0.00	9.433	5.649	0.000	15.082	0.000
	22:45	0.000	0.0	0.8	0.10	0.03	0.00	9.353	5.649	0.000	15.002	0.000
	23:15	0.000	0.0	0.7	0.06	0.03	0.00	9.432	3.135	0.000	12.567	0.000
	23:45	0.000	0.0	0.7	0.06	0.03	0.00	9.378	3.135	0.000	12.513	0.000
Wed, 04/Jan	00:15	0.000	0.0	0.7	0.06	0.03	0.00	9.433	3.048	0.000	12.481	0.000
	00:45	0.000	0.0	0.7	0.06	0.03	0.00	9.373	3.048	0.000	12.420	0.000
	01:15	0.000	0.0	0.7	0.06	0.03	0.00	9.353	3.048	0.000	12.400	0.000
	01:45	0.000	0.0	0.7	0.06	0.03	0.00	9.371	3.048	0.000	12.418	0.000
	02:15	0.000	0.0	0.7	0.06	0.03	0.00	9.386	3.048	0.000	12.434	0.000
	02:45	0.000	0.0	0.7	0.06	0.03	0.00	9.397	3.048	0.000	12.445	0.000
	03:15	0.000	0.0	0.7	0.06	0.03	0.00	9.360	3.048	0.000	12.407	0.000
	03:45	0.000	0.0	0.7	0.06	0.03	0.00	9.272	3.048	0.000	12.320	0.000
	04:15	0.000	0.0	0.7	0.06	0.03	0.00	9.076	3.048	0.000	12.124	0.000
	04:45	0.000	0.0	0.7	0.06	0.03	0.00	8.768	3.048	0.000	11.815	0.000
	05:15	0.000	0.0	0.7	0.06	0.03	0.00	8.559	3.048	0.000	11.606	0.000
	05:45	0.000	0.0	0.7	0.06	0.03	0.00	8.460	3.048	0.000	11.507	0.000
	06:15	0.000	0.0	0.7	0.06	0.03	0.00	8.436	3.048	0.000	11.484	0.000
	06:45	0.000	0.0	0.7	0.06	0.03	0.00	8.484	3.048	0.000	11.532	0.000
	07:15	0.000	0.0	0.7	0.10	0.03	0.00	8.423	3.048	0.000	11.471	0.000
	07:45	0.000	0.0	0.7	0.10	0.03	0.00	8.251	3.048	0.000	11.298	0.000
	08:15	-0.000	-0.0	0.7	0.10	0.03	0.00	8.128	5.068	-0.000	13.195	0.000
	08:45	-0.001	-0.0	0.7	0.10	0.03	0.00	8.016	5.068	-0.001	13.082	0.000
	09:15	-0.007	-0.0	0.6	0.10	0.03	0.00	7.200	4.267	-0.007	11.460	0.000
	09:45	-0.018	-0.0	0.6	0.10	0.03	0.00	6.902	4.267	-0.018	11.152	0.000
	10:15	-0.027	-0.0	0.6	0.10	0.03	0.00	6.671	4.267	-0.027	10.912	0.000
	10:45	-0.033	-0.0	0.6	0.10	0.03	0.00	6.494	4.267	-0.033	10.728	0.000
	11:15	-0.038	-0.0	0.6	0.10	0.03	0.00	6.350	4.267	-0.038	10.579	0.000
	11:45	-0.041	-0.0	0.6	0.10	0.03	0.00	6.245	4.267	-0.041	10.471	0.000
	12:15	-0.040	-0.0	0.6	0.10	0.03	0.00	6.158	4.267	-0.040	10.385	0.000
	12:45	-0.035	-0.0	0.6	0.10	0.03	0.00	6.097	4.267	-0.035	10.330	0.000
	13:15	-0.028	-0.0	0.6	0.10	0.03	0.00	6.086	4.267	-0.028	10.325	0.000
	13:45	-0.020	-0.0	0.6	0.10	0.03	0.00	6.129	4.267	-0.020	10.377	0.000
	14:15	-0.018	-0.0	0.6	0.10	0.03	0.00	6.180	4.267	-0.018	10.430	0.000
	14:45	-0.020	-0.0	0.6	0.10	0.03	0.00	6.219	4.267	-0.020	10.466	0.000
	15:15	-0.015	-0.0	0.6	0.10	0.03	0.00	6.328	4.267	-0.015	10.581	0.000
	15:45	-0.004	-0.0	0.6	0.10	0.03	0.00	6.525	4.267	-0.004	10.788	0.000
	16:15	0.000	0.0	0.6	0.10	0.03	0.00	6.696	4.267	0.000	10.963	0.000
	16:45	0.000	0.0	0.6	0.10	0.03	0.00	6.832	4.267	0.000	11.099	0.000
	17:15	0.000	0.0	0.6	0.10	0.03	0.00	6.936	4.267	0.000	11.204	0.000
	17:45	0.000	0.0	0.6	0.10	0.03	0.00	7.011	4.267	0.000	11.278	0.000
	18:15	0.000	0.0	0.7	0.10	0.03	0.00	6.555	5.919	0.000	12.474	0.000
	18:45	0.000	0.0	0.7	0.10	0.03	0.00	6.676	5.919	0.000	12.595	0.000
	19:15	0.000	0.0	0.7	0.10	0.03	0.00	6.750	5.919	0.000	12.669	0.000
	19:45	0.000	0.0	0.7	0.10	0.03	0.00	6.779	5.919	0.000	12.698	0.000
	20:15	0.000	0.0	0.7	0.10	0.03	0.00	6.839	5.069	0.000	11.908	0.000
	20:45	0.000	0.0	0.7	0.10	0.03	0.00	6.943	5.069	0.000	12.012	0.000
	21:15	0.000	0.0	0.7	0.10	0.03	0.00	7.008	5.069	0.000	12.077	0.000
	21:45	0.000	0.0	0.7	0.10	0.03	0.00	7.028	5.069	0.000	12.098	0.000
	22:15	0.000	0.0	0.8	0.10	0.03	0.00	7.901	5.649	0.000	13.551	0.000
	22:45	0.000	0.0	0.8	0.10	0.03	0.00	7.865	5.649	0.000	13.515	0.000
	23:15	0.000	0.0	0.6	0.06	0.03	0.00	7.996	3.135	0.000	11.131	0.000
	23:45	0.000	0.0	0.6	0.06	0.03	0.00	8.000	3.135	0.000	11.135	0.000
Thu, 05/Jan	00:15	0.000	0.0	0.6	0.06	0.03	0.00	8.191	3.048	0.000	11.238	0.000
	00:45	0.000	0.0	0.7	0.06	0.03	0.00	8.346	3.048	0.000	11.393	0.000
	01:15	0.000	0.0	0.7	0.06	0.03	0.00	8.432	3.048	0.000	11.479	0.000
	01:45	0.000	0.0	0.7	0.06	0.03	0.00	8.443	3.048	0.000	11.491	0.000
	02:15	0.000	0.0	0.7	0.06	0.03	0.00	8.459	3.048	0.000	11.506	0.000
	02:45	0.000	0.0	0.7	0.06	0.03	0.00	8.478	3.048	0.000	11.526	0.000
	03:15	0.000	0.0	0.7	0.06	0.03	0.00	8.486	3.048	0.000	11.534	0.000
	03:45	0.000	0.0	0.7	0.06	0.03	0.00	8.481	3.048	0.000	11.529	0.000
	04:15	0.000	0.0	0.7	0.06	0.03	0.00	8.475	3.048	0.000	11.522	0.000
	04:45	0.000	0.0	0.7	0.06	0.03	0.00	8.468	3.048	0.000	11.516	0.000
	05:15	0.000	0.0	0.7	0.06	0.03	0.00	8.446	3.048	0.000	11.494	0.000
	05:45	0.000	0.0	0.7	0.06	0.03	0.00	8.408	3.048	0.000	11.456	0.000
	06:15	0.000	0.0	0.7	0.06	0.03	0.00	8.390	3.048	0.000	11.438	0.000
	06:45	0.000	0.0	0.7	0.06	0.03	0.00	8.391	3.048	0.000	11.438	0.000
	07:15	0.000	0.0	0.7	0.10	0.03	0.00	8.407	3.048	0.000	11.455	0.000
	07:45	0.000	0.0	0.7	0.10	0.03	0.00	8.442	3.048	0.000	11.490	0.000
	08:15	-0.005	-0.0	0.8	0.10	0.03	0.00	8.449	5.068	-0.005	13.511	0.000
	08:45	-0.019	-0.0	0.8	0.10	0.03	0.00	8.382	5.068	-0.019	13.430	0.000
	09:15	-0.040	-0.0	0.7	0.10	0.03	0.00	7.700	4.267	-0.040	11.927	0.000
	09:45	-0.068	-0.0	0.7	0.10	0.03	0.00	7.633	4.267	-0.068	11.832	0.000
	10:15	-0.092	-0.0	0.7	0.10	0.03	0.00	7.489	4.267	-0.092	11.665	0.000
	10:45	-0.109	-0.0	0.6	0.10	0.03	0.00	7.218	4.267	-0.109	11.376	0.000
	11:15	-0.129	-0.0	0.6	0.10	0.03	0.00	6.937	4.267	-0.129	11.076	0.000
	11:45	-0.154	-0.0	0.6	0.10	0.03	0.00	6.665	4.267	-0.154	10.778	0.000
	12:15	-0.146	-0.0	0.6	0.10	0.03	0.00	6.423	4.267	-0.146	10.544	0.000
	12:45	-0.105	-0.0	0.6	0.10	0.03	0.00	6.364	4.267	-0.105	10.527	0.000
	13:15	-0.096	-0.0	0.6	0.10	0.03	0.00	6.361	4.267	-0.096	10.533	0.000
	13:45	-0.117	-0.0	0.6	0.10	0.03	0.00	6.180	4.267	-0.117	10.331	0.000
	14:15	-0.102	-0.0	0.6	0.10	0.03	0.00	6.099	4.267	-0.102	10.265	0.000
	14:45	-0.063	-0.0	0.6	0.10	0.03	0.00	6.378	4.267	-0.063	10.582	0.000
	15:15	-0.032	-0.0	0.6	0.10	0.03	0.00	6.689	4.267	-0.032	10.924	0.000
	15:45	-0.009	-0.0	0.6	0.10	0.03	0.00	6.945	4.267	-0.009	11.204	0.000
	16:15	0.000	0.0	0.6	0.10	0.03	0.00	7.107	4.267	0.000	11.374	0.000
	16:45	0.000	0.0	0.6	0.10	0.03	0.00	7.214	4.267	0.000	11.481	0.000
	17:15	0.000	0.0	0.7	0.10	0.03	0.00	7.270	4.267	0.000	11.538	0.000
	17:45	0.000	0.0	0.7	0.10	0.03	0.00	7.287	4.267	0.000	11.555	0.000
	18:15	0.000	0.0	0.7	0.10	0.03	0.00	6.767	5.919	0.000	12.686	0.000
	18:45	0.000	0.0	0.7	0.10	0.03	0.00	6.813	5.919	0.000	12.732	0.000
	19:15	0.000	0.0	0.7	0.10	0.03	0.00	6.853	5.919	0.000	12.772	0.000
	19:45	0.000	0.0	0.7	0.10	0.03	0.00	6.892	5.919	0.000	12.811	0.000
	20:15	0.000	0.0	0.7	0.10	0.03	0.00	6.936	5.069	0.000	12.005	0.000
	20:45	0.000	0.0	0.7	0.10	0.03	0.00	7.000	5.069	0.000	12.070	0.000
	21:15	0.000	0.0	0.7	0.10	0.03	0.00	7.068	5.069	0.000	12.137	0.000
	21:45	0.000	0.0	0.7	0.10	0.03	0.00	7.133	5.069	0.000	12.202	0.000
	22:15	0.000	0.0	0.8	0.10	0.03	0.00	8.008	5.649	0.000	13.658	0.000
	22:45	0.000	0.0	0.8	0.10	0.03	0.00	7.934	5.649	0.000	13.583	0.000
	23:15	0.000	0.0	0.6	0.06	0.03	0.00	8.028	3.135	0.000	11.163	0.000
	23:45	0.000	0.0	0.6	0.06	0.03	0.00	7.998	3.135	0.000	11.133	0.000
Fri, 06/Jan	00:15	0.000	0.0	0.6	0.06	0.03	0.00	8.116	3.048	0.000	11.163	0.000
	00:45	0.000	0.0	0.6	0.06	0.03	0.00	8.158	3.048	0.000	11.205	0.000
	01:15	0.000	0.0	0.6	0.06	0.03	0.00	8.176	3.048	0.000	11.223	0.000
	01:45	0.000	0.0	0.6	0.06	0.03	0.00	8.166	3.048	0.000	11.213	0.000
	02:15	0.000	0.0	0.7	0.06	0.03	0.00	8.201	3.048	0.000	11.248	0.000
	02:45	0.000	0.0	0.7	0.06	0.03	0.00	8.283	3.048	0.000	11.330	0.000
	03:15	0.000	0.0	0.7	0.06	0.03	0.00	8.332	3.048	0.000	11.379	0.000
	03:45	0.000	0.0	0.7	0.06	0.03	0.00	8.342	3.048	0.000	11.390	0.000
	04:15	0.000	0.0	0.7	0.06	0.03	0.00	8.327	3.048	0.000	11.375	0.000
	04:45	0.000	0.0	0.7	0.06	0.03	0.00	8.288	3.048	0.000	11.335	0.000
	05:15	0.000	0.0	0.7	0.06	0.03	0.00	8.284	3.048	0.000	11.332	0.000
	05:45	0.000	0.0	0.7	0.06	0.03	0.00	8.318	3.048	0.000	11.366	0.000
	06:15	0.000	0.0	0.7	0.06	0.03	0.00	8.349	3.048	0.000	11.397	0.000
	06:45	0.000	0.0	0.7	0.06	0.03	0.00	8.377	3.048	0.000	11.425	0.000
	07:15	0.000	0.0	0.7	0.10	0.03	0.00	8.388	3.048	0.000	11.436	0.000
	07:45	0.000	0.0	0.7	0.10	0.03	0.00	8.382	3.048	0.000	11.430	0.000
	08:15	-0.002	-0.0	0.8	0.10	0.03	0.00	8.371	5.068	-0.002	13.437	0.000
	08:45	-0.006	-0.0	0.8	0.10	0.03	0.00	8.313	5.068	-0.006	13.375	0.000
	09:15	-0.024	-0.0	0.7	0.10	0.03	0.00	7.620	4.267	-0.024	11.863	0.000
	09:45	-0.061	-0.0	0.7	0.10	0.03	0.00	7.519	4.267	-0.061	11.725	0.000
	10:15	-0.073	-0.0	0.7	0.10	0.03	0.00	7.448	4.267	-0.073	11.642	0.000
	10:45	-0.048	-0.0	0.7	0.10	0.03	0.00	7.406	4.267	-0.048	11.625	0.000
	11:15	-0.034	-0.0	0.7	0.10	0.03	0.00	7.383	4.267	-0.034	11.616	0.000
	11:45	-0.037	-0.0	0.7	0.10	0.03	0.00	7.349	4.267	-0.037	11.579	0.000
	12:15	-0.035	-0.0	0.7	0.10	0.03	0.00	7.345	4.267	-0.035	11.578	0.000
	12:45	-0.028	-0.0	0.7	0.10	0.03	0.00	7.393	4.267	-0.028	11.633	0.000
	13:15	-0.021	-0.0	0.7	0.10	0.03	0.00	7.475	4.267	-0.021	11.721	0.000
	13:45	-0.015	-0.0	0.7	0.10	0.03	0.00	7.581	4.267	-0.015	11.833	0.000
	14:15	-0.011	-0.0	0.7	0.10	0.03	0.00	7.682	4.267	-0.011	11.939	0.000
	14:45	-0.008	-0.0	0.7	0.10	0.03	0.00	7.774	4.267	-0.008	12.034	0.000
	15:15	-0.004	-0.0	0.7	0.10	0.03	0.00	7.881	4.267	-0.004	12.144	0.000
