From,To,Cost_HP,Cost_Gas_Boiler
2023-01-25 00:00:00,2023-01-25 23:30:00,1364.7182428071571,1565.6555135927144
2023-04-25 00:00:00,2023-04-25 23:30:00,487.54437560223874,645.6566692148191
2023-07-25 00:00:00,2023-07-25 23:30:00,596.1415470561045,612.0228972571109
2023-10-25 00:00:00,2023-10-25 23:30:00,1071.0783506270852,978.0957817989546
2023-10-25 00:00:00,2023-10-25 23:30:00,511.13244112460615,421.32031291474647
2023-10-25 00:00:00,2023-10-25 23:30:00,480.0077992523385,421.32031291474647
2023-10-25 00:00:00,2023-10-25 23:30:00,363.89048072651406,421.32031291474647
2023-11-25 00:00:00,2023-11-25 23:30:00,348.8664793512172,412.4704299863031
2023-12-25 00:00:00,2023-12-25 23:30:00,80.68615129280944,397.1211057826418
2023-12-26 00:00:00,2023-12-26 23:30:00,164.72858325282863,431.8615947201744
2023-12-25 00:00:00,2023-12-25 23:30:00,80.68615129280944,397.1211057826418
2023-10-25 00:00:00,2023-10-25 23:30:00,363.89048072651406,421.32031291474647
2023-10-24 00:00:00,2023-10-24 23:30:00,331.6664600117342,386.08458743312883
